Model,Other,Baseline,Test,N_other,N_baseline,p_value,cliffs_delta,magnitude,median_other_minus_baseline
RF,LIME,CF,rank-sum,1720,1815,0.00022247070102102045,0.0716983791402396,negligible,0.039487338072189355
RF,LIME-HPO,CF,rank-sum,1708,1815,0.03519495126588645,0.04097005825768866,negligible,0.0289455958445941
RF,TimeLIME,CF,rank-sum,1108,1815,4.1844569662592664e-21,-0.2074459726904755,small,-0.03066554627984535
RF,SQAPlanner,CF,rank-sum,781,1815,1.3794451220072233e-118,-0.5709745575884558,large,-0.049951171875
XGB,LIME,CF,rank-sum,1824,1930,0.017264017179409532,0.04486665984910463,negligible,0.01955844768977555
XGB,LIME-HPO,CF,rank-sum,1814,1930,0.0002530258062583877,0.06905016252406442,negligible,0.0279295341167209
XGB,TimeLIME,CF,rank-sum,1231,1930,4.607976001111376e-06,-0.09643913916399742,negligible,-0.0006685655631492506
XGB,SQAPlanner,CF,rank-sum,882,1930,8.99573702801914e-56,-0.36870983281049896,medium,-0.010039573291873901
SVM,LIME,CF,rank-sum,1052,1256,1.2310169091224108e-11,0.16294031992443875,small,0.19922824667536415
SVM,LIME-HPO,CF,rank-sum,1048,1256,2.6648240515770783e-10,0.1520806996645111,small,0.16584799272052508
SVM,TimeLIME,CF,rank-sum,798,1256,0.2824904946273261,-0.028051817441693404,negligible,-0.017165354958342954
SVM,SQAPlanner,CF,rank-sum,293,1256,1.0326200093564489e-23,-0.375649442403426,medium,-0.18599023333489
LGBM,LIME,CF,rank-sum,1802,1915,0.5902289277318398,-0.010199285389312137,negligible,0.014944859422223549
LGBM,LIME-HPO,CF,rank-sum,1782,1915,0.3125187513725315,0.019183128060412655,negligible,0.021416115762855296
LGBM,TimeLIME,CF,rank-sum,1184,1915,4.109811901365783e-18,-0.1851302836779338,small,-0.01099971771368165
LGBM,SQAPlanner,CF,rank-sum,931,1915,5.659908325515475e-93,-0.4711427954444111,medium,-0.0233201155442407
CatB,LIME,CF,rank-sum,1608,1790,5.319749921851075e-25,0.20477292309402706,small,0.1206862162942902
CatB,LIME-HPO,CF,rank-sum,1591,1790,8.012732275365962e-21,0.1860932128698791,small,0.11667883793512969
CatB,TimeLIME,CF,rank-sum,1071,1790,0.03992773319953508,0.04581892347255476,negligible,0.025437826410195
CatB,SQAPlanner,CF,rank-sum,847,1790,1.2395521210577512e-49,-0.3563137725656771,medium,-0.0454597897207382
