Model,Explainer,Min,Max,Mean
CatBoost,LIME,0.20260121444352597,1.9095043609838167,1.3218274687426814
CatBoost,LIME-HPO,0.20598573694667435,1.8887939134967333,1.3055869986797903
CatBoost,TimeLIME,0.010280060970628986,1.9918361100391226,1.1853020213202363
CatBoost,SQAPlanner_confidence,0.0011212769825643236,1.9999619060738572,1.4013314236840877
CatBoost,Mean,0.1049970723358484,1.9475240726483825,1.303511978106699
RandomForest,LIME,0.035038829704310645,1.9866651635359314,1.347669769822848
RandomForest,LIME-HPO,0.0389891897004858,1.989778831031134,1.3584657009779606
RandomForest,TimeLIME,0.0071808539583361666,1.9974888442321999,1.2076315326725722
RandomForest,SQAPlanner_confidence,0.0005798525073102296,1.9999379431459687,1.4134507405876349
RandomForest,Mean,0.02044718146761071,1.9934676954863084,1.331804436015254
SVM,LIME,0.08498153046562325,1.9808857435779617,1.186534801932203
SVM,LIME-HPO,0.059477921445066854,1.9787764326955406,1.1468893462799363
SVM,TimeLIME,0.004414703440730617,1.9987638638414509,1.1608042586319494
SVM,SQAPlanner_confidence,0.0033231243093998653,1.999460833568249,1.3138266329531196
SVM,Mean,0.038049319915205146,1.9894717184208006,1.2020137599493022
XGBoost,LIME,0.03231633382444158,1.9911344702732061,1.3131029630749853
XGBoost,LIME-HPO,0.040168996311159076,1.982517137645561,1.2725806296233078
XGBoost,TimeLIME,0.002965451858495396,1.9980035450909501,1.205403144835496
XGBoost,SQAPlanner_confidence,0.0018751584711930026,1.9996606283994423,1.424377367468923
XGBoost,Mean,0.019331485116322263,1.9928289453522898,1.303866026250678
LightGBM,LIME,0.1355566238273191,1.9420894881514306,1.2801004219574423
LightGBM,LIME-HPO,0.1644411213529263,1.9082558010808575,1.3100682998338482
LightGBM,TimeLIME,0.005437401218306692,1.99180571086402,1.2064492389952886
LightGBM,SQAPlanner_confidence,0.0005630491452028393,1.9999942003899085,1.40250597751991
LightGBM,Mean,0.07649954888593873,1.960536300121554,1.2997809845766222
