Model,Explainer,Min,Max,Mean
RandomForest,LIME,32321.346024231774,96963.04934352734,64642.07626804657
RandomForest,LIME-HPO,0.764654649507325,1.4568917160148507,0.9805599248236937
RandomForest,TimeLIME,0.21417180070380912,0.9043867228276979,0.4285149076892003
RandomForest,SQAPlanner_confidence,0.09906291871835517,0.9643567432967893,0.39220826137053577
RandomForest,Mean,8080.605978400176,24241.59374467737,16160.969387785113
XGBoost,LIME,117893.72641285087,241174.83671113878,179534.15441700153
XGBoost,LIME-HPO,0.8741969730829474,1.575192639128792,1.0982973252245583
XGBoost,TimeLIME,0.20270895523160448,0.9204144594689255,0.43477101437866317
XGBoost,SQAPlanner_confidence,0.11981789953436939,0.9812255298188212,0.42633872437907877
XGBoost,Mean,29473.73078416968,60294.5783859418,44884.02845601638
