test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,ADEV,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
41,0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,2.0,7.0,30.0,75.0,0.54,0.0,97.0,2.0,3.0,18.0,6.0,7.01204819277108,1.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,0.5031749969776302,0.49682500302236976,3
46,0,0.0,2.0,1.0,1.0,0.0,4.0,3.0,5.0,10.0,21.0,35.0,0.41,0.0,89.0,1.0,3.0,27.0,4.0,4.82692307692308,1.0,1.0,0.0,5.0,0.6,0.0,3.0,2.0,0.5052876039665815,0.4947123960334185,2
65,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,6.0,16.0,0.13,0.0,86.0,2.0,0.0,27.0,1.0,5.52173913043478,0.0,1.0,0.0,9.0,0.888888888888889,0.0,3.0,1.0,0.4892246007335349,0.5107753992664651,1
92,0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,5.0,33.0,64.0,143.0,0.29,0.0,98.0,1.0,2.0,63.0,2.0,6.19774011299435,1.0,0.0,0.0,22.0,0.818181818181818,0.0,3.0,2.0,0.5857368830001084,0.41426311699989155,2
104,0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,4.0,0.0,21.0,0.84,0.0,89.0,3.0,0.0,25.0,1.0,3.24,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.6310782373609252,0.3689217626390748,1
147,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,4.0,12.0,20.0,0.25,0.0,83.0,1.0,3.0,27.0,2.0,4.37037037037037,0.0,0.0,0.0,10.0,0.9,0.0,3.0,1.0,0.5575155115637209,0.44248448843627913,1
148,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,21.0,0.11,0.0,85.0,1.0,2.0,13.0,2.0,2.95652173913043,1.0,0.0,0.0,5.0,0.8,0.0,3.0,1.0,0.5729381508880572,0.4270618491119428,1
154,0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,5.0,11.0,21.0,0.22,0.0,87.0,2.0,0.0,13.0,2.0,3.22222222222222,1.0,1.0,0.0,6.0,0.666666666666667,0.0,2.0,0.0,0.5285862429110355,0.47141375708896455,2
203,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,23.0,50.0,0.36,0.0,95.0,2.0,0.0,24.0,1.0,2.6,0.0,1.0,0.0,11.0,0.909090909090909,0.0,3.0,1.0,0.4469354012609248,0.5530645987390752,2
218,0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,4.0,8.0,12.0,30.0,0.24,0.0,89.0,2.0,2.0,25.0,2.0,3.53846153846154,1.0,0.0,0.0,17.0,0.764705882352941,0.0,3.0,1.0,0.5460362838652191,0.453963716134781,2
219,0,7.0,4.0,1.0,2.0,0.0,0.0,2.0,12.0,6.0,22.0,58.0,0.17,0.0,94.0,2.0,1.0,50.0,1.0,3.94736842105263,1.0,0.0,0.0,39.0,0.692307692307692,0.0,3.0,1.0,0.5505851389548017,0.44941486104519834,4
1765,0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,2.0,5.0,1.65,0.0,58.0,2.0,0.0,10.0,1.0,3.66666666666667,2.0,1.0,0.0,2.0,0.5,0.0,2.0,0.0,0.3928350379553418,0.6071649620446582,3
225,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,19.0,66.0,0.06,0.0,92.0,1.0,1.0,43.0,2.0,3.84931506849315,1.0,0.0,0.0,10.0,0.8,0.0,3.0,1.0,0.5350081840142192,0.46499181598578077,1
230,0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,11.0,37.0,0.18,1.0,88.0,2.0,1.0,45.0,2.0,3.02380952380952,0.0,0.0,0.0,18.0,0.777777777777778,0.0,3.0,2.0,0.726602447311836,0.27339755268816396,1
246,0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,4.0,13.0,38.0,76.0,0.15,0.0,95.0,1.0,1.0,70.0,4.0,3.09574468085106,1.0,1.0,0.0,17.0,0.529411764705882,0.0,3.0,1.0,0.6324711111045627,0.3675288888954373,3
282,0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,6.0,17.0,0.41,0.0,87.0,4.0,0.0,3.0,2.0,2.83333333333333,0.0,1.0,0.0,0.0,0.5,0.0,2.0,0.0,0.7698863189206342,0.23011368107936575,1
287,0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,9.0,0.7,0.0,76.0,4.0,0.0,7.0,2.0,3.1,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.49839360675935673,0.5016063932406433,1
359,0,2.0,0.0,2.0,1.0,18.0,1.0,2.0,7.0,7.0,0.0,29.0,0.19,0.0,100.0,2.0,5.0,0.0,2.0,2.42105263157895,0.0,0.0,0.0,0.0,0.4,0.0,2.0,2.0,0.6491255847227504,0.35087441527724955,3
389,0,0.0,3.0,1.0,3.0,0.0,0.0,2.0,4.0,5.0,6.0,41.0,0.19,0.0,90.0,2.0,2.0,0.0,3.0,1.36734693877551,0.0,0.0,0.0,0.0,0.4,0.0,2.0,2.0,0.6961496781482457,0.3038503218517543,2
393,0,4.0,6.0,1.0,15.0,0.0,0.0,2.0,3.0,3.0,19.0,44.0,0.09,0.0,94.0,1.0,0.0,12.0,2.0,4.49122807017544,0.0,1.0,0.0,6.0,0.5,0.0,2.0,0.0,0.4800258653081251,0.5199741346918749,1
427,0,9.0,10.0,1.0,5.0,2.0,1.0,2.0,1.0,0.0,22.0,24.0,0.18,0.0,91.0,1.0,1.0,10.0,3.0,4.13953488372093,1.0,1.0,0.0,11.0,1.0,0.0,2.0,0.0,0.5475736736727153,0.4524263263272848,2
500,0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,1.4,0.0,75.0,3.0,1.0,7.0,1.0,3.75,1.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,0.4406202817560897,0.5593797182439103,2
503,0,2.0,0.0,1.0,2.0,1.0,0.0,3.0,10.0,28.0,36.0,39.0,0.14,0.0,93.0,1.0,2.0,40.0,2.0,4.15942028985507,1.0,0.0,0.0,11.0,1.0,0.0,3.0,0.0,0.5449978361583827,0.4550021638416173,2
505,0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,3.0,11.0,0.16,0.0,66.0,3.0,0.0,12.0,2.0,3.28571428571429,0.0,1.0,0.0,3.0,0.666666666666667,0.0,3.0,0.0,0.49211970481062106,0.5078802951893789,3
695,0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,16.0,0.35,0.0,62.0,2.0,0.0,12.0,2.0,2.1875,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.3064348760608654,0.6935651239391346,1
725,0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,5.0,2.0,16.0,26.0,0.16,0.0,83.0,1.0,1.0,21.0,2.0,4.59375,0.0,0.0,0.0,8.0,0.875,0.0,2.0,0.0,0.4253084818658256,0.5746915181341744,1
