,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
210,-2.220446049250313e-16,0.0,0.0,10.0,0.41666666666666696,0.0,43.0,1.0,0.0,3.0,0.67,0.0,10.0,60.0,2.0,0.0,12.0,2.0,3.4,1.0,2.9,1.0,1.0,0.416666666666667,3.469446951953614e-18,1.0,1.0,0.0,3.0,3.0
522,-2.220446049250313e-16,18.0,11.0,21.0,9.0,0.0,31.0,11.0,0.0,0.0,0.08999999999999997,0.0,10.0,95.0,1.0,4.0,18.0,2.0,4.44736842105263,1.0,3.52631578947368,1.0,1.0,0.901960784313726,3.469446951953614e-18,255.0,1.0,0.0,1.0,0.0
539,-2.220446049250313e-16,23.0,9.0,26.0,13.0,0.0,18.0,3.0,1.0,2.0,0.050000000000000044,1.0,26.0,86.0,3.0,3.0,23.0,2.0,4.45945945945946,0.0,5.83783783783784,1.0,1.0,0.829268292682927,3.469446951953614e-18,47.0,1.0,0.0,2.0,0.0
477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,-2.220446049250313e-16,19.0,6.0,3.0,0.0,0.0,39.0,8.0,3.0,6.0,0.13,0.0,21.0,89.0,3.0,0.0,19.0,2.0,6.60416666666667,1.0,4.60416666666667,2.0,1.0,0.385964912280702,3.469446951953614e-18,56.0,0.75,0.0,6.0,0.0
474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
