test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed
322,0,8.0,1.0,2.0,1.0,0.0,4.0,120.0,3.0,0.0,8.0,13.0,0.31,1.0,83.0,3.0,0.0,18.0,1.0,3.22727272727273,1.0,6.09090909090909,1.0,1.0,1.33333333333333,20.0,0.333333333333333,0.0,3.0,3.0,3.0,0.54,0.46,1
322,1,8.0,1.0,2.0,1.0,0.0,4.0,120.0,3.0,0.0,8.0,0.0,0.31,1.0,83.0,3.0,0.0,3.0,1.0,3.22727272727273,1.0,6.09090909090909,1.0,1.0,1.33333333333333,20.0,0.333333333333333,0.0,3.0,3.0,3.0,0.79,0.21,2
322,2,8.0,1.0,2.0,1.0,0.0,4.0,120.0,3.0,0.0,8.0,0.0,0.31,1.0,83.0,3.0,0.0,3.0,1.0,3.22727272727273,1.0,6.09090909090909,1.0,1.0,1.33333333333333,20.0,0.333333333333333,0.0,3.0,0.0,3.0,0.87,0.13,3
322,3,8.0,1.0,2.0,1.0,0.0,4.0,68.0,3.0,0.0,8.0,13.0,0.31,1.0,83.0,3.0,0.0,31.0,1.0,3.22727272727273,1.0,6.09090909090909,1.0,1.0,1.33333333333333,20.0,0.333333333333333,0.0,3.0,3.0,3.0,0.53,0.47,1
322,4,8.0,1.0,2.0,1.0,0.0,4.0,23.0,3.0,0.0,8.0,0.0,0.31,1.0,83.0,3.0,0.0,3.0,1.0,3.22727272727273,1.0,4.0,1.0,1.0,1.33333333333333,20.0,0.333333333333333,0.0,3.0,0.0,3.0,0.93,0.07,5
322,5,8.0,1.0,2.0,1.0,0.0,4.0,23.0,3.0,0.0,8.0,4.0,0.31,1.0,83.0,3.0,0.0,3.0,1.0,3.22727272727273,1.0,4.0,1.0,1.0,1.33333333333333,20.0,0.333333333333333,0.0,3.0,0.0,3.0,0.94,0.06,5
322,6,8.0,1.0,2.0,1.0,0.0,4.0,68.0,3.0,0.0,8.0,4.0,0.31,1.0,83.0,3.0,0.0,3.0,1.0,3.22727272727273,1.0,4.0,1.0,1.0,1.33333333333333,20.0,0.333333333333333,0.0,3.0,0.0,3.0,0.95,0.05,5
322,7,8.0,1.0,2.0,1.0,0.0,4.0,120.0,3.0,0.0,8.0,13.0,0.31,1.0,83.0,3.0,0.0,3.0,1.0,3.22727272727273,1.0,6.09090909090909,1.0,1.0,1.33333333333333,20.0,0.333333333333333,0.0,3.0,1.0,3.0,0.79,0.21,2
322,8,8.0,1.0,2.0,1.0,0.0,4.0,120.0,3.0,0.0,8.0,13.0,0.31,1.0,83.0,3.0,0.0,3.0,1.0,7.0,1.0,6.09090909090909,1.0,1.0,1.33333333333333,20.0,0.333333333333333,0.0,3.0,1.0,3.0,0.82,0.18,3
322,9,8.0,1.0,2.0,1.0,0.0,4.0,120.0,3.0,0.0,8.0,13.0,0.31,0.0,83.0,3.0,0.0,3.0,1.0,7.0,1.0,6.09090909090909,1.0,1.0,1.33333333333333,20.0,0.333333333333333,0.0,3.0,1.0,3.0,0.84,0.16,4
