test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
157,0,13.0,0.0,2.0,0.0,0.0,0.0,254.0,144.0,2.0,5.0,0.09,1.0,99.0,1.0,1.0,118.0,2.0,3.77003484320558,0.0,0.0,1.0,0.585648148148148,0.0,139.0,0.9,0.0,1.0,4.0,0.7260676864897107,0.27393231351028935,1
852,0,4.0,6.0,1.0,2.0,9.0,0.0,143.0,2.0,0.0,8.0,0.23,0.0,100.0,2.0,17.0,63.0,2.0,4.25757575757576,0.0,1.0,1.0,0.339805825242718,0.0,152.0,1.0,0.0,1.0,0.0,0.7519537176269504,0.24804628237304963,2
237,0,3.0,1.0,1.0,11.0,26.0,0.0,51.0,5.0,1.0,3.0,0.1,1.0,95.0,5.0,0.0,19.0,2.0,4.0,1.0,1.0,1.0,0.918918918918919,0.0,4.0,0.363636363636364,0.0,4.0,6.0,0.5362366679287609,0.4637633320712391,1
911,0,8.0,0.0,1.0,0.0,12.0,0.0,10.0,3.0,0.0,2.0,0.04,1.0,91.0,3.0,3.0,24.0,2.0,4.06451612903226,0.0,2.0,1.0,0.714285714285714,0.0,130.333,1.0,0.0,2.0,0.0,0.6365767572173329,0.36342324278266713,1
285,0,29.0,38.0,1.0,12.0,3.0,0.0,144.0,16.0,2.0,35.0,0.1,0.0,98.0,4.0,4.0,42.0,2.0,3.1497005988024,0.0,0.0,0.0,0.755434782608696,0.0,2.0,0.9,0.0,5.0,5.0,0.655249935505794,0.344750064494206,2
289,0,21.0,0.0,1.0,1.0,7.0,0.0,63.0,1.0,2.0,3.0,0.12,0.0,78.0,5.0,0.0,21.0,1.0,4.890625,0.0,1.0,1.0,0.681818181818182,0.0,130.333,0.894736842105263,0.0,4.0,6.0,0.7667486486825268,0.2332513513174732,1
292,0,6.0,0.0,2.0,2.0,52.0,0.0,88.0,2.0,0.0,1.0,0.08,0.0,99.0,1.0,21.0,9.0,2.0,3.3030303030303,0.0,1.0,1.0,0.610526315789474,0.0,2598.0,0.952380952380952,1.0,1.0,8.0,0.6358323272593034,0.3641676727406966,3
304,0,15.0,0.0,1.0,2.0,3.0,0.0,49.0,2.0,0.0,1.0,0.04,0.0,100.0,2.0,0.0,65.0,1.0,5.43457943925234,0.0,1.0,1.0,0.497695852534562,0.0,32.667,0.6875,0.0,2.0,5.0,0.5900469780521015,0.4099530219478985,2
356,0,19.0,54.0,1.0,4.0,3.0,0.0,524.0,5.0,0.0,171.0,0.21,0.0,99.0,2.0,0.0,131.0,2.0,13.8922716627635,0.0,0.0,1.0,0.244239631336406,0.0,32.667,0.517857142857143,3.0,3.0,3.0,0.5030638520355898,0.4969361479644102,3
358,0,63.0,0.0,1.0,5.0,0.0,1.0,454.0,9.0,0.0,6.0,0.17,0.0,85.0,3.0,1.0,1.0,2.0,5.91034482758621,0.0,1.0,1.0,0.85,0.0,32.667,0.523076923076923,3.0,4.0,3.0,0.5267272773249633,0.47327272267503673,4
928,0,7.0,4.0,1.0,0.0,5.0,3.0,582.0,4.0,17.0,7.0,0.84,0.0,98.0,1.0,1.0,31.0,8.0,15.928,0.0,0.0,1.0,0.453846153846154,0.0,100.0,0.35,0.0,3.0,5.0,0.5243072493391744,0.4756927506608256,1
359,0,33.0,0.0,2.0,27.0,3.0,0.0,138.0,3.0,0.0,4.0,0.11,0.0,97.0,4.0,0.0,17.0,2.0,3.88461538461538,0.0,1.0,1.0,0.712962962962963,0.0,32.667,1.0,0.0,3.0,4.0,0.5774920270144721,0.42250797298552784,2
360,0,11.0,1.0,2.0,4.0,3.0,1.0,160.0,1.0,0.0,1.0,0.26,0.0,88.0,5.0,0.0,17.0,1.0,4.31884057971014,0.0,1.0,1.0,0.816901408450704,0.0,32.667,0.75,0.0,6.0,5.0,0.5764064980802229,0.42359350191977707,2
363,0,6.0,0.0,1.0,5.0,9.0,1.0,178.0,8.0,6.0,14.0,0.19,0.0,96.0,4.0,3.0,29.0,2.0,6.52252252252252,0.0,1.0,1.0,0.725,0.0,4.0,0.714285714285714,0.0,3.0,5.0,0.510314908368285,0.48968509163171503,1
929,0,12.0,9.0,1.0,3.0,3.0,2.0,206.0,3.0,0.0,2.0,0.3,0.0,80.0,4.0,0.0,21.0,2.0,4.13698630136986,1.0,1.0,1.0,0.636363636363636,0.0,58.0,0.777777777777778,0.0,1.0,2.0,0.5854920292407688,0.4145079707592312,1
367,0,11.0,0.0,1.0,3.0,9.0,0.0,42.0,2.0,0.0,1.0,0.13,0.0,85.0,3.0,0.0,9.0,2.0,2.0,0.0,1.0,1.0,0.385964912280702,0.0,85.0,0.8,0.0,3.0,3.0,0.7127118843560791,0.2872881156439209,1
368,0,12.0,0.0,1.0,1.0,3.0,1.0,140.0,2.0,4.0,5.0,0.33,1.0,94.0,3.0,0.0,22.0,2.0,3.28571428571429,0.0,2.0,1.0,0.653846153846154,0.0,130.333,0.9,0.0,4.0,8.0,0.5372543113099864,0.4627456886900136,3
