,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE
128,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,,,,,,,,
886,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,,,,,,,
853,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,,,,,,,,,,,,,,,,,,,,,,,,,,
2201,,,,,,,,,,,,,,,,,,,,,,,,,,
2591,,,,,,,,,,,,,,,,,,,,,,,,,,
835,,,,,,,,,,,,,,,,,,,,,,,,,,
569,0,0,1,1,0,2,1,1,0,24,48,0.66,0,95,1,1,3,1,6.29166666666667,2,1.14583333333333,1,0,0.418136020151133,0.0,1
885,,,,,,,,,,,,,,,,,,,,,,,,,,
2254,,,,,,,,,,,,,,,,,,,,,,,,,,
980,0,0,1,4,0,1,4,6,19,31,19,0.07,3,100,1,0,60,2,7.78947368421053,1,8.76315789473684,1,0,0.449636552440291,0.0,0
1201,,,,,,,,,,,,,,,,,,,,,,,,,,
2437,,,,,,,,,,,,,,,,,,,,,,,,,,
2548,2,1,1,4,1,0,2,30,0,4,14,0.13,1,84,2,0,8,2,3.05882352941176,0,5.0,1,0,0.713692946058091,0.4142857142857145,1
218,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,,,,,,
2290,1,10,1,4,0,0,2,8,3,18,25,0.05,0,89,2,0,12,2,3.69230769230769,1,3.76923076923077,1,0,0.894865525672372,0.0,0
279,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,
328,1,1,1,3,2,0,2,13,7,1,71,0.08,0,97,3,11,13,3,6.0875,0,2.95,0,0,0.536423841059603,0.666666666666667,2
1645,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,,,,,
887,0,4,1,0,0,0,1,16,0,3,58,0.09,0,100,3,1,18,2,2.5,0,3.37096774193548,0,0,0.96545768566494,1.0,0
132,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,
941,,,,,,,,,,,,,,,,,,,,,,,,,,
816,,,,,,,,,,,,,,,,,,,,,,,,,,
2282,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,0,0,1,0,0,1,2,3,0,11,29,0.32,0,84,1,1,5,2,2.44827586206897,0,2.17241379310345,0,0,0.484848484848485,0.0,5
1229,0,0,1,1,1,0,2,2,2,12,58,0.04,0,94,2,0,9,2,0.65,0,5.81666666666667,0,0,0.85337552742616,1.0,2
2553,2,0,1,3,1,1,2,20,0,3,45,0.11,2,62,5,1,12,2,3.80851063829787,0,8.51063829787234,0,0,0.950581395348837,1.0,2
2049,1,0,1,2,1,0,2,1,1,13,17,0.13,0,85,2,0,5,1,2.78947368421053,1,3.15789473684211,1,0,0.676113360323887,1.0,2
2122,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,0,6,1,0,0,0,1,7,2,2,35,0.13,0,54.5,2,2,23,2,1.97674418604651,0,2.90697674418605,0,0,1.0,1.0,2
2311,,,,,,,,,,,,,,,,,,,,,,,,,,
2283,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,0,0,1,1,0,1,1,10.5,4,5,26,0.4,0,87,1,0,7,5,3.1,0,2.7,1,0,0.495016611295681,0.5,4
75,,,,,,,,,,,,,,,,,,,,,,,,,,
2569,6,0,1,3,0,0,2,28,0,10,63,0.04,2,70,2,2,10,2,2.08695652173913,0,3.46376811594203,0,0,1.0,0.4142857142857145,0
2015,0,1,2,2,0,3,4,2,10,8,4,0.28,1,84,3,0,6,2,3.93333333333333,0,7.2,1,0,0.407228915662651,0.666666666666667,2
215,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,,,,,,
2171,0,0,1,2,0,3,2,4,17,35,61,0.07500000000000001,0,100,3,1,11,3,3.6025641025641,0,2.67948717948718,1,0,0.986795774647887,1.0,0
901,,,,,,,,,,,,,,,,,,,,,,,,,,
855,,,,,,,,,,,,,,,,,,,,,,,,,,
856,,,,,,,,,,,,,,,,,,,,,,,,,,
2289,1,23,1,3,0,0,2,16,3,12,34,0.13,0,100,2,0,16,3,3.18032786885246,1,4.14754098360656,1,0,0.851251840942563,1.0,0
990,,,,,,,,,,,,,,,,,,,,,,,,,,
2611,1,0,1,1,0,0,1,19,0,6,25,0.06,2,54,1,0,5,2,2.46153846153846,0,5.76923076923077,1,0,1.0,1.0,2
82,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,1,1,0,0,2,2,6,4,12,0.28,0,81,1,0,8,2,2.38888888888889,0,3.0,1,0,0.849056603773585,1.0,0
1004,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,0,0,1,0,2,3,1,2,3,5,9,0.29,2,83,5,0,14,2,3.33333333333333,0,7.41666666666667,2,0,0.928571428571429,1.0,2
1610,1,0,1,0,5,0,2,2,11,8,9,0.07500000000000001,0,100,4,49,17,1,9.09523809523809,0,3.04761904761905,1,0,0.431192660550459,1.0,1
205,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,,,,,,,,,,,,,,,,,,,,,,,,,,
273,1,0,1,0,0,0,1,1,2,3,7,0.16,0,76,4,0,10,1,3.3,1,2.2,1,0,0.505050505050505,0.666666666666667,0
92,,,,,,,,,,,,,,,,,,,,,,,,,,
849,,,,,,,,,,,,,,,,,,,,,,,,,,
858,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,1,0,1,1,0,0,1,4,0,3,6,0.13,4,37,1,0,10,2,2.85714285714286,1,9.42857142857143,2,0,0.98974358974359,0.4142857142857145,1
255,,,,,,,,,,,,,,,,,,,,,,,,,,
2301,0,0,1,6,7,0,2,2,3,4,11,0.13,0,93,1,2,1,2,2.64285714285714,0,4.92857142857143,0,0,0.525581395348837,0.0,1
2158,4,0,1,2,0,1,2,10.5,0,3,8,0.31,0,80,3,0,18,1,3.0,1,5.66666666666667,1,0,0.970873786407767,0.5,1
206,0,33,1,0,0,4,1,1,0,0,10,3.59,0,75.5,1,1,6,1,4.30232558139535,0,0.511627906976744,0,0,0.6996699669967,1.0,1
77,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,0,0,1,0,0,0,2,1,2,0,21,0.11,0,51.5,1,2,13,2,2.43478260869565,0,4.43478260869565,1,0,0.449781659388646,0.5,1
1047,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,0,0,1,4,4,4,2,13.5,0,7,8,0.4,0,89,1,0,1,1,8.125,1,3.5,1,0,0.440217391304348,0.4142857142857145,3
148,,,,,,,,,,,,,,,,,,,,,,,,,,
852,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,,,,,,,,,,,,,,,,,,,,,,,,,,
