test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
41,0,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,2.999267578125,62.0,139.0,0.76,0.0,97.0,1.0,2.0,59.0,9.0,4.73053892215569,0.0,0.0,0.0,0.9000375359490083,0.5,1.0,0.5020001530647278,0.4979998469352722,2,18000732421875.0
43,0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,18.998536229133606,77.0,0.55,0.0,97.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,2.0,0.6430487632751465,0.3569512367248535,1,8.094876413637055
48,0,6.0,3.0,1.0,1.0,0.0,4.0,3.0,6.0,1.9995121955871582,22.0,38.0,0.39,0.0,89.0,1.0,3.0,27.0,4.0,4.87272727272727,0.0,1.0,0.0,0.9107337633199468,0.666666666666667,3.0,0.5062336921691895,0.49376627802848816,2,6000487804412.842
58,0,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,9.99755859375,78.0,1.43,0.0,94.0,1.0,1.0,50.0,6.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,0.625,1.0,0.5736417174339294,0.42635828256607056,1,7.421045060193295
67,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,6.0,15.999513626098633,0.1,0.0,87.0,2.0,0.0,28.0,1.0,5.13333333333333,1.0,1.0,0.0,0.464757709251101,1.0,1.0,0.8272349238395691,0.1727650910615921,1,1.5739211236790762
97,0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,6.0,35.0,18.998046875,157.0,0.27,0.0,98.0,1.0,2.0,64.0,2.0,6.43523316062176,0.0,0.0,0.0,0.465542885473475,0.4,3.0,0.6707231998443604,0.32927682995796204,1,35.0748368575239
110,0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,4.0,2.0,15.999513626098633,0.78,0.0,90.0,3.0,0.0,27.0,1.0,3.22222222222222,0.0,1.0,0.0,0.690909090909091,1.0,1.0,0.5427274107933044,0.45727258920669556,1,1.5739211236790762
111,0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,4.0,14.0,18.0,0.25,0.0,83.0,1.0,0.0,20.0,3.0,3.08695652173913,0.0,0.0,0.0,0.9000417227303246,0.0,0.0,0.6306502819061279,0.3693496882915497,1,1.1985162285826267
133,0,4.0,0.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,13.0,27.0,0.41,0.0,90.0,1.0,0.0,1.0,2.0,3.6969696969697,1.0,1.0,0.0,0.9000110206637426,0.666666666666667,1.0,0.6330614686012268,0.3669385313987732,1,1.0878662379628476
153,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,12.0,20.0,0.24,0.0,83.0,1.0,3.0,9.998780608177185,2.0,4.40740740740741,0.0,0.0,0.0,0.851494534374523,0.75,1.0,0.5024808645248413,0.4975191056728363,2,5.95500468552113
