test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba_col0,proba_col1,y0,y_cf,class0,class1,target_label,num_features_changed
16,0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,0.40138790049240924,0.51,0.0,85.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,0.734375,1.0,0.5442956780973414,0.45570432190265864,True,False,False,True,False,1
78,0,6.124013140099123,2.593796497909352,1.0,5.0,3.0,4.0,2.0,849.0,7.0,21.0,62.0,0.75,0.0,97.0,1.0,3.9802162712439895,60.0,9.0,5.14705882352941,0.0,0.0,0.0,0.1367609853623435,0.527452745274527,4.0,0.5222010701356146,0.4777989298643854,True,False,False,True,False,4
80,0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,269.0,4.319536312948912,7.0,2.424818344443338,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,0.1367609853623435,0.539735099337748,4.0,0.5194642874765649,0.48053571252343513,True,False,False,True,False,3
85,0,8.0,4.0,1.0,2.0,0.0,3.0,3.0,279.0,7.0,8.0,24.0,0.35,0.0,91.0,1.0,3.0,32.0,4.0,4.80952380952381,0.0,1.0,0.0,36.0,0.9456313087676995,4.0,0.5216584486432442,0.4783415513567558,True,False,False,True,False,1
86,0,0.0,0.0,1.0,0.5713678754400462,0.0,4.0,2.0,116.0,1.0,7.0,2.8917638318962418,0.79,0.0,78.0,2.0,2.0,13.0,1.5138200775254518,3.64705882352941,1.0,0.0,0.0,0.0,0.566552901023891,3.0,0.5139960637823169,0.48600393621768306,True,False,False,True,False,3
95,0,1.0,4.0,1.0,4.0,0.0,8.0,2.0,1049.0,6.0,22.0,23.0,1.37,0.0,95.0,1.0,1.0,53.0,6.0,4.21296296296296,0.0,0.0,0.0,0.0,0.945631308776612,5.0,0.5978967521794802,0.4021032478205198,True,False,False,True,False,1
96,0,0.0,12.0,1.0,1.0,0.0,0.0,2.0,29.0,1.0,1.0,1.9578728575725108,0.2,0.0,75.0,1.0,0.0,10.0,2.0,3.05882352941176,1.0,1.0,0.0,0.0,0.533980582524272,2.0,0.5329814129237729,0.4670185870762272,True,False,False,True,False,1
104,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,38.0,1.0,7.0,2.8917638319544494,0.1,0.0,87.0,2.0,0.0,29.0,1.0,5.16666666666667,1.0,1.0,0.0,0.1367609853623435,0.470715835140998,2.0,0.511882466379652,0.4881175336203481,True,False,False,True,False,2
134,0,1.0,2.5937964976765215,1.0,5.0,0.0,1.0,2.0,419.0,6.0,35.0,74.0,0.28,0.0,98.0,1.0,2.0,65.0,1.5138200775254518,8.11940298507463,0.0,0.0,0.0,378.0,0.408026755852843,5.0,0.5322045502249515,0.46779544977504844,True,False,False,True,False,2
147,0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,155.0,1.0,4.0,3.0,0.73,0.0,90.0,3.0,0.0,28.0,1.0,3.32142857142857,0.0,1.0,0.0,0.1367609853623435,0.659147869674185,1.0,0.5535904098420618,0.44640959015793824,True,False,False,True,False,1
166,0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,24.0,2.0,23.0,16.0,0.05,0.0,88.0,3.0,0.0,0.0,1.5138200775254518,4.97368421052632,0.0,1.0,0.0,37.0,0.547058823529412,3.0,0.591672677819756,0.40832732218024403,True,False,False,True,False,2
