,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
37,13.0,1.0,2.0,11.0,1.0,2.0,261.0,16.0,17.0,10.0,0.32,0.0,98.0,3.0,4.0,8.0,2.0,3.43564356435644,0.0,3.92079207920792,0.0,0.0,0.875,0.0,2.0,2.0
163,3.0,0.0,2.0,1.0,4.0,2.0,134.0,4.0,1.0,7.0,0.56,0.0,22.0,1.0,0.0,7.0,2.0,1.3,9.0,4.65217391304348,1.0,0.0,1.0,0.0,3.0,4.0
192,4.0,0.0,1.0,0.0,1.0,2.0,56.0,2.0,10.0,4.0,0.22,0.0,29.0,1.0,1.0,5.0,1.0,1.3,0.0,3.62068965517241,1.0,0.0,1.0,0.0,2.0,1.0
214,0.0,0.0,1.0,0.0,5.0,2.0,307.0,1.0,8.0,25.0,0.65,0.0,49.0,2.0,0.0,7.0,1.0,39.6,0.0,3.20408163265306,1.0,0.0,1.0,0.0,3.0,7.0
223,13.0,0.0,1.0,0.0,7.0,3.0,167.0,2.0,97.0,3.0,27.0,2.0,22.0,2.0,0.0,92.0,3.0,8.38260869565217,1.0,8.49565217391304,1.0,1.0,0.518518518518518,1.0,4.0,8.0
256,5.0,0.0,1.0,3.0,1.0,2.0,283.0,2.0,2.0,30.0,0.33,0.0,108.0,3.0,3.0,8.0,2.0,9.75,1.0,3.73148148148148,1.0,0.0,0.333333333333333,0.0,4.0,7.0
356,1.0,0.0,1.0,1.0,0.0,2.0,30.0,1.0,3.0,2.0,0.32,1.0,11.0,1.0,0.0,18.0,2.0,10.7,0.0,2.1,0.0,0.0,1.0,0.0,4.0,0.0
363,12.0,1.0,2.0,0.0,1.0,3.0,75.0,2.0,2.0,11.0,0.21,1.0,29.0,3.0,0.0,28.0,1.0,3.75862068965517,1.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0
364,1.0,1.0,2.0,6.0,0.0,3.0,77.0,16.0,5.0,4.0,0.09,1.0,57.0,1.0,2.0,45.0,3.0,4.03389830508475,6.0,6.74576271186441,0.0,0.0,0.407407407407407,1.0,4.0,6.0
397,6.0,0.0,4.0,0.0,0.0,4.0,27.0,1.0,5.0,10.0,0.11,0.0,16.0,4.0,0.0,21.0,1.0,3.6875,1.0,1.4,1.0,0.0,0.571428571428571,0.0,1.0,2.0
450,0.0,0.0,1.0,1.0,0.0,2.0,29.0,4.0,0.0,2.0,0.38,0.0,8.0,3.0,2.0,8.0,1.0,5.44444444444444,4.0,4.33333333333333,2.0,0.0,1.0,0.0,1.0,0.0
451,7.0,0.0,1.0,0.0,0.0,6.0,22.0,1.0,0.0,0.0,1.69,0.0,2.0,3.0,0.0,3.0,1.0,3.5,3.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0
456,1.0,0.0,3.0,0.0,0.0,3.0,32.0,6.0,6.0,1.0,0.13,0.0,20.0,3.0,3.0,11.0,3.0,6.08695652173913,2.0,3.78260869565217,2.0,0.0,1.0,0.0,1.0,0.0
458,0.0,0.0,2.0,0.0,0.0,2.0,34.0,6.0,7.0,2.0,0.16,0.0,20.0,4.0,22.0,13.0,1.0,11.4782608695652,3.0,4.39130434782609,2.0,2.0,1.0,0.0,1.0,0.0
460,0.0,0.0,1.0,0.0,0.0,1.0,40.0,3.0,6.0,1.0,0.45,0.0,14.0,3.0,2.0,9.0,1.0,5.06666666666667,2.0,3.73333333333333,2.0,0.0,1.0,0.0,1.0,0.0
467,0.0,150.0,1.0,9.0,2.0,2.0,5431.0,18.0,12.0,17.0,1.18,0.0,39.0,2.0,0.0,12.0,2.0,2.50670640834575,0.0,3.36512667660209,7.0,0.0,0.802325581395349,6.0,5.0,22.0
476,0.0,0.0,1.0,3.0,0.0,2.0,15.0,2.0,0.0,0.0,0.23,0.0,7.0,6.0,0.0,6.0,1.0,3.28571428571429,1.0,1.8,1.0,0.0,1.0,0.0,1.0,0.0
478,0.0,0.0,1.0,3.0,0.0,2.0,15.0,2.0,0.0,0.0,0.23,0.0,7.0,6.0,0.0,6.0,1.0,3.28571428571429,1.0,1.8,1.0,0.0,1.0,0.0,1.0,0.0
479,0.0,0.0,1.0,3.0,0.0,2.0,15.0,2.0,0.0,0.0,0.23,0.0,7.0,1.0,0.0,6.0,1.0,3.28571428571429,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0
514,6.0,0.0,4.0,12.0,4.0,6.0,211.0,1.0,4.0,0.0,0.29,0.0,0.0,1.0,0.0,11.0,1.0,5.63157894736842,1.0,7.8,1.0,0.0,0.428571428571429,0.0,4.0,2.0
522,1.0,0.0,1.0,4.0,0.0,2.0,1337.0,1.0,0.0,0.0,0.27,0.0,0.0,1.0,0.0,8.0,1.0,3.57777777777778,1.0,2.94444444444444,1.0,0.0,0.444444444444444,0.0,4.0,6.0
845,40.0,0.0,1.0,16.0,0.0,2.0,38.0,1.0,0.0,0.0,0.09,0.0,39.0,1.0,0.0,12.0,3.0,4.59523809523809,2.0,6.80952380952381,1.0,0.0,1.0,0.0,1.0,0.0
