,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
163,1,0,1,1,4,2,113,4,1,7,0.56,0,22,1,0,4,2,3.39130434782609,1,4.65217391304348,1,0,0.55,0,3,4
256,1,0,1,3,1,2,283,2,2,21,0.33,0,108,3,3,15,2,3.4000000000000004,1,3.73148148148148,1,0,0.333333333333333,0,4,4
214,4,0,1,0,5,2,21,1,8,1,0.65,0,49,2,0,7,1,2.04081632653061,0,3.20408163265306,1,0,287,0,3,0.55
192,4,0,1,0,4,2,56,2,6,4,0.22,0,29,1,2.6500000000000004,5,1,0,0,3.62068965517241,1,0,1.0,0,2,0
467,11,0,1,9,7,2,5431,18,12,15,1.18,0,39,2,0,55,2,2.50670640834575,0,3.36512667660209,0,0,0.55,6,5,15
460,0,0,1,0,0,1,40,2,6,1,0.45,0,14,5,4,4,1,5.06666666666667,2,3.73333333333333,2,0,0.55,0,1,0
478,0,0,1,2,0,2,15,1,0,0,0.23,0,7,5,0,6,1,3.28571428571429,1,3.0,1,0,0.55,0,1,0
476,0,0,1,2,0,2,15,1,0,0,0.23,0,7,5,0,6,1,3.28571428571429,1,3.0,1,0,0.55,0,1,0
514,6,0,5,0.45,4,6,211,1,4,0,0.29,0,0,1,10,11,1,5.63157894736842,1,4.36842105263158,1,0,2,0,4,2
522,1,0,1,2,0,2,124,1,0,0,0.27,0,0,1,0,15,1,3.4000000000000004,1,2.94444444444444,1,0,0.45,0,4,4
37,11,1,2,11,1,2,261,16,11,21,0.32,0,98,3,4,15,2,3.43564356435644,0,3.92079207920792,0,0,0.55,0,2,2
479,0.55,2,1,1,0,2,15,2,0,0,0.23,0,7,1,0,6,1,3.28571428571429,1,3.0,1,0,5,0,1,0
845,11,0,1,13,0,2,38,1,0,0,0.09,0,39,1,0,15,2,4.59523809523809,2,6.80952380952381,1,0,0.55,0,1,0
356,1,0,1,1,0,2,30,1,3,2,0.30000000000000004,1,8,1,0,15,2,3.09090909090909,0,5.0,0,0,0.55,0,3,0
363,1,1,2,0,1,3,75,2,2,11,0.21,1,29,3,0,11,1,3.4000000000000004,1,6.72413793103448,1,0,15,0.55,3,2
364,11,1,2,6,0,3,77,16,4,4,0.09,1,57,1,2,15,3,4.03389830508475,0,6.74576271186441,0,0,0.407407407407407,0,4,4
450,4,0,1,1,0,2,29,0.55,0,2,0.38,0,8,2,2,2,1,5.44444444444444,4,4.33333333333333,2,0,1,0,1,0
451,0,0,1,0,0,2,22,1,0,0,1.69,0,2,1,2,3,1,6,0.55,3.0,2,0,3.4000000000000004,0,1,0
456,1,0,2,0,0,3,32,4,3,1,0.13,0,20,5,3,11,1,6.08695652173913,2,3.78260869565217,2,0,0.55,0,1,0
397,6,0,2,0,0,4,27,1,4,10,0.11,0,16,4,0,15,1,2.3000000000000003,1,7.4375,1,0,0.55,0,1,2
458,0,0,2,0,0,2,34,5,0,2,0.16,0,20,5,16,13,1,11.4782608695652,3,4.39130434782609,2,0,0.55,0,1,0
56,11,1,2,20,1,4,349,25,4,21,0.13,1,191,4,3,55,3,4.53030303030303,0,4.83333333333333,0,0,0.15000000000000002,0,2,4
223,2,0,1,0,1,3,167,2,41,3,0.08,2,111,2,0,55,3,8.38260869565217,1,8.49565217391304,1,0,0.15000000000000002,1,4,4
345,5,2,1,58,1,3,482,22,0,1,0.14,1,205,4,0,32,2,6.10091743119266,0,7.44495412844037,0,0,0.454545454545455,0,4,4
