,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
450,0.0,0.0,1.0,1.0,0.0,2.0,29.0,2.0,0.0,2.0,0.38,0.0,8.0,5.0,2.0,4.0,1.0,5.44444444444444,4.0,4.33333333333333,2.0,0.0,1.0,0.0,1.0,0.0
460,0.0,0.0,1.0,0.0,0.0,1.0,40.0,1.0,6.0,1.0,0.45,0.0,14.0,5.0,2.0,4.0,1.0,5.06666666666667,2.0,3.73333333333333,2.0,0.0,1.0,0.0,1.0,0.0
192,4.0,0.0,1.0,0.0,1.0,2.0,56.0,1.0,10.0,4.0,0.22,0.0,3.0,1.0,1.0,4.0,1.0,3.13793103448276,0.0,3.62068965517241,1.0,0.0,1.0,0.0,2.0,1.0
476,0.0,0.0,1.0,3.0,0.0,2.0,15.0,2.0,0.0,0.0,0.23,0.0,7.0,6.0,0.0,2.0,1.0,3.28571428571429,1.0,3.42857142857143,1.0,0.0,1.0,0.0,1.0,0.0
456,1.0,0.0,3.0,0.0,0.0,3.0,32.0,6.0,6.0,1.0,0.13,0.0,20.0,6.0,3.0,1.0,1.0,6.08695652173913,2.0,3.78260869565217,2.0,0.0,1.0,0.0,1.0,0.0
479,0.0,0.0,1.0,3.0,0.0,2.0,15.0,2.0,0.0,0.0,0.23,0.0,7.0,6.0,0.0,2.0,1.0,3.28571428571429,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0
478,0.0,0.0,1.0,3.0,0.0,2.0,15.0,2.0,0.0,0.0,0.23,0.0,2.0,6.0,0.0,3.0,1.0,3.28571428571429,1.0,3.42857142857143,1.0,0.0,1.0,0.0,1.0,0.0
163,3.0,0.0,2.0,1.0,4.0,2.0,134.0,1.0,1.0,7.0,0.56,0.0,1.0,1.0,0.0,7.0,2.0,3.39130434782609,1.0,4.65217391304348,1.0,0.0,1.0,0.0,3.0,4.0
514,6.0,0.0,4.0,12.0,4.0,6.0,211.0,1.0,4.0,0.0,0.29,0.0,0.0,1.0,0.0,4.0,1.0,5.63157894736842,1.0,4.36842105263158,1.0,0.0,0.428571428571429,0.0,4.0,2.0
522,1.0,0.0,1.0,4.0,0.0,2.0,124.0,1.0,0.0,0.0,0.27,0.0,0.0,1.0,0.0,15.0,1.0,3.57777777777778,1.0,2.94444444444444,1.0,0.0,0.444444444444444,0.0,4.0,6.0
397,6.0,0.0,4.0,0.0,0.0,4.0,27.0,1.0,7.0,10.0,0.11,0.0,16.0,4.0,0.0,21.0,1.0,3.6875,1.0,7.4375,1.0,0.0,0.15,0.0,1.0,2.0
458,0.0,0.0,2.0,0.0,0.0,2.0,34.0,6.0,7.0,2.0,0.16,0.0,2.0,6.0,22.0,1.0,1.0,11.4782608695652,3.0,4.39130434782609,2.0,0.0,1.0,0.0,1.0,0.0
363,12.0,1.0,2.0,0.0,1.0,3.0,75.0,2.0,2.0,11.0,0.21,1.0,14.0,3.0,0.0,15.0,1.0,3.75862068965517,1.0,6.72413793103448,1.0,0.0,1.0,0.0,3.0,2.0
845,40.0,0.0,1.0,16.0,0.0,2.0,38.0,1.0,0.0,0.0,0.09,0.0,12.0,1.0,0.0,15.0,1.0,4.59523809523809,2.0,6.80952380952381,1.0,0.0,1.0,0.0,1.0,0.0
256,5.0,0.0,1.0,3.0,1.0,2.0,283.0,2.0,2.0,30.0,0.33,0.0,73.0,3.0,3.0,24.0,2.0,9.75,1.0,3.73148148148148,1.0,0.0,0.15,0.0,4.0,7.0
214,0.0,0.0,1.0,0.0,5.0,2.0,307.0,1.0,8.0,25.0,0.65,0.0,49.0,2.0,0.0,7.0,1.0,2.04081632653061,0.0,3.20408163265306,1.0,0.0,0.15,0.0,3.0,7.0
37,13.0,1.0,2.0,11.0,1.0,2.0,261.0,4.0,17.0,22.0,0.32,0.0,25.0,3.0,4.0,30.0,2.0,3.43564356435644,0.0,3.92079207920792,0.0,0.0,0.15,0.0,2.0,2.0
364,18.0,1.0,2.0,6.0,0.0,3.0,77.0,4.0,14.0,4.0,0.09,1.0,25.0,1.0,2.0,13.0,2.0,4.03389830508475,0.0,6.74576271186441,0.0,0.0,0.15,1.0,4.0,6.0
356,,,,,,,,,,,,,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,,,,,,,,,,,,,
467,27.0,0.0,1.0,9.0,7.0,2.0,5431.0,1.0,12.0,17.0,1.18,0.0,14.0,2.0,0.0,1.0,2.0,2.50670640834575,0.0,3.36512667660209,0.0,0.0,0.15,6.0,5.0,22.0
223,13.0,0.0,1.0,0.0,1.0,3.0,167.0,1.0,97.0,3.0,0.08,2.0,25.0,2.0,0.0,18.0,1.0,8.38260869565217,1.0,8.49565217391304,1.0,0.0,0.15,1.0,4.0,8.0
345,,,,,,,,,,,,,,,,,,,,,,,,,,
56,64.0,1.0,2.0,20.0,1.0,4.0,349.0,25.0,23.0,32.0,0.13,1.0,12.0,4.0,3.0,10.0,1.0,4.53030303030303,0.0,4.83333333333333,0.0,0.0,0.15,0.0,2.0,4.0
