,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE
10,20.0,0.0,2.0,276.0,1.0,7.0,542.0,1.0,0.0,13.0,3.0,15.05,5.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,1.48,0.0,14907.0,0.914331465172138,0.0,2.0
1955,50.0,0.0,1.0,302.0,1.0,3.0,460.0,3.0,0.0,18.0,24.0,26.07,1.0,97.0,2.0,0.0,3.0,1.0,4.54054054054054,1.0,0.0,0.564102564102564,0.0,1604.0,0.929274292742927,0.0,0.0
16,5.0,1.0,1.0,232.0,0.0,5.0,186.0,1.0,3.0,4.0,19.0,18.39,1.0,76.0,2.0,0.0,10.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0
1956,1.0,0.0,1.0,0.0,0.0,12.0,107.0,1.0,0.0,4.0,4.0,1.26,0.0,40.0,2.0,0.0,6.0,1.0,277.8,209.0,2.0,1.42857142857143,1.0,244.0,0.938388625592417,0.0,4.0
1957,1.0,0.0,1.0,0.0,0.0,6.0,70.0,1.0,0.0,3.0,4.0,1.27,0.0,66.0,2.0,0.0,125.0,1.0,3.8,1.0,1.0,0.714285714285714,0.0,77.0,0.945205479452055,0.0,0.0
1958,3.0,17.0,2.0,2.0,0.0,18.0,423.0,1.0,0.0,18.0,0.0,15.05,2.0,89.0,1.0,0.0,9.0,1.0,7.55,2.0,2.0,1.90909090909091,0.0,14907.0,0.790307548928239,0.0,0.0
19,8.0,5.0,1.0,3.0,0.0,0.0,60.0,1.0,2.0,2.0,86.0,23.3,0.0,97.0,3.0,1.0,12.0,4.0,5.91089108910891,0.0,1.0,1.12621359223301,0.0,17.0,0.49563838223632,0.0,6.0
23,7.0,1.0,1.0,302.0,0.0,4.0,244.0,1.0,3.0,8.0,30.0,26.07,1.0,87.0,2.0,0.0,17.0,2.0,6.21951219512195,1.0,1.0,1.2093023255814,0.0,308.0,0.337057728119181,0.0,4.0
1959,2.0,0.0,1.0,217.0,0.0,11.0,107.0,1.0,0.0,3.0,4.0,1.45,0.0,61.0,2.0,0.0,7.0,6.0,4.0,1.0,2.0,1.25,0.0,220.0,0.733990147783251,0.0,1.0
1960,2.0,0.0,1.0,0.0,0.0,10.0,118.0,1.0,0.0,5.0,5.0,1.26,0.0,60.0,2.0,0.0,58.0,1.0,4.14285714285714,211.0,0.0,1.33333333333333,1.0,273.0,0.905982905982906,0.0,1.0
27,6.0,5.0,4.0,0.0,0.0,1.0,129.0,1.0,1.0,38.0,28.0,20.16,0.0,0.0,1.0,1.0,7.0,2.0,8.5,0.0,1.0,1.30952380952381,0.0,10.0,0.533261802575107,0.0,5.0
30,11.0,10.0,1.0,8.0,0.0,1.0,371.0,1.0,35.0,617.0,91.0,26.91,0.0,96.0,1.0,1.0,25.0,3.0,4.97959183673469,0.0,0.0,0.899328859060403,0.0,199.0,0.468253968253968,0.0,0.0
33,25.0,18.0,2.0,214.0,0.0,1.0,199.0,1.0,5.0,28.0,35.0,0.2,0.0,94.0,1.0,1.0,14.0,1.0,6.68674698795181,0.0,0.0,0.670588235294118,0.0,26.0,1.0,0.0,0.0
34,38.0,0.0,1.0,112.0,0.0,1.0,35.0,13.0,4.0,8.0,173.0,0.25,0.0,99.0,1.0,1.0,13.0,2.0,4.07441860465116,0.0,0.0,0.4,0.0,11.0,0.579288025889968,0.0,4.0
35,3.0,0.0,1.0,3.0,16.0,14.0,285.0,1.0,0.0,617.0,14.0,26.91,3.0,72.0,1.0,0.0,5.0,1.0,6.47058823529412,0.0,1.0,4.7,0.0,172.0,0.506602641056423,0.0,0.0
48,0.0,8.0,1.0,9.0,2.0,4.0,139.0,1.0,7.0,7.0,9.0,20.16,0.0,0.0,1.0,2.0,8.0,2.0,6.25,0.0,0.0,0.576923076923077,0.0,186.0,0.462765957446808,0.0,3.0
56,22.0,25.0,1.0,276.0,2.0,3.0,543.0,2.0,4.0,12.0,78.0,15.05,1.0,93.0,4.0,2.0,23.0,3.0,7.62790697674419,0.0,1.0,1.15151515151515,0.0,14907.0,0.351164254247955,0.0,1.0
60,76.0,11.0,1.0,29.0,0.0,2.0,1014.0,1.0,16.0,617.0,205.0,26.91,0.0,96.0,1.0,1.0,23.0,3.0,7.19805194805195,0.0,0.0,1.38387096774194,0.0,255.0,0.390789687043944,0.0,0.0
67,5.0,4.0,2.0,1.0,0.0,2.0,104.0,1.0,2.0,689.0,14.0,0.36,0.0,91.0,1.0,1.0,11.0,1.0,5.04,194.0,1.0,1.0,0.0,133.0,0.562780269058296,0.0,1.0
69,2.0,4.0,1.0,285.0,3.0,2.0,200.0,3.0,2.0,11.0,28.0,0.72,0.0,93.0,3.0,4.0,9.0,2.0,29.0555555555556,1.0,1.0,0.0,0.0,50.0,0.3,0.0,2.0
74,20.0,29.0,1.0,16.0,1.0,2.0,544.0,1.0,12.0,617.0,83.0,26.91,0.0,95.0,1.0,2.0,20.0,3.0,5.97916666666667,0.0,0.0,1.26712328767123,0.0,13.0,0.583244586439475,0.0,0.0
83,1.0,0.0,1.0,302.0,0.0,3.0,83.0,1.0,2.0,11.0,12.0,0.39,1.0,74.0,1.0,2.0,13.0,2.0,4.73333333333333,1.0,0.0,1.05882352941176,0.0,0.0,0.288235294117647,0.0,2.0
96,1.0,0.0,1.0,21.0,0.0,0.0,1942.0,1.0,0.0,0.0,0.0,0.92,0.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2039.0,0.478260869565217,0.0,0.0
104,133.0,7.0,1.0,1.0,0.0,2.0,397.0,1.0,32.0,35.0,53.0,0.3,0.0,75.0,2.0,1.0,39.0,1.0,5.34814814814815,0.0,0.0,0.496350364963504,0.0,9.0,0.73784355179704,0.0,0.0
108,31.0,86.0,9.0,0.0,0.0,4.0,35.0,13.0,8.0,13.0,5.0,0.53,2.0,93.0,2.0,1.0,22.0,1.0,5.08771929824561,1.0,1.0,0.4,0.0,43.0,0.644832605531296,0.0,6.0
124,25.0,86.0,9.0,0.0,0.0,4.0,35.0,13.0,5.0,3.0,10.0,0.45,2.0,94.0,4.0,1.0,25.0,2.0,6.94230769230769,1.0,1.0,0.4,0.0,58.0,0.472436604189636,0.0,6.0
129,5.0,46.0,2.0,23.0,1.0,10.0,296.0,1.0,4.0,19.0,15.0,27.57,1.0,92.0,1.0,0.0,16.0,2.0,319.4,2.0,1.0,4.8,0.0,59.0,1.1,0.0,4.0
139,2.0,23.0,1.0,14.0,0.0,1.0,78.0,1.0,0.0,14.0,2.0,0.86,0.0,91.0,1.0,0.0,12.0,2.0,5.14814814814815,0.0,1.0,0.482758620689655,0.0,0.0,0.881547139403707,0.0,4.0
140,8.0,7.0,1.0,30.0,23.0,2.0,402.0,2.0,0.0,617.0,54.0,26.91,0.0,98.0,1.0,1.0,12.0,3.0,3.68115942028985,1.0,1.0,0.602739726027397,0.0,157.0,0.514598540145985,0.0,0.0
159,8.0,0.0,1.0,303.0,9.0,10.0,405.0,1.0,1.0,1.0,17.0,1.85,20.0,88.0,1.0,0.0,3.0,1.0,5.42307692307692,208.0,0.0,0.535714285714286,0.0,318.0,0.584553928095872,0.0,4.0
160,116.0,1.0,2.0,6.0,0.0,6.0,122.0,1.0,10.0,11.0,0.0,0.79,1.0,84.0,1.0,0.0,5.0,1.0,5.75,2.0,1.0,1.8,0.0,0.0,0.838926174496644,0.0,5.0
168,16.0,10.0,1.0,9.0,0.0,7.0,696.0,1.0,50.0,617.0,0.0,26.91,1.0,90.0,1.0,0.0,16.0,1.0,7.48684210526316,1.0,1.0,0.692307692307692,0.0,18.0,0.849949647532729,0.0,0.0
169,18.0,7.0,1.0,5.0,4.0,67.0,754.0,1.0,57.0,617.0,1.0,26.91,1.0,90.0,1.0,0.0,13.0,1.0,7.40963855421687,1.0,1.0,4.7,0.0,227.0,0.946419629444166,0.0,0.0
171,153.0,3.0,2.0,26.0,6.0,67.0,2618.0,2.0,25.0,617.0,4.0,26.91,2.0,96.0,2.0,0.0,53.0,1.0,9.43243243243243,0.0,1.0,4.7,0.0,122.0,0.863466409359547,0.0,0.0
172,0.0,3.0,1.0,17.0,2.0,3.0,81.0,2.0,4.0,13.0,1.0,0.31,1.0,84.0,2.0,1.0,104.0,1.0,10.25,3.0,1.0,1.09090909090909,0.0,3.0,0.865853658536585,0.0,3.0
175,13.0,7.0,1.0,1.0,2.0,4.0,666.0,2.0,93.0,617.0,5.0,26.91,0.0,95.0,1.0,0.0,13.0,1.0,3.97457627118644,1.0,1.0,0.471074380165289,0.0,45.0,0.684674751929438,0.0,0.0
177,23.0,2.0,1.0,0.0,0.0,7.0,218.0,1.0,2.0,4.0,0.0,20.16,1.0,0.0,1.0,0.0,11.0,1.0,6.85185185185185,1.0,1.0,1.41379310344828,0.0,124.0,0.825857519788918,0.0,2.0
182,1.0,0.0,1.0,0.0,1.0,5.0,125.0,1.0,2.0,4.0,14.0,9.99,1.0,67.0,2.0,0.0,6.0,1.0,2.70588235294118,187.0,1.0,0.578947368421053,0.0,73.0,0.622895622895623,0.0,3.0
186,69.0,3.0,1.0,76.0,3.0,8.0,1189.0,6.0,23.0,617.0,38.0,26.91,1.0,98.0,1.0,0.0,32.0,1.0,5.90225563909774,0.0,0.0,4.7,0.0,490.0,0.825808175260486,0.0,0.0
189,1.0,1.0,1.0,9.0,0.0,5.0,116.0,1.0,12.0,15.0,0.0,0.77,0.0,88.0,1.0,0.0,5.0,1.0,306.5,1.0,1.0,1.0625,0.0,0.0,1.0,0.0,1.0
193,28.0,0.0,2.0,64.0,2.0,5.0,176.0,1.0,0.0,928.0,1.0,10.83,30.0,92.0,1.0,0.0,7.0,1.0,8.68965517241379,1.0,1.0,1.25806451612903,0.0,11.0,0.88568683957733,0.0,3.0
204,6.0,46.0,1.0,6.0,62.0,9.0,659.0,2.0,0.0,0.0,57.0,27.57,1.0,98.0,1.0,0.0,24.0,2.0,319.4,0.0,1.0,4.8,0.0,440.0,1.1,0.0,6.0
208,1.0,0.0,1.0,0.0,0.0,5.0,117.0,1.0,1.0,4.0,169.0,28.95,1.0,73.0,1.0,2.0,10.0,2.0,9.86666666666667,1.0,1.0,0.666666666666667,0.0,12.0,0.960648148148148,0.0,2.0
209,0.0,0.0,1.0,0.0,0.0,3.0,36.0,1.0,0.0,232.0,4.0,1.06,1.0,0.0,2.0,0.0,1.0,1.0,2.5,1.0,2.0,2.9,0.0,5.0,0.928571428571429,0.0,0.0
212,0.0,0.0,1.0,0.0,0.0,4.0,71.0,1.0,0.0,1.0,115.0,1.92,0.0,28.0,1.0,1.0,1.0,3.0,1.71428571428571,0.0,1.0,0.4,0.0,2.0,0.952,0.0,1.0
213,0.0,0.0,1.0,0.0,0.0,3.0,52.0,1.0,0.0,1.0,7.0,0.91,0.0,28.0,1.0,0.0,1.0,3.0,267.9,0.0,1.0,0.888888888888889,0.0,0.0,0.953846153846154,0.0,1.0
214,0.0,0.0,1.0,285.0,1.0,3.0,99.0,1.0,0.0,11.0,17.0,0.5,1.0,83.0,2.0,0.0,7.0,1.0,6.52941176470588,0.0,1.0,0.0,0.0,15.0,0.3,0.0,2.0
216,9.0,0.0,1.0,0.0,0.0,2.0,44.0,1.0,0.0,2.0,9.0,0.98,0.0,44.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,11261.0,0.944444444444444,0.0,0.0
217,0.0,0.0,1.0,0.0,0.0,8.0,35.0,13.0,0.0,7.0,27.0,0.94,0.0,62.0,1.0,0.0,4.0,3.0,5.25925925925926,0.0,1.0,0.482758620689655,0.0,224.0,0.515650741350906,0.0,3.0
