,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE
10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,1,0,1,0,0,6,70,2,0,3,4,1.27,0,66,2,0,5,0,3.8,1,1,0.714285714285714,0,23,0.945205479452055,1,1
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,8,5,1,3,0,0,60,1,2,2,61,0.06,0,97,3,1,12,4,5.91089108910891,0,1,1.12621359223301,0,6,0.481553398058252,1,5
23,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1,0,1,21,0,0,24,2,0,0,0,0.92,0,99,1,0,0,1,0.0,0,1,0.01,0,7,0.481553398058252,0,0
104,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,28,0,2,64,2,5,146,1,0,9,1,0.21,0,92,1,0,7,1,8.68965517241379,1,1,1.25806451612903,0,6,0.8315533980582519,1,2
204,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1,0,1,0,0,5,70,1,1,4,13,0.47,1,73,2,2,10,2,4.1000000000000005,1,1,0.666666666666667,0,6,0.960648148148148,0,1
209,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,0,0,1,0,0,4,71,1,0,1,7,6.27,0,28,1,1,1,3,1.71428571428571,0,1,0.01,0,7,0.952,1,2
213,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,0,0,1,0,0,1,44,1,0,2,9,0.98,1,44,1,0,1,2,1.05,0,1,0.0,0,7,0.944444444444444,0,0
217,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,0,0,2,0,4,7,50,1,0,0,4,1.06,3,0,2,0,0,1,5.0,3,0,0.8,1,7,0.951219512195122,1,1
363,0,0,0,0,0,0,443,1,0,1,0,1.07,0,0,0,0,0,0,0.0,0,0,0.01,0,6,0.958724202626642,1,2
366,0,0,0,304,0,0,914,1,0,5,0,6.27,0,0,0,0,0,0,0.0,0,0,0.01,0,988,0.865497076023392,1,2
386,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,0,1,2,5,22,4,146,1,0,0,21,0.71,3,95,1,0,10,1,7.86363636363636,3,2,1.20833333333333,1,6,0.9815533980582518,0,1
408,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,1,6,1,2,0,8,70,1,0,0,0,3.95,0,100,0,1,4,1,1.16666666666667,1,0,0.0,0,7,0.944954128440367,0,0
428,0,34,1,14,0,6,443,1,0,0,77,6.27,0,100,1,1,25,1,4.14414414414414,0,0,0.01,0,6,0.941564561734213,0,2
437,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,0,11,1,0,0,5,146,1,0,0,8,6.27,0,0,2,1,6,1,2.05263157894737,1,0,0.01,0,7,0.937238493723849,0,2
527,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,0,4,1,4,0,4,146,1,0,0,23,6.27,0,100,1,2,12,1,1.51851851851852,0,0,0.01,0,6,0.692090395480226,0,2
578,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,0,23,1,0,0,8,443,1,0,0,38,5.46,0,0,3,10,4,2,10.983606557377,0,0,0.0,0,6,0.969811320754717,1,2
620,3,5,2,3,2,5,146,1,1,3,33,0.51,1,77,2,2,12,2,3.52380952380952,0,1,1.18181818181818,0,6,0.961605584642234,0,2
624,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,0,1,1,0,0,1,90,1,0,0,35,0.44,0,0,3,1,8,1,0.611111111111111,0,1,0.315789473684211,0,6,0.5815533980582519,1,2
628,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,0,13,1,0,0,3,70,2,0,3,0,1.47,0,64,1,4,2,1,4.1000000000000005,2,1,0.2,0,7,0.962025316455696,0,1
689,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6,14,2,1,0,4,70,3,1,7,2,0.37,1,71,1,0,9,2,6.69565217391304,0,0,1.48148148148148,0,251,0.5815533980582519,0,1
724,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,3,3,2,0,0,3,68,1,0,6,8,0.35000000000000003,1,76,2,0,4,2,2.35714285714286,0,1,0.8,0,6,0.963087248322148,1,1
783,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,0,1,1,15,0,5,70,1,0,1,8,0.35000000000000003,0,81,3,0,19,1,5.22222222222222,0,1,1.09090909090909,0,6,0.5815533980582519,0,1
820,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,0,0,1,15,0,20,146,1,5,0,4,0.43,7,74,2,0,25,1,7.88888888888889,2,3,0.8,0,6,0.9815533980582518,1,1
828,0,0,1,13,0,7,96,1,0,1,9,0.46,0,77,3,0,18,1,5.11111111111111,0,1,0.8,0,6,0.5815533980582519,1,2
832,2,0,1,18,0,8,120,1,0,1,9,0.35000000000000003,0,73,2,0,18,1,8.27272727272727,1,1,0.8,0,6,0.827050997782705,1,1
833,0,2,1,14,0,17,146,1,1,0,3,0.58,7,70,2,0,21,1,8.33333333333333,2,3,0.8,0,6,0.968325791855204,0,1
835,1,0,1,25,0,39,146,2,0,0,4,0.54,12,80,2,0,25,1,9.6,5,3,1.28571428571429,0,6,0.9815533980582518,1,1
837,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,,,,,,,,,,,,,,,,,,,,,,,,,,,
