,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE
1956,1,0,1,0,0,12,107,1,0,4,4,1.26,0,40,2,0,0.931553398058252,1,5.0,1,2,1.42857142857143,1,244,2,0,7
1955,50,0,1,59,1,3,460,3,0,18,24,0.5,1,97,2,0,8,1,4.54054054054054,1,0,0.564102564102564,0,1604,1,0,0.97
1959,2,0,1,0,0,11,107,1,0,3,4,1.45,0,61,2,0,6,1,4.0,1,2,1.25,0,220,2,0,0.5815533980582519
23,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,6,5,4,0,0,1,129,1,1,38,28,0.18,0,94,1,1,0,2,8.5,0,1,1.30952380952381,0,10,0.331553398058252,0,1
19,8,5,1,3,0,0,60,1,2,2,86,0.06,0,97,3,1,6,4,5.91089108910891,0,1,1.12621359223301,0,17,0.481553398058252,0,1
10,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,5,4,2,1,0,2,104,1,2,20,14,0.36,0,91,1,1,0,1,5.04,2,1,1.0,0,133,0.481553398058252,0,1
33,25,18,2,13,0,1,199,1,5,28,35,0.2,0,94,1,1,0,1,6.68674698795181,0,0,0.670588235294118,0,26,0.531553398058252,0,1
60,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1,0,1,0,0,3,83,1,2,11,12,0.39,1,74,1,2,12,2,4.73333333333333,1,0,1.05882352941176,0,0,0.281553398058252,0,1
96,1,0,1,21,0,0,24,1,0,0,0,0.92,0,100,1,0,0.481553398058252,1,0.0,0,1,0.0,0,0,1,0,2
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2,23,1,14,0,1,674,1,0,14,2,0.86,0,91,1,0,6,2,5.14814814814815,0,1,0.482758620689655,0,0,0.8315533980582519,0,2
140,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1,1,2,6,0,6,122,1,10,11,0,0.79,1,84,1,0,0.8315533980582519,1,5.75,2,1,1.8,0,0,2,0,7
129,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,0,3,1,17,2,3,81,2,4,13,1,0.31,1,84,3,1,6,1,10.25,3,1,1.09090909090909,0,3,0.8315533980582519,0,2
169,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1,1,1,9,0,5,116,0.5815533980582519,12,15,0,0.77,0,88,2,0,5,1,4.64285714285714,1,1,1.0625,0,0,2,0,2
177,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1,0,1,0,0,5,117,1,1,4,13,0.47,1,73,1,2,13,2,9.86666666666667,1,1,0.666666666666667,0,12,1,0,0.97
209,0,0,1,0,0,3,36,7,0,0,4,1.06,1,0,2,0,2,1,2.5,1,2,0.5,0,5,1,0,0.97
212,0,0,1,0,0,4,71,2,0,1,7,1.92,0,28,7,1,2,3,1.71428571428571,0,1,0.0,0,2,0.952,0,2
213,0,0,1,0,0,3,52,2,0,1,7,0.91,0,28,2,0,2,3,2.71428571428571,0,1,0.888888888888889,0,0,0.953846153846154,0,7
214,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,0,0,1,0,0,2,44,2,0,2,9,0.98,0,44,2,0,1,3,2.0,0,1,0.0,0,2,0.944444444444444,0,7
217,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,0,0,0,0,0,0,179,1,0,30,0,5.42,0,0,0,0,0.5815533980582519,0,0.0,0,0,0.0,0,27,0,0,2
327,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,1,1,1,1,0,2,72,2,0,4,15,0.58,1,58,2,0,1.0,1,8.58823529411765,1,1,0.631578947368421,0,0,7,0,2
347,9,0,2,0,7,8,397,1,0,3,31,0.92,1,65,1,0,0.5815533980582519,3,19.075,1,0,0.80952380952381,0,0,1,0,7
356,0,0,2,0,4,7,50,2,0,0,4,1.06,3,0,1,0,2,1,5.0,3,1,1.83333333333333,1,0,0.951219512195122,0,2
363,0,0,0,0,0,0,508,1,0,1,0,1.07,0,0,0,0,1,0,0.0,0,0,0.0,0,12,0,0,0.97
193,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,0,0,3,0,0,14,83,2,0,2,2,2.13,2,0,2,0,2,1,3.0,3,6,2.6,1,0,0.956521739130435,0,1
395,0,1,2,5,22,4,159,1,0,0,21,0.71,3,95,1,0,1,1,7.86363636363636,3,2,1.20833333333333,0,7,1.0,0,13
408,0,21,1,16,0,5,351,1,0,1,33,3.22,0,100,1,1,12,1,3.07407407407407,0,0,0.0,0,0,0.8315533980582519,0,1
366,0,0,0,304,0,0,914,1,0,5,0,1.51,0,0,0,0,0.8315533980582519,0,0.0,0,0,0.0,0,1645,0,0,1
420,0,6,1,3,0,8,75,1,0,0,0,3.95,0,100,2,1,1,0,1.16666666666667,1,0,0.0,0,0,0.944954128440367,0,7
428,0,34,1,14,0,6,739,1,0,0,77,4.2,0,100,1,1,2,1,4.14414414414414,0,0,0.0,0,8,0,0,0.97
441,1,0,1,0,1,6,200,1,0,11,25,0.96,0,83,2,0,0.5815533980582519,1,8.88461538461539,0,1,0.357142857142857,0,0,2,0,13
186,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,0,0,1,0,1,5,156,1,0,9,21,0.89,0,82,2,0,1,3,4.52380952380952,1,1,0.625,0,71,0.931553398058252,0,1
204,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,,,,,,,,,,,,,
