Antecedent,Antecedent Coverage %,Confidence,Lift
AvgLineComment > 3 & MaxNesting_Mean <= 0.05,0.04643,0.99038,1.33241
MINOR_LINE <= 1.065 & -0.155 < MAJOR_LINE <= 0.15,0.11205,0.94821,1.27567
-0.88 < CountDeclInstanceVariable <= 1.34 & -0.155 < MAJOR_LINE <= 0.15,0.15045,0.93175,1.25353
17.3 < CountLineComment <= 26.8,0.25714,0.92708,1.24725
RatioCommentToCode > 1.64,0.19464,0.92431,1.24352
-0.155 < MAJOR_LINE <= 0.15 & 0.715 < CountDeclClass <= 1.11,0.21339,0.91632,1.23276
MaxNesting_Mean <= 0.05 & 0.861 < AvgEssential <= 1.002,0.15268,0.91228,1.22733
-0.155 < MAJOR_LINE <= 0.15 & 0.861 < AvgEssential <= 1.002,0.23393,0.90267,1.21441
0.8 < RatioCommentToCode <= 1.64,0.20313,0.9011,1.21229
-0.155 < MAJOR_LINE <= 0.15 & 0.922 < CountPath_Min <= 1.046,0.22143,0.89516,1.2043
