test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
37,0,21.0,1.0,2.0,14.0,2.0,2.0,291.0,8.0,7.0,17.0,0.41,0.0,77.0,2.0,4.0,13.0,2.0,3.72151898734177,0.0,4.27848101265823,0.0,3.0,0.777777777777778,0.0,2.0,2.0,0.5485595,0.4514405
37,1,3.0,0.0,1.0,3.0,1.0,2.0,212.0,2.0,3.0,30.0,0.27,0.0,98.0,3.0,3.0,8.0,2.0,9.64285714285714,1.0,4.11224489795918,1.0,0.0,1.0,0.0,3.0,7.0,0.5484066,0.45159343
56,0,59.0,1.0,2.0,17.0,1.0,3.0,335.0,25.0,9.0,29.0,0.15,1.0,177.0,4.0,3.0,14.0,3.0,4.53631284916201,0.0,4.7877094972067,0.0,0.0,0.470588235294118,0.0,2.0,3.0,0.5713923,0.42860767
56,1,21.0,1.0,2.0,14.0,2.0,2.0,291.0,8.0,1.0,17.0,0.41,0.0,77.0,2.0,4.0,24.0,2.0,65.1,0.0,4.27848101265823,0.0,0.0,0.777777777777778,0.0,2.0,2.0,0.50569165,0.49430838
56,2,59.0,2.0,1.0,58.0,1.0,3.0,490.0,26.0,50.0,34.0,0.14,1.0,209.0,4.0,0.0,12.0,2.0,6.12669683257919,0.0,7.59276018099547,0.0,0.0,0.520833333333333,0.0,4.0,5.0,0.6465601,0.35343993
163,0,3.0,0.0,2.0,1.0,4.0,2.0,134.0,4.0,1.0,7.0,0.56,0.0,22.0,1.0,0.0,7.0,2.0,33.3,11.0,4.65217391304348,1.0,0.0,0.875,0.0,3.0,4.0,0.9047623,0.09523769
192,0,2.0,0.0,1.0,0.0,1.0,2.0,57.0,2.0,10.0,4.0,55.7,0.0,27.0,1.0,1.0,5.0,1.0,3.18518518518519,0.0,3.62962962962963,1.0,0.0,0.0,0.0,2.0,1.0,0.9473469,0.05265306
195,0,19.0,0.0,1.0,1.0,0.0,2.0,19.0,3.0,0.0,2.0,0.06,0.0,7.0,1.0,40.0,5.0,2.0,2.60869565217391,0.0,3.95652173913043,2.0,2.0,0.0,0.0,1.0,2.0,0.5892269,0.4107731
195,1,5.0,0.0,2.0,0.0,0.0,4.0,1187.0,1.0,1.0,1.0,0.23,0.0,8.0,3.0,0.0,3.0,1.0,102.0,1.0,4.125,1.0,0.0,0.666666666666667,0.0,1.0,0.0,0.79202193,0.20797808
214,0,0.0,0.0,1.0,0.0,5.0,2.0,319.0,1.0,6.0,23.0,0.76,8.0,47.0,2.0,0.0,3.0,1.0,112.1,0.0,2.70212765957447,1.0,0.0,0.333333333333333,0.0,3.0,7.0,0.5300777,0.46992227
223,0,13.0,0.0,1.0,0.0,1.0,3.0,159.0,2.0,97.0,3.0,37.7,2.0,111.0,2.0,0.0,8.0,3.0,8.34782608695652,1.0,8.34782608695652,1.0,0.0,0.380952380952381,1.0,4.0,8.0,0.66781217,0.33218783
223,1,3.0,0.0,1.0,3.0,1.0,2.0,212.0,2.0,3.0,30.0,20.5,0.0,98.0,3.0,3.0,24.0,2.0,9.64285714285714,1.0,4.11224489795918,1.0,0.0,0.3,0.0,3.0,7.0,0.6657963,0.33420375
256,0,21.0,1.0,2.0,14.0,2.0,2.0,291.0,8.0,7.0,17.0,0.41,0.0,77.0,4.0,4.0,12.0,2.0,3.72151898734177,0.0,4.27848101265823,0.0,0.0,0.777777777777778,0.0,2.0,2.0,0.61831546,0.38168454
256,1,3.0,0.0,1.0,3.0,20.0,2.0,212.0,2.0,3.0,30.0,21.5,0.0,98.0,3.0,3.0,24.0,2.0,9.64285714285714,1.0,4.11224489795918,1.0,0.0,0.590909090909091,0.0,3.0,7.0,0.5185094,0.48149064
256,2,0.0,0.0,1.0,0.0,5.0,2.0,319.0,1.0,6.0,23.0,0.76,0.0,47.0,2.0,0.0,92.0,1.0,1.93617021276596,0.0,2.70212765957447,1.0,0.0,0.0,0.0,3.0,7.0,0.857242,0.14275804
345,0,59.0,2.0,1.0,58.0,1.0,3.0,490.0,26.0,50.0,34.0,0.14,1.0,209.0,4.0,0.0,2.0,2.0,6.12669683257919,8.0,7.59276018099547,0.0,0.0,0.520833333333333,0.0,4.0,5.0,0.69902235,0.30097765
345,1,59.0,1.0,2.0,17.0,1.0,3.0,335.0,25.0,9.0,29.0,0.15,1.0,177.0,4.0,3.0,10.0,3.0,4.53631284916201,0.0,4.7877094972067,0.0,0.0,0.9,0.0,3.0,3.0,0.5771767,0.4228233
356,0,1.0,0.0,1.0,1.0,0.0,2.0,30.0,1.0,3.0,2.0,0.32,1.0,11.0,1.0,0.0,18.0,2.0,3.09090909090909,0.0,5.0,0.0,0.0,0.2,0.0,4.0,0.0,0.7689538,0.23104617
356,1,3.0,0.0,2.0,0.0,0.0,3.0,33.0,1.0,7.0,4.0,0.19,0.0,15.0,1.0,0.0,10.0,1.0,5.0,2.0,6.33333333333333,1.0,0.0,0.5,0.0,4.0,0.0,0.65713096,0.34286904
363,0,12.0,1.0,2.0,0.0,1.0,3.0,75.0,2.0,2.0,11.0,0.21,1.0,29.0,3.0,0.0,26.0,1.0,3.75862068965517,1.0,0.3,1.0,0.0,0.3,0.0,3.0,2.0,0.9331207,0.066879295
363,1,3.0,0.0,1.0,4.0,2.0,3.0,67.0,1.0,0.0,5.0,0.33,1.0,15.0,1.0,49.0,19.0,2.0,3.0,1.0,4.8125,1.0,0.0,0.2,0.0,6.0,3.0,0.88279235,0.117207624
364,0,12.0,1.0,2.0,2.0,1.0,3.0,78.0,13.0,13.0,4.0,0.1,1.0,47.0,1.0,2.0,37.0,3.0,4.18367346938776,0.0,7.08163265306122,23.0,0.0,0.3,0.0,3.0,7.0,0.5309559,0.4690441
364,1,12.0,1.0,2.0,5.0,1.0,3.0,75.0,2.0,2.0,11.0,0.21,1.0,29.0,3.0,0.0,5.0,1.0,3.75862068965517,1.0,6.51724137931035,1.0,0.0,0.5,0.0,3.0,2.0,0.65683436,0.34316567
397,0,6.0,0.0,4.0,0.0,0.0,4.0,2684.0,1.0,7.0,10.0,0.11,0.0,16.0,4.0,0.0,21.0,1.0,3.6875,1.0,7.6875,1.0,0.0,0.3,0.0,1.0,1.0,0.83215386,0.16784613
397,1,3.0,0.0,2.0,0.0,0.0,3.0,33.0,1.0,7.0,4.0,46.7,0.0,15.0,1.0,0.0,8.0,1.0,5.0,2.0,6.33333333333333,1.0,0.0,0.5,0.0,4.0,0.0,0.57780313,0.4221969
397,2,1.0,0.0,1.0,1.0,0.0,2.0,30.0,1.0,3.0,2.0,0.32,1.0,11.0,1.0,0.0,87.0,2.0,3.09090909090909,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.70550764,0.29449233
831,0,2.0,0.0,1.0,5.0,0.0,2.0,28.0,12.0,0.0,16.0,0.09,0.0,40.0,1.0,6.0,15.0,2.0,4.675,0.0,4.325,1.0,3.0,0.3,2.0,2.0,2.0,0.5282452,0.4717548
831,1,22.0,0.0,2.0,0.0,0.0,3.0,737.0,1.0,1.0,2.0,0.06,0.0,31.0,3.0,53.0,16.0,1.0,3.41935483870968,1.0,5.48387096774194,1.0,0.0,0.6,0.0,3.0,1.0,0.7686045,0.23139547
446,0,0.0,0.0,2.0,0.0,0.0,2.0,20.0,1.0,0.0,0.0,0.57,0.0,4.0,3.0,0.0,6.0,1.0,5.75,3.0,4.0,23.0,0.0,1.0,0.0,2.0,0.0,0.6165571,0.38344288
446,1,2.0,65.0,1.0,0.0,0.0,2.0,23.0,1.0,1.0,4.0,0.39,0.0,6.0,1.0,0.0,7.0,1.0,3.66666666666667,1.0,4.16666666666667,1.0,0.0,0.5,0.0,2.0,0.0,0.57256913,0.42743087
450,0,0.0,186.0,1.0,1.0,0.0,1.0,5054.0,4.0,0.0,2.0,0.37,0.0,9.0,5.0,2.0,7.0,1.0,4.2,2.0,3.1,2.0,0.0,1.0,0.0,1.0,0.0,0.6074895,0.39251047
451,0,0.0,0.0,1.0,0.0,0.0,1.0,5172.0,1.0,0.0,0.0,1.38,0.0,3.0,3.0,0.0,2.0,1.0,4.0,3.0,12.6,2.0,0.0,1.0,0.0,1.0,0.0,0.92700136,0.072998665
451,1,0.0,0.0,1.0,0.0,0.0,1.0,22.0,1.0,0.0,0.0,1.38,0.0,3.0,3.0,0.0,2.0,1.0,3.0,2.0,2.33333333333333,2.0,0.0,0.1,0.0,1.0,0.0,0.933278,0.06672199
451,2,0.0,0.0,1.0,0.0,0.0,1.0,20.0,1.0,0.0,0.0,1.11,0.0,326.0,2.0,0.0,3.0,1.0,2.66666666666667,2.0,2.33333333333333,21.0,0.0,1.0,0.0,1.0,0.0,0.8508142,0.14918575
456,0,1.0,0.0,2.0,0.0,0.0,2.0,27.0,6.0,1.0,2.0,0.15,0.0,18.0,6.0,3.0,11.0,1.0,5.61904761904762,2.0,3.76190476190476,2.0,0.0,0.3,0.0,1.0,16.0,0.9640923,0.035907675
456,1,3.0,0.0,2.0,0.0,0.0,3.0,33.0,1.0,7.0,4.0,0.19,0.0,15.0,1.0,0.0,12.0,5.0,5.0,2.0,6.33333333333333,1.0,0.0,0.5,0.0,4.0,0.0,0.5152592,0.4847408
458,0,1.0,0.0,2.0,0.0,9.0,2.0,31.0,6.0,1.0,2.0,0.19,0.0,16.0,6.0,22.0,13.0,1.0,2.5,2.0,4.05263157894737,2.0,0.0,1.0,0.0,1.0,0.0,0.5417274,0.45827258
458,1,1.0,0.0,2.0,0.0,10.0,2.0,27.0,6.0,1.0,2.0,0.15,0.0,18.0,1.0,3.0,11.0,1.0,5.61904761904762,2.0,3.76190476190476,2.0,0.0,1.0,0.0,1.0,0.0,0.6992759,0.3007241
467,0,27.0,0.0,1.0,8.0,7.0,2.0,5090.0,18.0,12.0,17.0,1.14,0.0,413.0,2.0,0.0,0.0,2.0,2.47551342812006,0.0,3.46287519747235,0.0,0.0,0.733812949640288,4.0,5.0,21.0,0.94976705,0.050232936
467,1,59.0,2.0,1.0,58.0,1.0,3.0,490.0,26.0,50.0,34.0,0.14,1.0,209.0,4.0,0.0,9.0,2.0,6.12669683257919,0.0,7.59276018099547,0.0,0.0,0.520833333333333,4.0,4.0,5.0,0.6465601,0.35343993
522,0,2.0,0.0,1.0,4.0,0.0,2.0,124.0,1.0,0.0,0.0,0.25,0.0,0.0,1.0,50.0,24.0,1.0,3.85714285714286,1.0,3.24175824175824,3.0,0.0,0.421052631578947,0.0,4.0,6.0,0.5475111,0.45248887
845,0,23.0,0.0,1.0,0.0,0.0,4.0,30.0,2.0,2.0,50.0,0.06,2.0,31.0,1.0,0.0,13.0,2.0,4.35483870967742,0.0,6.51612903225806,0.0,0.0,0.777777777777778,0.0,1.0,2.0,0.8068029,0.19319709
845,1,22.0,0.0,1.0,1.0,0.0,3.0,21.0,1.0,0.0,0.0,0.07,0.0,26.0,1.0,0.0,7.0,2.0,4.19230769230769,17.0,5.76923076923077,1.0,0.0,0.642857142857143,0.0,1.0,1.0,0.50751364,0.49248636
845,2,22.0,0.0,2.0,0.0,0.0,3.0,17.0,1.0,1.0,2.0,0.06,0.0,31.0,3.0,0.0,14.0,1.0,123.7,1.0,5.48387096774194,1.0,0.0,0.6,0.0,3.0,1.0,0.88225543,0.11774458
