test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
49,0,59.0,1.0,2.0,0.0,1.0,25.0,9.0,54.0,0.15,1.0,177.0,4.0,4.0,3.0,77.0,3.0,4.53631284916201,0.0,17.5,0.0,1.0,0.470588235294118,0.0,7.0,3.0,0.64791334,0.3520867
49,1,59.0,1.0,2.0,1.0,1.0,25.0,9.0,29.0,0.15,1.0,177.0,4.0,4.0,3.0,77.0,3.0,4.53631284916201,0.0,17.2,7.0,1.0,0.470588235294118,0.0,2.0,3.0,0.63791835,0.36208165
49,2,59.0,1.0,2.0,1.0,1.0,25.0,9.0,56.0,0.15,1.0,177.0,4.0,4.0,3.0,77.0,3.0,4.53631284916201,0.0,5.9,12.0,1.0,0.470588235294118,0.0,1.0,3.0,0.58643204,0.41356796
340,0,59.0,2.0,1.0,0.0,1.0,26.0,50.0,34.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,6.12669683257919,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.5828334,0.41716656
340,1,1.0,2.0,1.0,58.0,1.0,26.0,50.0,34.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,6.12669683257919,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.5048224,0.49517763
340,2,15.0,2.0,1.0,58.0,1.0,26.0,0.0,34.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,6.12669683257919,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.5008968,0.4991032
340,3,59.0,2.0,1.0,58.0,1.0,26.0,2.0,0.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,6.12669683257919,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.5036658,0.4963342
340,4,7.0,2.0,1.0,0.0,1.0,26.0,50.0,34.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,6.12669683257919,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.5828334,0.41716656
340,5,1.0,2.0,1.0,58.0,1.0,26.0,86.0,34.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,6.12669683257919,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.5048224,0.49517763
340,6,0.0,2.0,1.0,58.0,1.0,26.0,50.0,34.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,117.7,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.5048224,0.49517763
340,7,59.0,2.0,1.0,58.0,1.0,26.0,0.0,34.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,54.4,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.5008968,0.4991032
340,8,59.0,2.0,1.0,212.0,1.0,26.0,0.0,34.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,6.12669683257919,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.5008968,0.4991032
340,9,176.0,2.0,1.0,58.0,1.0,26.0,0.0,34.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,6.12669683257919,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.5008968,0.4991032
340,10,7.0,2.0,1.0,58.0,1.0,26.0,1.0,34.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,6.12669683257919,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.5920589,0.40794113
340,11,1.0,2.0,1.0,58.0,1.0,26.0,50.0,19.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,6.12669683257919,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.5048224,0.49517763
340,12,194.0,2.0,1.0,58.0,1.0,26.0,0.0,34.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,77.5,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.5008968,0.4991032
340,13,58.0,2.0,1.0,58.0,1.0,26.0,0.0,34.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,8.6,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.5008968,0.4991032
340,14,7.0,2.0,1.0,0.0,1.0,26.0,50.0,14.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,6.12669683257919,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.5828334,0.41716656
340,15,1.0,2.0,1.0,58.0,1.0,26.0,86.0,17.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,6.12669683257919,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.5048224,0.49517763
340,16,59.0,2.0,1.0,58.0,1.0,26.0,0.0,1.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,44.8,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.7897266,0.21027339
340,17,59.0,2.0,1.0,212.0,1.0,26.0,0.0,34.0,0.14,1.0,209.0,4.0,4.0,0.0,96.0,2.0,81.4,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.5008968,0.4991032
