,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
73,0.0,93.0,8.0,0.5,9.0,0.6299999999999999,0.0,77.0,3.0,8.0,13.0,2.0,4.78947368421053,0.0,3.84210526315789,0.0,1.0,0.785714285714286,0.0,93.0,0.5,0.0,1.0,8.0
95,0.0,0.0,0.0,18.0,0.5,0.33000000000000007,0.0,80.0,2.0,0.0,18.0,1.0,5.53846153846154,1.0,5.38461538461539,1.0,1.0,1.86666666666667,0.0,4.0,0.5,0.0,5.0,2.0
42,0.0,0.0,258.0,3.0,0.666666666666667,0.9199999999999999,0.0,78.0,1.0,0.0,14.0,2.0,6.8125,0.0,3.875,0.0,1.0,1.15,0.0,258.0,0.666666666666667,0.0,2.0,5.0
63,0.842105263157895,0.0,0.0,1.0,0.333333333333333,3.03,0.0,7.105427357601002e-15,2.0,1.0,14.0,2.0,3.05263157894737,0.0,0.8421052631578951,0.0,1.0,0.0,0.0,2.0,0.333333333333333,0.0,6.0,5.0
43,0.0,70.0,19.0,28.0,0.3,0.74,0.0,64.0,1.0,0.0,19.0,1.0,5.96428571428571,2.0,4.78571428571429,1.0,1.0,0.6,0.0,70.0,0.3,0.0,4.0,2.0
1363,0.0,0.0,13.0,0.33333333333333304,4.0,0.47,0.0,60.0,2.0,1.0,9.0,3.0,3.2,0.0,4.8,0.0,1.0,1.22222222222222,0.0,13.0,0.333333333333333,0.0,2.0,2.0
1397,0.0,0.0,0.5,3.0,9.16666666666667,0.6499999999999999,3.0,50.0,2.0,2.0,8.0,1.0,3.16666666666667,2.0,9.16666666666667,1.0,1.0,1.11111111111111,0.0,4.0,0.5,0.0,1.0,2.0
1399,0.0,0.0,6.0,0.33333333333333304,5.0,0.55,3.0,100.0,2.0,1.0,10.0,1.0,5.35,0.0,7.45,1.0,0.0,1.78260869565217,0.0,6.0,0.333333333333333,0.0,1.0,2.0
1416,0.0,0.0,71.0,16.0,0.636363636363636,0.8199999999999998,1.0,50.0,1.0,0.0,16.0,1.0,4.66666666666667,2.0,6.16666666666667,1.0,1.0,1.5,0.0,71.0,0.636363636363636,0.0,1.0,3.0
218,0.0,22.0,9.999999999999998,0.0,20.0,0.5800000000000001,0.0,96.0,2.0,2.0,22.0,2.0,5.23863636363636,0.0,2.18181818181818,0.0,1.0,0.18947368421052602,0.0,39.0,0.24999999999999994,0.0,3.0,10.0
409,0.0,78.0,6.0,0.25,7.0,0.41999999999999993,0.0,66.0,2.0,7.000000000000001,13.0,2.0,6.0,0.0,7.05,1.0,1.0,1.20833333333333,0.0,78.0,0.24999999999999994,0.0,4.0,6.0
1444,0.0,42.0,16.0,0.5,9.0,0.79,0.0,88.0,1.0,1.0,16.0,2.0,6.75,1.0,4.32142857142857,1.0,1.0,0.915254237288136,0.0,42.0,0.5,0.0,2.0,1.0
476,0.0,164.0,7.0,0.3636363636363642,12.0,1.85,0.0,100.0,1.0,1.0,8.0,2.0,5.79545454545455,0.0,0.8181818181818183,0.0,1.0,0.0,0.0,164.0,0.363636363636364,0.0,4.0,7.0
1461,0.0,66.0,19.0,0.4500000000000002,7.0,0.6699999999999999,0.0,65.0,1.0,0.0,19.0,2.0,5.23076923076923,1.0,5.76923076923077,1.0,1.0,0.941176470588235,0.0,66.0,0.625,0.0,1.0,2.0
500,0.0,25.000000000000004,1.0,0.0,10.0,0.5800000000000001,0.0,87.0,1.0,0.0,25.0,2.0,5.55357142857143,1.0,4.98214285714286,1.0,1.0,1.03448275862069,0.0,378.0,0.24999999999999994,0.0,4.0,1.0
550,0.0,39.0,16.999999999999996,0.6000000000000003,19.5833333333333,0.0800000000000003,0.0,56.0,2.0,0.0,17.0,1.0,7.66666666666667,3.0,19.5833333333333,5.0,2.0,2.64285714285714,1.0,39.0,0.6,0.0,2.0,3.0
120,0.0,0.0,0.0,3.0,0.5,0.8399999999999999,0.0,50.0,2.0,0.0,14.0,3.0,1.75,0.0,4.5,0.0,1.0,2.1666666666666696,0.0,36.0,0.5,0.0,2.0,2.0
1437,0.0,24.0,6.0,0.0,0.285714285714286,0.41999999999999993,0.0,80.0,1.0,2.0,24.0,1.0,4.30769230769231,1.0,5.69230769230769,0.0,1.0,1.17647058823529,0.0,21.0,0.285714285714286,0.0,3.0,2.0
640,0.0,36.0,5.0,21.0,0.25,0.51,0.0,90.0,1.0,1.0,9.0,2.0,6.0,2.0,5.0,1.0,1.0,0.894736842105263,0.0,36.0,0.24999999999999994,0.0,2.0,5.0
648,0.0,5.0,15.0,0.6666666666666667,7.0,0.71,0.0,85.0,1.0,0.0,15.0,1.0,5.71428571428571,4.0,5.42857142857143,2.0,1.0,1.4444444444444402,0.0,3.0,0.666666666666667,0.0,3.0,5.0
1498,0.0,0.0,16.0,0.33333333333333304,3.0,0.44999999999999996,0.0,74.0,1.0,3.0,11.0,2.0,4.66666666666667,1.0,4.26666666666667,1.0,1.0,1.05263157894737,0.0,16.0,0.333333333333333,0.0,1.0,3.0
310,0.0,24.0,1.0,0.0,2.0,0.99,0.0,85.0,1.0,0.0,24.0,1.0,7.52380952380952,2.0,5.42857142857143,1.0,1.0,0.826086956521739,0.0,95.0,0.416666666666667,0.0,6.0,2.0
710,0.0,27.0,214.0,0.0,2.0,0.41999999999999993,0.0,76.0,2.0,0.0,27.0,2.0,2.41666666666667,0.0,4.95833333333333,1.0,1.0,0.6,0.0,214.0,0.125,0.0,2.0,6.0
339,0.0,0.0,51.0,0.0,0.333333333333333,0.22999999999999998,0.0,65.0,2.0,6.0,17.0,1.0,6.5,1.0,6.4,0.0,1.0,1.58333333333333,0.0,51.0,0.333333333333333,0.0,3.0,3.0
331,0.0,0.0,19.0,0.0,0.333333333333333,0.18999999999999995,0.0,50.0,2.0,0.0,21.0,2.0,6.08333333333333,1.0,7.58333333333333,1.0,1.0,1.75,0.0,31.0,0.333333333333333,0.0,5.0,2.0
494,0.0,20.0,1.0,0.0,2.0,0.3500000000000001,0.0,86.0,2.0,0.0,20.0,2.0,5.7741935483871,1.0,7.35483870967742,1.0,1.0,1.69444444444444,0.0,78.0,0.375,0.0,3.0,4.0
1516,0.0,157.99999999999997,16.999999999999996,0.4500000000000002,2.0,0.19999999999999996,1.0,70.0,1.0,0.0,17.0,1.0,4.41666666666667,1.0,8.58333333333333,1.0,1.0,0.857142857142857,0.0,158.0,0.75,0.0,1.0,1.0
330,0.0,27.0,3.0,0.0,0.25,0.20999999999999996,0.0,50.0,2.0,0.0,17.0,2.0,5.5,1.0,6.5,1.0,1.0,1.71428571428571,0.0,27.000000000000007,0.24999999999999994,0.0,2.0,6.0
1519,0.0,11.0,16.999999999999996,0.4500000000000002,3.0,0.3700000000000001,1.0,64.0,1.0,0.0,17.0,1.0,3.375,2.0,7.25,1.0,1.0,1.1,0.0,11.0,0.666666666666667,0.0,1.0,2.0
1417,0.0,0.0,62.0,0.0,0.6,0.4099999999999999,1.0,50.0,3.0,0.0,18.0,2.0,3.5,1.0,7.83333333333333,1.0,1.0,0.875,0.0,62.0,0.6,0.0,1.0,2.0
721,0.0,37.0,0.0,0.0,4.0,0.24,3.9999999999999996,78.0,1.0,0.0,37.0,2.0,3.35294117647059,1.0,15.0,1.0,1.0,0.904761904761905,0.0,69.0,0.24999999999999994,0.0,6.0,4.0
466,0.0,13.0,6.0,0.0,0.2,2.25,0.0,100.0,1.0,1.0,18.0,2.0,2.5,0.0,0.8599999999999999,0.0,1.0,0.0,0.0,73.0,0.19999999999999996,0.0,2.0,13.0
758,0.0,5.0,4.0,0.4500000000000002,2.0,0.6200000000000001,1.0,7.105427357601002e-15,3.0,0.0,9.0,1.0,1.75,1.0,6.5,1.0,1.0,1.14285714285714,0.0,5.0,0.75,0.0,1.0,4.0
1529,0.0,21.0,6.0,0.5,6.0,0.21999999999999997,1.0,60.0,1.0,0.0,21.0,1.0,3.71428571428571,1.0,7.57142857142857,2.0,1.0,2.2222222222222197,0.0,6.0,0.5,0.0,1.0,2.0
1528,0.0,21.0,7.0,0.0,0.333333333333333,0.25,1.0,60.0,1.0,0.0,21.0,1.0,4.28571428571429,1.0,7.42857142857143,2.0,1.0,1.88888888888889,0.0,7.0,0.333333333333333,0.0,1.0,3.0
1541,0.0,40.0,18.0,0.5,2.0,0.29000000000000004,0.0,55.0,2.0,1.0,18.0,2.0,2.25,0.0,8.5,0.0,1.0,0.785714285714286,0.0,40.0,0.5,0.0,2.0,1.0
1127,0.0,32.0,1.0,0.0,0.5,0.73,0.0,7.105427357601002e-15,1.0,0.0,32.0,1.0,3.4375,0.0,5.375,1.0,1.0,0.944444444444444,0.0,15.0,0.5,0.0,3.0,1.0
589,0.0,37.0,1.0,0.4500000000000002,6.0,0.0800000000000003,0.0,89.0,1.0,2.0,37.0,2.0,6.24675324675325,0.0,6.8961038961039,1.0,0.0,1.34146341463415,0.0,19.0,0.5,0.0,2.0,3.0
833,0.0,21.0,12.0,0.0,6.0,0.24,1.0,78.0,1.0,1.0,21.0,2.0,4.4,1.0,6.15,1.0,1.0,1.11538461538462,0.0,12.0,0.19999999999999996,0.0,2.0,4.0
753,0.0,21.0,1.0,5.0,2.0,0.05999999999999983,0.0,96.0,1.0,0.0,21.0,2.0,1.6974789915966397,0.0,2.81512605042017,1.0,1.0,0.28688524590163905,0.0,14.000000000000007,0.428571428571429,0.0,4.0,5.0
1564,0.0,24.0,20.0,1.0,2.0,0.19999999999999996,2.0,25.0,3.0,0.0,24.0,1.0,4.0,1.0,15.9166666666667,0.0,1.0,1.4375,0.0,19.999999999999993,1.0,0.0,1.0,1.0
479,0.0,26.0,1.0,0.0,1.0,0.32000000000000006,0.0,100.0,2.0,3.0,26.0,2.0,6.25806451612903,2.0,5.96774193548387,1.0,1.0,1.23287671232877,0.0,51.0,0.333333333333333,0.0,2.0,9.0
350,0.0,28.999999999999996,0.0,0.0,2.0,0.41999999999999993,0.0,85.0,1.0,0.0,29.0,2.0,7.32258064516129,0.0,6.09677419354839,0.0,1.0,1.08571428571429,0.0,134.0,0.24999999999999994,0.0,4.0,9.0
