Antecedent,Antecedent Coverage %,Confidence,Lift
0.235 < MAJOR_COMMIT <= 0.925,0.11741,0.96958,1.18616
CountDeclMethodDefault <= -1.14,0.05714,0.96875,1.18514
MAJOR_COMMIT <= 0.235,0.20893,0.96795,1.18416
CountLineComment <= 20,0.15714,0.95455,1.16777
1 < CountClassCoupled <= 4.75,0.21071,0.94703,1.15858
OWN_COMMIT <= 0.168 & -0.232 < MINOR_COMMIT <= 0.025,0.19286,0.94213,1.15258
MAJOR_LINE <= 0.04,0.25536,0.93881,1.14852
PercentLackOfCohesion <= 5.8,0.20714,0.93103,1.139
0.04 < MAJOR_LINE <= 0.77,0.13125,0.92857,1.13599
4.75 < CountClassCoupled <= 8.6,0.20982,0.92553,1.13227
