Antecedent,Antecedent Coverage %,Confidence,Lift
MAJOR_COMMIT <= 0.295,0.20179,0.98894,1.15617
0.295 < MAJOR_COMMIT <= 0.96,0.11518,0.96899,1.13285
CountLineComment <= 12.8,0.11116,0.95582,1.11746
-0.02 < MAJOR_LINE <= 0.62,0.29866,0.94768,1.10794
0.95 < CountClassCoupled <= 3.3,0.20179,0.94469,1.10444
3.3 < CountClassCoupled <= 6.9,0.1933,0.94457,1.1043
OWN_COMMIT <= 0.202,0.20268,0.94273,1.10215
CountClassBase <= 0.902,0.16295,0.93973,1.09864
MaxInheritanceTree <= 0.91,0.16295,0.93151,1.08903
1.205 < MaxInheritanceTree <= 1.89,0.18348,0.92944,1.08661
