Antecedent,Antecedent Coverage %,Confidence,Lift
0.06 < MAJOR_LINE <= 0.79,0.14196,0.96855,1.15402
MAJOR_COMMIT <= 0.24,0.20179,0.96681,1.15195
0.85 < CountClassCoupled <= 3.4,0.20625,0.95455,1.13733
0.24 < MAJOR_COMMIT <= 0.96,0.12366,0.95307,1.13557
CountPath_Min <= 0.6,0.1192,0.93633,1.11563
CountInput_Min > 2.21,0.1808,0.9358,1.115
CountClassDerived > 1.515 & -7.54 < MINOR_COMMIT <= 0,0.19554,0.93379,1.1126
1.32 < CountOutput_Mean <= 3.06,0.21607,0.93182,1.11025
CountLineComment <= 20.6,0.16964,0.93158,1.10997
OWN_COMMIT <= 0.2,0.20223,0.93157,1.10995
