Antecedent,Antecedent Coverage %,Confidence,Lift
OWN_COMMIT <= 0.14 & 0.98 < MINOR_LINE <= 1.305,0.07321,1.0,1.21872
MAJOR_COMMIT <= 0.23,0.21027,0.98301,1.19802
0.23 < MAJOR_COMMIT <= 0.92,0.13348,0.97993,1.19426
CountLineComment <= 13.6,0.10223,0.9738,1.18678
1 < CountClassCoupled <= 3.65,0.18929,0.96698,1.17848
MINOR_LINE <= 0.98,0.09063,0.94089,1.14667
0 < MAJOR_LINE <= 0.74,0.125,0.93929,1.14472
MAJOR_LINE <= 0,0.27411,0.92997,1.13337
0.07 < MaxNesting_Mean <= 0.41,0.19241,0.92807,1.13106
CountClassCoupled <= 1,0.20938,0.92751,1.13037
