,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
264,0.0,362.0,17.0,7.696428571428569,9.0,1.0,362.0,1.0,0.0,10.0,1.0,0.0,91.0,2.0,1.0,9.0,1.0,7.69642857142857,1.0,1.0,0.0,17.0,0.222222222222222,0.0,3.0,4.0
365,315.0,167.0,5.0,0.0,6.0,2.0,315.0,8.0,10.0,8.0,1.0900000000000003,1.0,100.0,5.0,34.0,5.0,2.0,3.09090909090909,1.1102230246251565e-16,0.0,0.0,167.0,0.285714285714286,0.0,4.0,5.0
7,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,
516,52.0,8.0,3.0,0.8399999999999999,141.0,1.0,141.0,3.0,2.0,3.0,0.8399999999999999,0.0,92.0,1.0,2.0,8.0,3.0,2.73076923076923,1.1102230246251565e-16,0.0,0.0,52.0,0.333333333333333,0.0,3.0,2.0
493,,,,,,,,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,,,,,,,
538,,,,,,,,,,,,,,,,,,,,,,,,,,
563,,,,,,,,,,,,,,,,,,,,,,,,,,
