test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
41,0,6.0,1.0,1.0,5.0,3.0,4.0,2.0,7.0,21.0,62.0,81.3095703125,0.76,0.0,97.0,1.0,2.0,59.0,9.0,4.73053892215569,0.0,0.0,0.0,0.533424283765348,0.5,1.0,0.5,0.5,1,12.970553911481414
43,0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,2.0,7.0,0.74169921875,77.0,0.55,0.0,97.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,0.568445475638051,0.5,2.0,0.5,0.5,1,20.4089442744028
48,0,6.0,3.0,1.0,1.0,0.0,4.0,3.0,6.0,8.0,22.0,38.0,0.39,0.0,89.0,1.0,3.0,9.21533203125,4.0,4.87272727272727,0.0,1.0,0.0,0.496396396396396,0.666666666666667,0.0,0.5,0.5,2,3000000000000.0
58,0,0.0,4.0,1.0,2.0,0.0,8.0,2.0,5.0,22.0,21.0,16.51025390625,1.43,0.0,94.0,1.0,1.0,50.0,6.0,4.24038461538461,0.0,0.0,0.0,0.66008316008316,0.625,1.0,0.5,0.5,1,13.824755180929037
153,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,12.0,20.0,0.24,0.0,83.0,1.0,3.0,11.384033203125,2.0,4.40740740740741,0.0,0.0,0.0,0.383474576271186,0.75,1.0,0.5,0.5,1,5.266412652390979
212,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,15.908203125,65.0,0.41,0.0,96.0,2.0,0.0,25.0,1.0,2.4,1.0,1.0,0.0,0.61100569259962,1.0,1.0,0.5,0.5,1,9.504786776602248
228,0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,4.0,9.0,13.0,30.0,0.26,0.0,89.0,2.0,2.0,1.96533203125,2.0,3.775,0.0,0.0,0.0,0.584239130434783,0.857142857142857,1.0,0.5,0.5,1,7.768335346264074
236,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,19.0,63.0,0.06,0.0,92.0,2.0,1.0,9.97705078125,1.0,4.08571428571429,0.0,0.0,0.0,0.351648351648352,0.5,1.0,0.5,0.5,1,10.799591669613921
243,0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,10.0,36.0,0.16,1.0,87.0,2.0,1.0,16.041015625,2.0,3.24390243902439,0.0,0.0,0.0,0.419354838709677,0.5,2.0,0.5,0.5,1,9.091792922902641
259,0,5.0,0.0,1.0,3.0,0.0,1.0,2.0,4.0,13.0,4.68505859375,76.0,0.15,0.0,95.0,1.0,1.0,71.0,4.0,3.12765957446809,0.0,1.0,0.0,0.69479090242113,0.5,1.0,0.5,0.5,1,22.470620131004672
262,0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,10.309983253479004,39.0,0.21,0.0,92.0,1.0,2.0,18.0,3.0,4.83720930232558,1.0,1.0,0.0,0.463840399002494,0.5,1.0,0.5,0.5,1,3.837863716792902
523,0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,10.0,29.0,13.365878880023956,39.0,0.14,0.0,93.0,1.0,2.0,42.0,2.0,4.25714285714286,0.0,0.0,0.0,0.417142857142857,0.666666666666667,1.0,0.5,0.5,1,15.940996303763727
739,0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,5.0,11.0,37.0,0.13,0.0,85.0,2.0,0.0,11.171101570129395,2.0,2.83720930232558,1.0,1.0,0.0,0.460820895522388,1.0,1.0,0.5,0.5,1,4.326486722604303
746,0,5.0,1.0,1.0,5.0,0.0,1.0,2.0,4.0,10.0,44.0,30.240234375,0.15,0.0,96.0,1.0,0.0,0.0,4.0,2.95744680851064,0.0,1.0,0.0,0.659197012138189,0.666666666666667,2.0,0.5,0.5,2,17.50682198649612
776,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,28.424701690673828,84.0,0.21,0.0,97.0,1.0,0.0,0.0,1.0,2.51190476190476,1.0,1.0,0.0,0.816037735849057,1.0,0.0,0.5,0.5,1,7.807431747820292
779,0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,3.0,4.4736328125,42.0,0.19,0.0,91.0,1.0,0.0,31.0,5.0,3.4,0.0,0.0,0.0,0.589158345221113,1.0,2.0,0.5,0.5,1,9.123409677250017
789,0,3.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,7.0,12.0,25.0,0.12,0.0,92.0,1.0,1.0,14.46533203125,2.0,2.6,0.0,0.0,0.0,0.706744868035191,1.0,0.0,0.5,0.5,1,3.5527680995367756
855,0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,6.991458714008331,50.0,0.1,0.0,93.0,1.0,0.0,16.0,2.0,2.76785714285714,0.0,1.0,0.0,0.463030303030303,0.8,2.0,0.5,0.5,1,17.54252076485507
857,0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,4.0,2.0,10.36572265625,35.0,0.1,1.0,90.0,2.0,0.0,18.0,2.0,2.875,0.0,1.0,0.0,0.584040747028862,1.0,4.0,0.5,0.5,1,10.545175599446548
893,0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,4.0,16.0,19.0,12.0,0.12,2.0,91.0,1.0,0.0,17.963877856731415,2.0,6.85714285714286,3.0,1.0,0.0,0.86970684039088,1.0,2.0,0.5,0.5,1,10.46678879780727
911,0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,9.0,8.658775687217712,39.0,0.39,0.0,93.0,4.0,3.0,6.0,4.0,2.4375,1.0,1.0,0.0,0.492779783393502,1.0,2.0,0.5,0.5,1,11.022004797498493
913,0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,5.0,10.2001953125,36.0,0.36,0.0,93.0,4.0,3.0,14.0,2.0,2.07142857142857,0.0,0.0,0.0,0.470212765957447,0.5,3.0,0.5,0.5,1,6.609877706389713
