test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
78,0,6.0,1.0,1.0,5.0,3.0,4.0,2.0,23.4580078125,7.0,21.0,6.0,0.75,0.0,97.0,1.0,2.0,60.0,9.0,5.14705882352941,0.0,0.0,0.0,1.0,0.527452745274527,4.0,0.5,0.5,2,88.05802447284546
80,0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,65.49744927883148,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,0.49993896484375,0.539735099337748,4.0,0.5,0.5,2,500061035156.25
85,0,8.0,4.0,1.0,2.0,0.0,3.0,3.0,279.0,7.0,8.0,9.999024510383606,0.35,0.0,91.0,1.0,3.0,32.0,4.0,4.80952380952381,0.0,1.0,0.0,0.4921875,0.9531170447558379,4.0,0.5,0.5,3,35507812500000.0
86,0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,116.0,1.0,7.0,7.0,0.79,0.0,78.0,2.0,2.0,8.499817207455635,3.0,3.64705882352941,1.0,0.0,0.0,0.0,0.566552901023891,3.0,0.57,0.43,1,1.517665854762865
95,0,1.0,4.0,1.0,4.0,0.0,8.0,2.0,1049.0,6.0,22.0,23.0,1.37,0.0,95.0,1.0,1.0,11.4921875,6.0,4.21296296296296,0.0,0.0,0.0,0.0,0.642458100558659,5.0,0.51,0.49,1,13.998317988663835
96,0,0.0,12.0,1.0,1.0,0.0,0.0,2.0,29.0,1.0,1.0,5.0,0.2,0.0,75.0,1.0,0.0,8.499634861946106,2.0,3.05882352941176,1.0,1.0,0.0,0.0,0.533980582524272,2.0,0.53,0.47,1,0.5059912107289182
104,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,38.0,1.0,7.0,6.0,0.1,0.0,87.0,2.0,0.0,17.49768191576004,1.0,5.16666666666667,1.0,1.0,0.0,0.49987804889678955,0.470715835140998,2.0,0.5,0.5,2,1500121951103.2104
134,0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,419.0,6.0,35.0,74.0,0.28,0.0,98.0,1.0,2.0,22.4912109375,2.0,8.11940298507463,0.0,0.0,0.0,0.46142578125,0.408026755852843,5.0,0.5,0.5,2,377538574218750.0
147,0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,63.4921875,1.0,4.0,3.0,0.73,0.0,90.0,3.0,0.0,12.499878883361816,1.0,3.32142857142857,0.0,1.0,0.0,1.0,0.659147869674185,1.0,0.5,0.5,2,10.250370398648203
166,0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,24.0,2.0,23.0,16.0,0.05,0.0,88.0,3.0,0.0,8.493408203125,2.0,4.97368421052632,0.0,1.0,0.0,37.0,0.9481985652217018,3.0,0.5,0.5,2,10.70842527055731
