test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2,dist_mahal_num
85,0,1.0,4.0,1.0,2.0,0.0,3.0,3.0,60.0,7.0,8.0,18.0,0.35,0.0,91.0,1.0,3.0,32.0,4.0,4.80952380952381,1.0,1.0,0.0,0.0,0.442211055276382,4.0,0.56,0.44,5,36687872655688.28,9.49494501821315
134,0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,60.0,6.0,35.0,74.0,0.22,0.0,98.0,1.0,0.0,65.0,2.0,8.11940298507463,1.0,0.0,0.0,0.0,0.408026755852843,5.0,0.58,0.42,5,378006613698755.25,45.24816015429859
166,0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,24.0,2.0,23.0,9.0,0.05,0.0,88.0,3.0,0.0,40.0,2.0,4.97368421052632,0.0,1.0,0.0,0.0,0.547058823529412,3.0,0.56,0.44,2,37000000000000.0,4.661529724262469
172,0,4.0,0.0,1.0,2.0,4.0,2.0,2.0,121.0,2.0,3.0,13.0,0.38,0.0,92.0,1.0,0.0,1.0,2.0,3.92307692307692,1.0,1.0,0.0,0.0,0.495867768595041,2.0,0.52,0.48,2,13000000000000.0,1.6938560637575613
192,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,83.0,1.0,8.0,13.0,0.21,0.0,84.0,1.0,3.0,8.0,2.0,4.48275862068965,0.0,0.0,0.0,0.0,0.326653306613226,2.0,0.64,0.36,5,13000000000000.0,4.331773039318504
195,0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,164.0,1.0,2.0,29.0,0.56,0.0,96.0,1.0,2.0,22.0,2.0,2.75,0.0,0.0,0.0,0.0,0.796190476190476,2.0,0.53,0.47,1,7000000000000.0,0.817047809510382
251,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,170.0,1.0,0.0,39.0,0.41,0.0,97.0,2.0,0.0,28.0,1.0,2.63529411764706,1.0,1.0,0.0,0.0,0.642647058823529,3.0,0.5,0.5,1,10000000000000.0,1.167211156443403
267,0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,60.0,4.0,9.0,14.0,0.22,0.0,89.0,2.0,2.0,26.0,2.0,4.025,1.0,0.0,0.0,0.0,0.531208499335989,2.0,0.52,0.48,4,39012818406262.32,5.0574270486087
268,0,14.0,5.0,1.0,3.0,0.0,1.0,3.0,60.0,15.0,4.0,15.0,0.16,0.0,94.0,2.0,0.0,49.0,3.0,4.28712871287129,0.0,0.0,0.0,0.0,0.382173382173382,3.0,0.5,0.5,5,186026879778165.38,22.070902588025053
275,0,1.0,0.0,1.0,3.0,1.0,0.0,2.0,60.0,1.0,7.0,15.0,0.14,0.0,94.0,2.0,0.0,42.0,1.0,4.33802816901408,0.0,0.0,0.0,0.0,0.634862385321101,3.0,0.64,0.36,8,18055470085267.79,3.077174614883639
282,0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,60.0,6.0,2.0,9.0,0.22,1.0,85.0,2.0,1.0,40.0,2.0,3.23076923076923,0.0,0.0,0.0,0.0,0.416531604538088,3.0,0.52,0.48,4,40012498047485.12,4.694996775193442
284,0,3.0,0.0,1.0,2.0,0.0,2.0,2.0,60.0,3.0,1.0,13.0,0.28,0.0,90.0,2.0,0.0,26.0,2.0,2.91891891891892,0.0,1.0,0.0,0.0,0.459016393442623,2.0,0.59,0.41,2,17000000000000.0,2.238735232484546
299,0,5.0,0.0,1.0,3.0,0.0,1.0,1.0,173.0,1.0,13.0,38.0,0.31,0.0,95.0,1.0,1.0,71.0,4.0,11.75,0.0,1.0,0.0,0.0,0.63271375464684,3.0,0.52,0.48,5,162030861257971.47,19.34560775390213
302,0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,60.0,3.0,3.0,16.0,0.2,0.0,92.0,1.0,2.0,19.0,3.0,5.15909090909091,1.0,1.0,0.0,0.0,0.439320388349515,2.0,0.53,0.47,1,15000000000000.0,1.7508167346651045
546,0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,62.0,11.0,30.0,39.0,0.12,0.0,93.0,1.0,0.0,47.0,3.0,4.63291139240506,1.0,1.0,0.0,0.0,0.313213703099511,1.0,0.5,0.5,8,71505244562899.02,10.84150069230067
567,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,48.0,2.0,9.0,8.0,0.25,0.0,90.0,2.0,3.0,15.0,2.0,2.58620689655172,0.0,1.0,0.0,0.0,0.55,2.0,0.67,0.33,3,55000000000000.0,6.4433239070722195
762,0,1.0,1.0,1.0,6.0,0.0,1.0,2.0,60.0,4.0,10.0,44.0,0.14,0.0,96.0,1.0,0.0,42.0,4.0,2.97916666666667,0.0,1.0,0.0,0.0,0.633272058823529,4.0,0.51,0.49,4,19416487838947.6,4.643783342276755
790,0,2.0,0.0,1.0,3.0,1.0,0.0,2.0,60.0,4.0,4.0,16.0,0.17,0.0,95.0,2.0,0.0,22.0,3.0,3.26666666666667,0.0,0.0,0.0,0.0,0.558260869565217,2.0,0.62,0.38,2,40000000000000.0,4.678139114661377
1940,0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,182.0,1.0,0.0,1.0,1.3,0.0,0.0,1.0,0.0,9.0,2.0,1.53658536585366,1.0,1.0,0.0,0.0,0.809264305177112,1.0,0.63,0.37,1,17000000000000.0,1.984258965953785
854,0,9.0,0.0,1.0,2.0,0.0,2.0,3.0,151.0,1.0,0.0,7.0,0.34,1.0,78.0,1.0,1.0,16.0,2.0,6.625,2.0,1.0,0.0,0.0,0.606104651162791,3.0,0.53,0.47,1,8000000000000.0,0.9337689251547223
861,0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,23.0,1.0,0.0,3.0,0.35,0.0,65.0,2.0,0.0,5.0,2.0,2.75,1.0,1.0,0.0,2.0,0.682692307692308,0.0,0.67,0.33,2,14000000000000.0,1.652834595424272
863,0,1.0,0.0,1.0,12.0,0.0,1.0,2.0,60.0,5.0,0.0,29.0,0.22,0.0,94.0,1.0,0.0,3.0,3.0,2.80645161290323,1.0,1.0,0.0,0.0,0.56794425087108,2.0,0.56,0.44,5,25632011235952.594,9.092356508789072
871,0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,60.0,4.0,1.0,35.0,0.09,0.0,93.0,1.0,0.0,16.0,2.0,2.73333333333333,0.0,1.0,0.0,0.0,0.454649827784156,4.0,0.52,0.48,2,12000000000000.0,1.4052617232004698
