,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
1,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,
94,0,2,0,0,83,1,5,0.11,0,99,1,2,1,2,0.382978723404255,0,0,1,0.15000000000000002,0,1.0,0,1,1
101,1,1,0,1,115,1,8,4.06,0,96,1,0,4,2,0.623762376237624,0,0,1,0.15000000000000002,0,1.0,0,4,1
102,1,1,1,2,41,1,7,0.25,1,75,2,0,13,2,4.375,0,1,1,1.5,0,1.0,0,3,1
108,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,
283,0,1,1,3,50,1,5,0.37,0,85,2,0,9,2,3.35294117647059,0,1,2,1.0,0,0.14,0,2,0
285,,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,,
327,1,2,0,3,67,2,3,0.37,0,100,3,0,13,2,4.63636363636364,0,1,1,2.14285714285714,0,0.5,0,3,2
328,,,,,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,,,,,
344,2,1,6,2,115,4,24,0.36,0,100,1,18,13,3,7.81632653061224,0,0,0,0.682692307692308,0,0.4,0,4,7
357,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,,,,,
453,,,,,,,,,,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,,,,,,,,,
512,,,,,,,,,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,,,,,,,,,,,
522,,,,,,,,,,,,,,,,,,,,,,,,
546,,,,,,,,,,,,,,,,,,,,,,,,
559,1,1,2,2,46,4,0,0.31,1,0,1,0,17,2,1.875,0,1,1,0.8,1,1.0,0,2,0
585,,,,,,,,,,,,,,,,,,,,,,,,
586,,,,,,,,,,,,,,,,,,,,,,,,
588,,,,,,,,,,,,,,,,,,,,,,,,
601,,,,,,,,,,,,,,,,,,,,,,,,
616,,,,,,,,,,,,,,,,,,,,,,,,
643,0,1,1,0,72,1,24,0.15000000000000002,0,94,2,0,14,2,3.32727272727273,0,1,1,0.15000000000000002,0,0.9,0,3,2
678,1,1,0,1,86,1,15,0.28,0,94,2,4,4,1,4.44444444444444,0,1,1,0.553191489361702,1,0.9,0,3,1
694,,,,,,,,,,,,,,,,,,,,,,,,
723,,,,,,,,,,,,,,,,,,,,,,,,
748,1,4,0,3,47,3,8,0.2,1,48,1,0,5,2,7.5,0,2,1,2.0,1,0.9,0,3,2
