test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
194,0,0.0,0.0,1.0,1.0,5.0,2.0,111.0,1.0,11.0,0.0,0.53,1.0,97.0,3.0,9.0,23.0,1.0,2.71428571428571,0.0,0.0,0.0,1.498291015625,1.0,0.0,5.0,7.0,0.5047751456847127,0.49522485431528734,1,15501708984375.0
251,0,10.0,28.0,1.0,0.0,7.0,2.0,1868.0,7.0,39.0,8.0,0.84,0.0,100.0,4.0,21.0,12.4921875,8.0,13.009756097561,0.0,0.0,0.0,1.46337890625,0.705882352941177,0.0,6.0,11.0,0.5033907225673978,0.4966092774326022,2,160536621093750.0
302,0,11.0,0.0,1.0,2.0,6.0,2.0,752.0,22.0,30.0,6.0,0.68,0.0,100.0,4.0,72.0,17.5,2.0,3.34,0.0,0.0,0.0,1.4765625,0.454545454545455,0.0,6.0,8.0,0.5189963753325364,0.48100362466746366,2,124523437500000.0
352,0,7.0,0.0,1.0,0.0,6.0,2.0,182.0,3.0,0.0,9.0,0.72,0.0,75.0,2.0,0.0,21.0,2.0,4.57894736842105,1.0,1.0,0.0,24.49939799308777,0.75,0.0,6.0,3.0,0.5289856658899342,0.47101433411006577,1,2500602006912.2305
455,0,0.0,0.0,2.0,0.0,2.0,4.0,50.0,2.0,1.0,0.0,0.59,1.0,100.0,2.0,0.0,10.0,2.0,2.9357986450195312,2.0,6.0,1.0,0.0,0.0,0.0,3.0,2.0,0.5307092517300231,0.46929074826997685,1,0.048114689644633835
507,0,20.0,7.0,1.0,0.0,5.0,3.0,541.0,11.0,6.0,4.0,0.4,1.0,100.0,2.0,6.0,15.49865859746933,2.0,16.855421686747,0.0,1.0,0.0,1.491943359375,0.466666666666667,0.0,6.0,6.0,0.5156110854495666,0.4843889145504334,2,95508056640625.0
531,0,6.0,5.0,1.0,0.0,5.0,2.0,386.0,6.0,9.0,6.0,0.68,0.0,94.0,3.0,39.0,21.0,3.0,3.32727272727273,0.0,0.0,0.0,2.4951171875,0.571428571428571,0.0,7.0,5.0,0.553142056371853,0.44685794362814696,1,143504882812500.0
1923,0,1.0,0.0,2.0,0.0,6.0,2.0,129.0,2.0,7.0,3.0,0.57,0.4998779892921448,90.0,3.0,3.0,19.0,1.0,6.75,0.0,1.0,0.0,13.0,0.75,0.0,5.0,1.0,0.6375103292006932,0.3624896707993069,1,500122010707.8552
1956,0,4.0,0.0,2.0,1.0,6.0,3.0,200.0,4.0,4.0,11.0,0.58,1.0,100.0,3.0,4.0,19.0,2.0,4.63636363636364,1.0,1.0,0.0,22.49609375,0.714285714285714,0.0,4.0,1.0,0.5130056806392856,0.48699431936071436,1,29503906250000.0
834,0,11.0,0.0,1.0,0.0,6.0,2.0,1019.0,16.0,8.0,29.0,0.7,0.0,100.0,5.0,1.0,89.0,2.0,1.4475860595703125,0.0,1.0,0.0,1.4892578125,0.681818181818182,1.0,5.0,9.0,0.5086434104338046,0.49135658956619543,2,98510742187500.0
1283,0,0.0,0.0,1.0,0.0,2.0,1.0,51.0,4.0,3.0,1.0,0.25,0.49987804889678955,100.0,5.0,0.0,16.0,2.0,1.15384615384615,0.0,1.0,0.0,17.0,0.666666666666667,0.0,5.0,5.0,0.8222785380100591,0.1777214619899409,1,1500121951103.2104
1291,0,2.0,0.0,1.0,0.0,3.0,1.0,239.0,7.0,3.0,2.0,0.37,1.0,100.0,3.0,0.0,57.0,2.0,1.16363636363636,0.0,0.0,0.0,14.49841582775116,1.0,0.0,5.0,8.0,0.5011891244135754,0.49881087558642456,1,39501584172248.84
30,0,8.0,0.0,1.0,2.0,6.0,1.0,540.0,7.0,17.0,18.0,0.95,0.0,100.0,5.0,3.0,27.0,1.0,2.01428571428571,0.0,0.0,0.0,1.5,0.5,0.0,4.0,8.0,0.5783965771296912,0.42160342287030883,1,4500000000000.0
824,0,0.0,0.0,1.0,10.0,6.0,2.0,161.4521484375,1.0,2.0,2.0,1.11,0.0,71.0,1.0,1.0,6.0,2.0,4.72549019607843,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.5235034625083689,0.4764965374916311,1,10.288289470355636
