,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
455,0,0,2,0,2,4,50,2,0,0,0.59,1,100,2,0,10,2,3.0,2,6,1,0,0.0,0,3,2
1283,0,0,1,0,2,1,51,4,1,1,0.25,2,100,5,0,16,2,1.15384615384615,0,1,0,17,0.666666666666667,0,5,4
352,7,0,1,0,6,2,182,3,0,9,0.72,0,75,2,0,21,2,4.57894736842105,1,1,0,5,0.75,0,6,3
1923,1,0,2,0,6,2,129,2,7,3,0.57,1,90,3,3,19,1,6.75,0,1,0,2,0.75,0,5,1
30,8,0,1,2,6,1,540,7,0,18,0.95,0,100,5,3,8,1,2.01428571428571,0,0,0,6,0.5,0,4,8
1291,2,0,1,0,3,1,239,7,3,2,0.22,1,100,3,0,13.0,2,1.16363636363636,0,0,0,54,1.0,0,5,8
824,0,0,1,10,6,2,375,1,0,2,1.11,0,71,1,1,6,2,4.25,1,1,0,0,0.0,0,1,3
1956,4,0,2,1,6,3,200,4,4,11,0.58,1,100,3,4,19,2,1.148351648351645,1,1,0,52,0.714285714285714,0,4,1
531,4,5,1,0,5,2,386,6,5,6,0.68,0,94,3,39,9,3,3.32727272727273,0,0,0,146,0.571428571428571,0,7,5
194,0,0,1,1,5,2,84.5,1,0,0,0.22,1,97,3,9,23,1,2.71428571428571,0,0,0,17,1.0,0,5,7
251,2,28,1,0,7,2,144.0,7,39,8,0.84,0,100,4,21,70,8,13.009756097561,0,0,0,36.0,0.705882352941177,0,6,11
507,20,7,1,0,5,3,144.0,11,1,4,0.4,1,100,2,6,4.0,2,16.855421686747,0,1,0,97,0.466666666666667,0,6,6
302,6,0,1,2,6,2,63.0,22,30,6,0.68,0,100,4,72,1.0,2,3.34,0,0,0,36.0,0.454545454545455,0,6,8
834,5,0,1,0,6,2,1019,16,8,29,0.7,0,100,5,1,89,2,9.9375,0,1,0,1.5,0.681818181818182,0,5,9
