,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
302,,,,,,,,,,,,,,,,,,,,,,,,,,
455,0,0,2,0,2,4,50,2,1,0,0.59,0,100,2,0,10,2,3.0,2,6,1,0,0.0,0,3,2
507,,,,,,,,,,,,,,,,,,,,,,,,,,
531,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,,,,,,,,,,,,,,,,,,,,,,,,,,
834,,,,,,,,,,,,,,,,,,,,,,,,,,
824,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,2,0,1,0,3,1,239,7,3,2,0.37,1,100,3,0,2,2,1.16363636363636,0,0,0,54,1.0,0,5,8
1956,4,0,2,1,6,3,200,4,0,11,0.58,1,100,3,4,19,2,4.63636363636364,1,1,0,52,0.714285714285714,0,4,1
30,0,0,1,2,6,1,540,7,0,18,0.95,0,100,5,3,27,1,2.01428571428571,0,0,0,6,0.5,0,4,8
194,0,0,1,1,5,2,111,1,11,0,0.53,1,97,3,9,23,1,2.71428571428571,0,0,0,1,1.0,0,5,7
1283,,,,,,,,,,,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,,,,,,,,,,
