,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE
165,50.0,10.0,3.9999999999999996,2.0,2.0,2.0,2.0,50.0,1.0,4.0,6.0,6.0,0.0,1.0,0.0,10.0,2.0,0.0,4.2,1.0,1.0,0.0,1.0,1.0,2.0
913,5.0,103.0,9.0,65.0,0.6,2.0,2.0,65.0,1.0,5.0,9.0,15.0,0.0,1.0,102.99999999999999,2.0,2.0,2.0,2.95,0.0,1.0,0.0,0.6,2.0,2.0
3061,5.0,109.0,13.0,5.0,2.0,5.0,5.0,109.00000000000001,1.0,0.0,13.0,12.0,6.0,2.0,0.0,11.0,2.0,2.0,10.0,1.0,1.0,0.0,0.4,4.0,3.0
4185,3.0,7.0,23.0,58.0,3.0,1.0,3.0,58.0,1.0,7.0,3.0,13.0,0.0,1.0,4.0,23.0,2.0,0.0,7.857142857142861,1.0,1.0,0.0,1.0,2.0,2.0
4195,51.0,2.0,19.0,3.0,43.0,0.0,1.0,43.0,1.0,0.0,19.0,51.0,0.0,5.0,2.0,16.0,2.0,0.0,1.7843137254902,1.0,1.0,0.0,1.0,2.0,3.0
5440,5.0,7.0,23.0,9.0,71.0,1.0,2.0,71.0,2.0,7.0,9.0,23.0,0.0,3.0,0.0,7.0,2.0,1.0,4.62857142857143,1.0,1.0,0.0,0.0,2.0,5.0
5525,7.0,28.0,5.0,2.0,35.0,0.0,2.0,35.0,1.0,7.0,15.0,28.0,0.0,4.0,0.0,6.0,1.0,0.0,3.575,1.0,1.0,0.0,1.0,3.0,3.0
5522,14.7142857142857,2.0,10.0,51.0,0.0,4.0,9.0,51.0,1.0,1.0,1.0,6.0,4.0,1.0,0.0,10.0,3.0,1.0,14.714285714285698,1.0,1.0,0.0,1.0,4.0,2.0
6488,5.14285714285714,10.0,3.9999999999999996,9.0,2.0,0.0,2.0,27.0,1.0,2.0,4.0,2.0000000000000004,0.0,3.0,0.0,9.0,1.0,0.0,5.14285714285714,1.0,1.0,0.0,0.5,3.0,2.0
3216,52.0,28.0,7.0,1.0,31.0,1.0,1.0,57.0,28.0,0.0,2.0,52.0,0.0,5.0,0.0,14.0,2.0,0.0,6.20338983050847,1.0,1.0,0.0,0.666666666666667,2.0,2.0
5528,1.48484848484848,3.0,30.0,3.0,32.0,0.0,1.0,32.0,1.0,3.0,11.0,30.0,0.0,3.0,0.0,12.0,2.0,0.0,1.48484848484848,0.0,1.0,0.0,0.0,3.0,2.0
106,,,,,,,,,,,,,,,,,,,,,,,,,
5371,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,
