test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
0,0,0.0,1.0,1.0,3.0,2.0,5.0,3.0,0.0,4.0,8.0,1.02,0.0,100.0,2.0,0.0,12.0,1.0,3.0,1.0,4.55555555555556,1.0,1.0,1.3751385552542537,318.0,0.461538461538462,0.0,5.0,0.0,0.6747770309448242,0.3252229392528534,1,1.063336264969598
6,0,0.0,0.0,1.0,2.0,1.0,5.0,3.0,0.0,5.0,12.0,0.88,0.0,75.0,2.0,0.0,12.0,1.0,2.75,1.0,3.6469417214393642,1.0,1.0,0.352941176470588,361.0,0.333333333333333,0.0,5.0,3.0,0.6471600532531738,0.3528399169445038,1,0.23369978201675962
10,0,1.0,0.0,4.0,6.0,0.0,5.0,1.0,0.0,10.0,7.0,0.61,2.0,80.0,4.0,0.0,4.0,1.0,4.125,1.0,4.875,1.0,1.0,2.1,39.95556640625,0.3,0.0,4.0,3.0,0.6655919551849365,0.3344080150127411,1,9.382915565828478
13,0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,9.0,7.0,0.49,1.0,79.0,4.0,0.0,3.0,1.0,3.5,1.0,3.8,1.0,1.0,0.916666666666667,39.97265625,0.3,0.0,4.0,3.0,0.7378519773483276,0.26214799284935,1,5.396764398844616
14,0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,11.0,2.999267578125,3.0,0.27,0.0,82.0,4.0,2.0,8.0,1.0,6.06666666666667,1.0,5.86666666666667,0.0,1.0,0.722222222222222,245.0,1.0,0.0,2.0,3.0,0.5046070218086243,0.49539297819137573,2,3.4596698053126276
26,0,0.0,0.0,1.0,2.0,1.0,5.0,3.0,0.0,4.0,9.0,0.79,0.0,74.0,2.0,0.0,11.0,1.0,3.33333333333333,1.0,4.11111111111111,1.0,1.0,1.3751046316964275,326.0,0.333333333333333,0.0,4.0,4.0,0.5300388336181641,0.4699611961841583,1,0.9687888983404851
27,0,0.0,0.0,1.0,2.0,1.0,5.0,3.0,0.0,5.0,12.0,1.03,0.0,75.0,2.0,1.0,12.0,1.0,3.08333333333333,1.0,3.6469417214393642,1.0,1.0,0.352941176470588,346.0,0.384615384615385,0.0,4.0,3.0,0.6389846801757812,0.36101531982421875,1,0.23369978201675962
30,0,0.0,0.0,1.0,2.0,1.0,4.0,3.0,0.0,4.0,7.0,0.83,0.0,71.0,2.0,0.0,9.0,1.0,2.85714285714286,1.0,4.14285714285714,1.0,1.0,1.3751075381324391,423.0,0.384615384615385,0.0,4.0,1.0,0.7761871218681335,0.22381286323070526,1,1.268050611499762
33,0,0.0,1.0,1.0,3.0,2.0,6.0,3.0,0.0,4.0,8.0,1.06,0.0,100.0,2.0,0.0,12.0,1.0,3.22222222222222,1.0,4.55555555555556,1.0,1.0,1.1428634881973254,319.0,0.333333333333333,0.0,3.0,1.0,0.5012590885162354,0.49874088168144226,1,0.8505307563447333
37,0,0.0,0.0,1.0,2.0,1.0,6.0,3.0,0.0,5.0,11.0,0.99,0.0,72.0,2.0,0.0,12.0,1.0,2.72727272727273,1.0,4.09090909090909,1.0,1.0,0.2,113.961669921875,0.357142857142857,0.0,5.0,2.0,0.604499340057373,0.39550063014030457,1,7.144645465524873
