test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,9.0,18.0,0.23,0.0,81.0,4.0,0.0,28.0,1.0,3.0,0.0,4.6,1.0,1.0,0.7,322.0,1.0,0.0,2.0,0.0,0.9316398,0.0683602
6.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,14.0,3.16,0.0,57.0,2.0,0.0,7.0,1.0,2.4,0.0,2.2,1.0,1.0,0.0,361.0,0.7,0.0,2.0,1.0,0.9806036,0.019396398
10.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,1.0,0.0,2.0,7.0,0.98,0.0,87.0,4.0,0.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,0.9,343.0,0.3,0.0,3.0,1.0,0.8212459,0.17875412
13.0,0.0,2.0,0.0,2.0,3.0,1.0,4.0,1.0,0.0,6.0,6.0,0.56,1.0,75.0,1.0,0.0,2.0,1.0,4.2,1.0,5.8,2.0,1.0,1.8,199.0,0.5,0.0,1.0,1.0,0.98512906,0.014870955
14.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,6.0,0.0,9.0,12.0,0.25,0.0,70.0,2.0,0.0,5.0,2.0,2.4,0.0,4.2,0.0,1.0,0.6,246.0,1.0,0.0,2.0,2.0,0.9948958,0.00510418
26.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,1.0,0.0,2.0,7.0,0.98,0.0,87.0,4.0,0.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,0.9,343.0,0.3,0.0,3.0,1.0,0.8212459,0.17875412
27.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,1.0,0.0,2.0,7.0,0.98,0.0,87.0,4.0,0.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,0.9,343.0,0.3,0.0,3.0,1.0,0.8212459,0.17875412
30.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,10.0,25.0,0.13,1.0,81.0,4.0,0.0,7.0,1.0,2.6,1.0,3.3,1.0,1.0,1.1,446.0,0.3,0.0,1.0,2.0,0.8761042,0.12389583
33.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,9.0,18.0,0.23,0.0,81.0,4.0,0.0,28.0,1.0,3.0,0.0,4.6,1.0,1.0,0.7,322.0,1.0,0.0,2.0,0.0,0.9316398,0.0683602
37.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,1.0,0.0,2.0,7.0,0.98,0.0,87.0,4.0,0.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,0.9,343.0,0.3,0.0,3.0,1.0,0.8212459,0.17875412
1360.0,0.0,4.0,0.0,1.0,3.0,2.0,3.0,4.0,0.0,7.0,15.0,0.73,2.0,75.0,1.0,0.0,9.0,1.0,3.3,1.0,4.6,1.0,1.0,1.0,491.0,0.8,0.0,2.0,0.0,0.9010667,0.09893328
42.0,0.0,2.0,0.0,1.0,3.0,2.0,3.0,3.0,0.0,9.0,14.0,1.12,0.0,77.0,2.0,0.0,4.0,1.0,2.6,0.0,1.9,1.0,1.0,0.5,224.0,0.7,0.0,1.0,1.0,0.9890069,0.010993115
44.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,9.0,0.31,2.0,69.0,3.0,0.0,16.0,2.0,2.2,0.0,8.8,2.0,1.0,1.1,232.0,1.0,0.0,3.0,2.0,0.9632425,0.036757518
48.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,14.0,3.16,0.0,57.0,2.0,0.0,7.0,1.0,2.4,0.0,2.2,1.0,1.0,0.0,361.0,0.7,0.0,2.0,1.0,0.9806036,0.019396398
63.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,7.0,11.0,1.34,0.0,71.0,3.0,0.0,5.0,1.0,3.5,2.0,3.8,1.0,1.0,0.5,379.0,0.8,0.0,2.0,0.0,0.99211544,0.007884562
