CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0.0,1.0,0.0,0.0,22.0,4.0,15.0,0.08,0.0,89.0,2.0,1.0,3.0,2.0,1.82,1.0,1.0,1.0,0.47,0.0,0.0,0.0,3.0,3.0,1
0.0,1.0,0.0,0.0,29.0,3.0,3.0,0.35,0.0,71.0,2.0,0.0,7.0,2.0,2.0,0.0,1.0,1.0,0.42,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,32.0,4.0,0.0,3.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,4.0,1.0,26.0,1.0,0.0,0.72,0.0,25.0,1.0,0.0,1.0,1.0,2.5,2.0,1.0,1.0,1.17,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,18.0,1.0,1.0,0.6,0.0,40.0,2.0,0.0,0.0,1.0,2.8,0.0,1.0,1.0,0.25,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,1.0,1.0,50.0,2.0,6.0,0.39,0.0,65.0,1.0,0.0,3.0,3.0,2.21,0.0,1.0,1.0,0.67,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,36.0,2.0,4.0,0.46,1.0,50.0,3.0,0.0,2.0,3.0,3.8,2.0,1.0,1.0,0.7,0.0,0.0,0.0,2.0,2.0,0
0.0,1.0,0.0,14.0,34.0,1.0,0.0,5.67,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,3.0,72.0,1.0,12.0,0.44,2.0,76.0,1.0,0.0,10.0,2.0,4.43,0.0,1.0,1.0,1.5,0.0,0.0,0.0,2.0,1.0,0
1.0,1.0,0.0,3.0,68.0,3.0,3.0,1.55,0.0,0.0,2.0,0.0,1.0,2.0,1.43,0.0,1.0,1.0,0.58,0.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,17.0,7.0,12.0,0.08,0.0,33.0,2.0,0.0,2.0,2.0,1.67,0.0,1.0,1.0,0.59,0.0,0.0,0.0,3.0,3.0,0
0.0,1.0,0.0,0.0,21.0,1.0,0.0,1.17,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,0.0,0.95,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,0.0,22.0,1.0,2.0,0.69,0.0,50.0,2.0,0.0,6.0,1.0,1.33,1.0,2.0,1.0,0.17,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,21.0,1.0,2.0,0.4,1.0,62.0,2.0,0.0,7.0,1.0,1.75,0.0,0.0,1.0,0.67,0.0,0.0,0.0,2.0,0.0,0
