test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba0,proba1
80,0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,69.0,1.0,0.0,8.0,0.63,0.0,90.0,2.0,0.0,9.0,1.0,10.8,0.0,1.0,0.0,0.0,0.7,2.0,0.9319482172254283,0.06805178277457191
80,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,75.0,1.0,0.0,7.0,0.48,0.0,85.0,2.0,1.0,0.0,2.0,4.6,0.0,1.0,0.0,0.0,0.5,3.0,0.9140873915849336,0.08591260841506636
80,2,1.0,0.0,1.0,1.0,0.0,1.0,1.0,147.0,1.0,3.0,37.0,0.31,0.0,96.0,2.0,2.0,15.0,3.0,11.8,0.0,0.0,0.0,0.0,0.6,3.0,0.7472332224864588,0.2527667775135411
80,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,80.0,2.0,1.0,6.0,1.21,0.0,52.0,2.0,0.0,7.0,3.0,1.4,0.0,0.0,0.0,0.0,0.5,2.0,0.8745013594243899,0.1254986405756101
80,4,0.0,0.0,1.0,5.0,0.0,2.0,1.0,157.0,1.0,0.0,19.0,0.71,0.0,94.0,2.0,0.0,9.0,1.0,14.2,1.0,1.0,0.0,0.0,0.5,1.0,0.5868015155470253,0.41319848445297486
80,5,0.0,0.0,1.0,1.0,0.0,2.0,1.0,85.0,1.0,0.0,12.0,0.87,0.0,92.0,2.0,0.0,4.0,1.0,8.6,0.0,1.0,0.0,0.0,0.4,1.0,0.9148685863323439,0.08513141366765564
80,6,0.0,0.0,1.0,0.0,0.0,2.0,2.0,84.0,1.0,0.0,3.0,0.42,0.0,64.0,2.0,0.0,1.0,2.0,2.8,0.0,1.0,0.0,0.0,0.6,1.0,0.9104886712966098,0.08951132870339013
80,7,0.0,0.0,1.0,0.0,0.0,2.0,2.0,206.0,1.0,0.0,3.0,0.42,0.0,64.0,2.0,0.0,0.0,2.0,1.5,0.0,1.0,0.0,0.0,0.6,1.0,0.7676852189130705,0.23231478108692927
80,8,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.84,0.0,0.0,2.0,0.0,0.0,1.0,3.6,0.0,1.0,0.0,0.0,0.4,1.0,0.9358625293652675,0.06413747063473248
80,9,5.0,0.0,1.0,0.0,0.0,2.0,1.0,68.0,1.0,7.0,5.0,0.29,2.0,68.0,3.0,3.0,3.0,1.0,3.3,0.0,1.0,0.0,0.0,0.7,1.0,0.9156669922571951,0.08433300774280485
104,0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,25.0,1.0,7.0,6.0,0.23,1.0,79.0,2.0,0.0,11.0,1.0,3.5,1.0,1.0,0.0,0.0,0.5,1.0,0.912450041211934,0.08754995878806589
104,1,0.0,0.0,1.0,0.0,0.0,0.0,2.0,22.0,1.0,2.0,1.0,0.11,0.0,88.0,2.0,0.0,16.0,1.0,4.3,1.0,1.0,0.0,0.0,0.5,1.0,0.8846803873603554,0.11531961263964459
104,2,0.0,0.0,1.0,0.0,0.0,0.0,2.0,28.0,1.0,4.0,1.0,0.11,0.0,88.0,2.0,0.0,16.0,1.0,2.7,1.0,0.0,0.0,0.0,0.5,0.0,0.870815956213199,0.12918404378680118
104,3,0.0,0.0,1.0,0.0,0.0,0.0,2.0,27.0,1.0,0.0,8.0,0.15,0.0,75.0,3.0,0.0,8.0,1.0,3.8,1.0,1.0,0.0,0.0,0.8,2.0,0.9321882873208096,0.06781171267919021
104,4,0.0,0.0,1.0,1.0,0.0,0.0,2.0,46.0,3.0,0.0,3.0,0.21,0.0,80.0,2.0,0.0,20.0,2.0,3.6,1.0,1.0,0.0,0.0,0.5,1.0,0.819444445204602,0.18055555479539817
104,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,1.0,2.0,0.0,0.11,0.0,80.0,3.0,0.0,16.0,1.0,4.8,1.0,1.0,0.0,0.0,0.5,1.0,0.9053407078491307,0.09465929215086925
104,6,0.0,0.0,1.0,1.0,0.0,0.0,2.0,30.0,1.0,4.0,5.0,0.29,0.0,70.0,2.0,0.0,10.0,1.0,4.1,0.0,0.0,0.0,0.0,0.5,1.0,0.9138268982616943,0.08617310173830571
104,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,1.0,2.0,0.0,0.0,0.0,88.0,2.0,0.0,0.0,1.0,4.3,1.0,1.0,0.0,0.0,0.7,1.0,0.9295348588446986,0.07046514115530157
104,8,0.0,0.0,1.0,1.0,0.0,0.0,1.0,22.0,1.0,1.0,8.0,0.0,0.0,84.0,2.0,0.0,9.0,1.0,2.5,1.0,1.0,0.0,0.0,0.7,0.0,0.9018617305986589,0.09813826940134122
104,9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.0,1.0,1.0,1.0,0.11,0.0,0.0,2.0,0.0,16.0,1.0,4.3,0.0,1.0,0.0,0.0,0.5,0.0,0.884883591243457,0.11511640875654303
147,0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,81.0,1.0,4.0,5.0,0.49,0.0,82.0,1.0,0.0,2.0,2.0,3.8,0.0,1.0,0.0,0.0,0.7,1.0,0.9419681330784156,0.058031866921584456
147,1,0.0,0.0,1.0,0.0,0.0,2.0,2.0,84.0,1.0,0.0,3.0,0.42,0.0,64.0,2.0,0.0,1.0,2.0,2.8,0.0,1.0,0.0,0.0,0.6,1.0,0.9104886712966098,0.08951132870339013
147,2,0.0,0.0,1.0,1.0,0.0,2.0,1.0,85.0,1.0,0.0,12.0,0.71,0.0,0.0,2.0,0.0,4.0,1.0,8.6,0.0,1.0,0.0,0.0,0.5,1.0,0.8977023721569488,0.1022976278430514
