,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
57,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,
141,0,0,2,0,1,6,4,44,1,1,1,3,3,6,1,8,1,1,13.15,2,1,0,1.0,0,3,2
148,2,0,2,0,0,6,3,70,2,7,9,7,2,5,2,18,2,1,5.78260869565217,0,1,0,0.75,0,1,4
152,,,,,,,,,,,,,,,,,,,,,,,,,,
310,0,0,1,0,0,0,2,35,1,0,8,11,0,1,0,18,2,1,2.83333333333333,1,1,0,1.0,0,3,4
491,,,,,,,,,,,,,,,,,,,,,,,,,,
589,,,,,,,,,,,,,,,,,,,,,,,,,,
599,,,,,,,,,,,,,,,,,,,,,,,,,,
601,1,0,1,0,0,1,1,70,2,0,8,43,0,5,0,8,2,0,1.88679245283019,1,1,0,0.8,0,3,4
637,0,0,1,0,0,1,1,70,1,1,8,43,0,4,0,8,2,0,1.95833333333333,1,1,0,0.666666666666667,0,1,2
655,7,0,1,2,0,2,2,70,6,7,23,49,1,3,0,18,5,0,4.33333333333333,1,1,0,1.0,0,1,4
731,,,,,,,,,,,,,,,,,,,,,,,,,,
755,,,,,,,,,,,,,,,,,,,,,,,,,,
770,3,0,1,1,0,1,2,35,6,7,6,18,1,3,1,10,3,0,3.73333333333333,1,1,0,0.5,0,2,4
779,0,0,1,0,0,0,1,35,1,2,8,11,0,1,0,6,2,1,2.2,1,1,0,0.666666666666667,0,3,2
897,1,0,1,0,14,6,2,70,1,0,0,11,0,1,0,9,2,0,3.61111111111111,1,1,0,1.0,0,2,3
939,,,,,,,,,,,,,,,,,,,,,,,,,,
946,2,0,1,1,14,4,2,70,1,0,0,11,0,1,0,5,1,0,2.63157894736842,1,1,0,1.0,0,2,4
2825,4,0,1,1,0,5,4,70,1,0,12,11,7,2,0,8,2,2,9.9,1,1,0,0.571428571428571,0,4,2
2829,0,0,1,1,0,6,2,35,1,1,0,5,5,2,0,8,1,0,8.85714285714286,1,1,0,0.25,0,3,2
2936,,,,,,,,,,,,,,,,,,,,,,,,,,
3867,1,0,1,1,0,1,2,35,1,4,3,13,0,1,4,18,2,0,8.1578947368421,1,1,0,0.6,0,2,2
3877,0,0,1,1,0,0,1,35,1,0,8,43,0,5,2,13,2,0,1.85106382978723,1,1,0,0.5,0,1,2
3912,1,1,1,1,0,1,2,55,1,4,3,13,0,1,3,18,2,0,8.0,1,1,0,0.5,0,2,4
3919,,,,,,,,,,,,,,,,,,,,,,,,,,
3926,,,,,,,,,,,,,,,,,,,,,,,,,,
4145,,,,,,,,,,,,,,,,,,,,,,,,,,
4147,1,0,1,1,1,2,3,35,1,3,2,6,1,2,0,18,2,1,7.81818181818182,1,1,0,0.75,0,1,4
4304,,,,,,,,,,,,,,,,,,,,,,,,,,
