,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
57,17.0,7.0,1.0,1.0,0.0,2.0,1.0,418.0,26.0,2.0,81.0,151.0,0.0,3.0,19.0,14.0,2.0,0.0,9.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0
104,15.0,0.0,3.0,3.0,4.0,5.0,5.0,197.0,2.0,5.0,10.0,13.0,2.0,1.0,2269.0,32.0,2.0,2.0,8.06060606060606,6.0,1.0,0.0,0.5,0.0,2.0,7.0
115,4.0,0.0,2.0,1.0,0.0,4.0,3.0,132.0,33.0,9.0,13.0,25.0,1.0,3.0,2547.0,19.0,2.0,0.0,5.02631578947368,1.0,1.0,0.0,0.333333333333333,0.0,3.0,7.0
141,0.0,0.0,3.0,0.0,1.0,6.0,5.0,44.0,1.0,1.0,1.0,24.0,3.0,6.0,1590.0,10.0,1.0,1.0,14.25,2.0,1.0,0.0,1.0,0.0,3.0,3.0
148,2.0,0.0,2.0,0.0,0.0,6.0,3.0,178.0,48.0,12.0,9.0,9.0,2.0,5.0,1449.0,20.0,2.0,1.0,5.78260869565217,0.0,1.0,0.0,0.75,0.0,1.0,5.0
152,1.0,1.0,1.0,2.0,0.0,0.0,1.0,115.0,2.0,7.0,40.0,101.0,0.0,4.0,806.0,28.0,2.0,0.0,3.8,1.0,1.0,0.0,1.0,0.0,1.0,5.0
310,0.0,0.0,1.0,0.0,0.0,4.0,2.0,45.0,1.0,0.0,18.0,36.0,0.0,1.0,2599.0,22.0,2.0,1.0,2.83333333333333,1.0,1.0,0.0,1.0,0.0,3.0,5.0
491,2.0,0.0,1.0,0.0,0.0,1.0,1.0,164.0,1.0,4.0,25.0,24.0,0.0,3.0,1590.0,17.0,2.0,0.0,2.03092783505155,1.0,1.0,0.0,0.5,0.0,3.0,7.0
589,4.0,0.0,1.0,0.0,0.0,2.0,18.0,300.0,1.0,4.0,17.0,89.0,0.0,3.0,2302.0,21.0,1.0,0.0,2.52577319587629,1.0,1.0,0.0,0.666666666666667,0.0,3.0,5.0
599,1.0,2.0,1.0,0.0,0.0,8.0,1.0,34.0,1.0,11.0,7.0,181.0,0.0,3.0,27.0,94.0,2.0,0.0,14.5,0.0,1.0,0.0,0.545454545454545,0.0,4.0,9.0
601,1.0,0.0,1.0,0.0,0.0,1.0,18.0,104.0,2.0,0.0,13.0,52.0,0.0,5.0,1465.0,10.0,2.0,0.0,1.88679245283019,1.0,1.0,0.0,0.8,0.0,3.0,5.0
637,0.0,0.0,1.0,0.0,0.0,1.0,18.0,97.0,1.0,1.0,12.0,47.0,0.0,4.0,1465.0,13.0,2.0,0.0,1.95833333333333,1.0,1.0,0.0,0.666666666666667,0.0,1.0,3.0
655,7.0,0.0,1.0,2.0,0.0,2.0,2.0,175.0,33.0,7.0,35.0,49.0,1.0,3.0,2547.0,31.0,5.0,0.0,4.33333333333333,1.0,1.0,0.0,1.0,0.0,1.0,5.0
731,5.0,0.0,1.0,1.0,1.0,5.0,1.0,270.0,6.0,19.0,25.0,27.0,1.0,2.0,2442.0,31.0,4.0,0.0,5.19607843137255,0.0,1.0,0.0,0.888888888888889,0.0,1.0,8.0
755,3.0,2.0,1.0,0.0,0.0,3.0,2.0,86.0,5.0,7.0,7.0,14.0,2.0,2.0,342.0,16.0,3.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0,4.0
770,3.0,0.0,1.0,1.0,0.0,1.0,2.0,62.0,7.0,9.0,6.0,18.0,1.0,3.0,1.0,102.0,4.0,219.0,3.73333333333333,1.0,1.0,0.0,0.5,0.0,2.0,5.0
779,0.0,0.0,1.0,0.0,0.0,18.0,1.0,39.0,1.0,3.0,10.0,22.0,0.0,1.0,0.0,6.0,2.0,168.0,2.2,1.0,1.0,0.0,0.666666666666667,0.0,3.0,3.0
897,1.0,0.0,2.0,0.0,17.0,6.0,3.0,133.0,1.0,0.0,0.0,171.0,0.0,1.0,0.0,9.0,2.0,0.0,21.8,1.0,1.0,0.0,1.0,0.0,2.0,3.0
939,3.0,0.0,2.0,2.0,70.0,5.0,1.0,495.0,4.0,0.0,4.0,78.0,0.0,2.0,2442.0,11.0,2.0,0.0,3.39506172839506,0.0,1.0,0.0,0.75,0.0,4.0,7.0
946,2.0,0.0,1.0,1.0,18.0,4.0,4.0,106.0,1.0,0.0,0.0,17.0,0.0,1.0,2877.0,5.0,1.0,209.0,2.63157894736842,1.0,1.0,0.0,1.0,0.0,2.0,5.0
2825,1.0,0.0,1.0,1.0,0.0,5.0,5.0,111.0,1.0,0.0,12.0,11.0,7.0,2.0,0.0,11.0,2.0,282.0,10.4666666666667,1.0,1.0,0.0,0.571428571428571,0.0,4.0,3.0
2829,1.0,0.0,1.0,1.0,0.0,6.0,4.0,62.0,1.0,1.0,0.0,5.0,5.0,2.0,431.0,9.0,1.0,0.0,8.85714285714286,1.0,1.0,0.0,0.5,0.0,3.0,2.0
