test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
32,0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,0.08,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.565217391304348,0.0,1.0,0.0,0.0,0.664705882352941,0.0,3.0,2.0,0.9912957672497358,0.00870423275026422,1
476,0,6.0,0.0,1.0,0.0,0.0,8.0,1130.0,1.0,0.0,5.0,2.15,0.0,83.0,1.0,1.0,41.0,2.0,9.36283185840708,0.0,2.99115044247788,1.0,1.0,0.216,0.0,0.0,0.0,1.0,4.0,0.8941041765272519,0.10589582347274808,1
1188,0,40.0,0.0,2.0,27.0,27.0,0.0,154.0,3.0,0.0,4.0,0.1,1.0,97.0,4.0,0.0,21.0,2.0,4.15702479338843,0.0,6.14876033057851,1.0,1.0,0.832,0.0,0.0,0.0,5.0,5.0,0.9900475032817014,0.009952496718298608,1
1349,0,3.0,0.0,1.0,8.0,8.0,2.0,55.0,1.0,0.0,0.0,0.19,4.0,94.0,1.0,0.0,13.0,2.0,4.44444444444444,1.0,8.0,2.0,1.0,0.916666666666667,0.0,0.0,0.0,5.0,10.0,0.9910449974515363,0.008955002548463653,1
575,0,1.0,0.0,1.0,4.0,37.0,0.0,55.0,6.0,1.0,4.0,0.13,0.0,94.0,2.0,0.0,15.0,2.0,3.16666666666667,1.0,6.52380952380952,1.0,1.0,0.73469387755102,0.0,0.0,0.0,3.0,6.0,0.953610182279648,0.04638981772035198,1
578,0,9.0,1.0,1.0,9.0,15.0,0.0,45.0,2.0,7.0,3.0,0.11,2.0,94.0,5.0,1.0,14.0,2.0,4.25641025641026,1.0,3.87179487179487,1.0,1.0,0.666666666666667,0.0,0.0,0.0,2.0,8.0,0.984401617486276,0.015598382513724049,1
633,0,21.0,0.0,2.0,9.0,28.0,0.0,33.0,11.0,0.0,0.0,0.09,0.0,95.0,1.0,4.0,20.0,2.0,4.57894736842105,1.0,3.63157894736842,1.0,1.0,0.941176470588235,0.0,0.0,0.0,1.0,0.0,0.9620153181785616,0.037984681821438465,1
658,0,32.0,40.0,1.0,18.0,3.0,0.0,198.0,143.0,0.0,47.0,0.12,0.0,98.0,4.0,89.0,53.0,2.0,3.2817679558011,0.0,5.27624309392265,0.0,0.0,0.760975609756098,0.0,0.699822380106572,0.0,4.0,13.0,0.5141072623195431,0.48589273768045693,3
678,0,20.0,0.0,1.0,2.0,317.0,0.0,99.0,2.0,0.0,2.0,0.05,0.0,100.0,2.0,0.0,89.0,1.0,5.8,0.0,3.8625,1.0,1.0,0.507739938080495,0.0,0.0,0.0,1.0,13.0,0.7559628633665931,0.24403713663340681,1
748,0,26.0,53.0,1.0,8.0,14.0,1.0,747.0,143.0,0.0,206.0,0.25,0.0,100.0,2.0,3.0,159.0,1.0,15.0836431226766,0.0,2.1,0.0,1.0,0.254545454545455,0.0,0.821696252465483,5.0,4.0,21.0,0.6503219736461315,0.34967802635386847,3
750,0,78.0,0.0,2.0,6.0,34.0,1.0,58.0,12.0,1.0,6.0,0.16,1.0,87.0,3.0,89.0,40.0,3.0,6.62099125364431,0.0,5.21865889212828,1.0,1.0,0.896067415730337,0.0,0.0,0.0,6.0,19.0,0.766902524522386,0.23309747547761395,3
769,0,24.0,1.0,2.0,15.0,55.0,2.0,282.0,4.0,5.0,2.0,0.2,1.0,96.0,4.0,1.0,40.0,2.0,4.67708333333333,0.0,7.90625,0.0,1.0,1.0,0.0,0.0,0.0,4.0,15.0,0.5409474056265681,0.45905259437343193,2
771,0,4.0,0.0,1.0,0.0,61.0,0.0,55.0,2.0,0.0,0.0,0.12,0.0,0.0,1.0,0.0,15.0,1.0,3.39344262295082,2.0,5.65573770491803,2.0,1.0,0.4375,0.0,0.0,0.0,5.0,9.0,0.9838152381668399,0.01618476183316012,1
775,0,3.0,0.0,1.0,0.0,2.0,0.0,91.0,2.0,2.0,3.0,0.14,0.0,80.0,5.0,2.0,48.0,2.0,2.98648648648649,0.0,4.67567567567568,2.0,1.0,0.346534653465347,0.0,0.539617486338798,0.0,3.0,12.0,0.5085795299828748,0.49142047001712524,1
780,0,43.0,0.0,2.0,7.0,73.0,1.0,498.0,6.0,17.0,14.0,0.15,2.0,97.0,3.0,3.0,15.0,2.0,4.69918699186992,0.0,7.72357723577236,0.0,1.0,1.12252964426877,0.0,0.0,2.0,3.0,19.0,0.8316633011985967,0.16833669880140334,2
782,0,14.0,0.0,1.0,5.0,197.0,0.0,156.0,14.0,1.0,0.0,0.3,0.0,99.0,4.0,89.0,65.0,2.0,3.46478873239437,1.0,4.72769953051643,1.0,1.0,0.442982456140351,0.0,0.614654002713704,0.0,4.0,14.0,0.6928103876371283,0.30718961236287173,2
788,0,32.0,5.0,1.0,10.0,9.0,1.0,654.0,143.0,23.0,36.0,0.26,0.0,100.0,4.0,20.0,76.0,1.0,7.16666666666667,0.0,4.2953216374269,1.0,1.0,0.633053221288515,0.0,0.737628384687208,0.0,5.0,15.0,0.8200108843844871,0.1799891156155129,2
793,0,10.0,1.0,1.0,6.0,29.0,2.0,270.0,8.0,9.0,0.0,0.45,0.0,100.0,3.0,5.0,31.0,2.0,8.43564356435644,0.0,3.58415841584158,1.0,1.0,0.381818181818182,0.0,0.0,0.0,5.0,10.0,0.5300034168332408,0.46999658316675913,1
806,0,156.0,16.0,2.0,12.0,57.0,0.0,469.0,2.0,3.0,18.0,0.07,0.0,100.0,3.0,0.0,54.0,2.0,5.80628272251309,0.0,6.14485165794066,1.0,0.0,0.835334476843911,0.0,0.0,4.0,2.0,20.0,0.8182096531661931,0.1817903468338069,2
905,0,9.0,0.0,2.0,7.0,2.0,1.0,58.0,15.0,32.0,23.0,0.25,1.0,100.0,2.0,6.0,43.0,2.0,4.41176470588235,0.0,5.48235294117647,0.0,0.0,1.08910891089109,0.0,0.41839762611276,0.0,4.0,1.0,0.6619529137669806,0.3380470862330193,2
956,0,27.0,0.0,2.0,5.0,6.0,2.0,297.0,3.0,0.0,13.0,0.27,1.0,89.0,2.0,0.0,18.0,3.0,3.93333333333333,0.0,5.18888888888889,0.0,1.0,1.24468085106383,0.0,0.0,0.0,3.0,5.0,0.909999782780773,0.09000021721922705,1
988,0,37.0,4.0,2.0,12.0,47.0,1.0,168.0,2.0,0.0,54.0,0.14,0.0,100.0,2.0,5.0,19.0,2.0,4.51960784313725,0.0,4.83333333333333,0.0,0.0,1.02542372881356,0.0,0.0,0.0,3.0,6.0,0.929323046899443,0.07067695310055704,2
1016,0,1.0,0.0,1.0,3.0,2.0,3.0,58.0,1.0,0.0,3.0,0.24,1.0,52.0,1.0,0.0,32.0,1.0,4.47572815533981,0.0,9.68932038834951,0.0,1.0,0.123809523809524,0.0,0.337278106508876,0.0,1.0,3.0,0.9801287967326222,0.01987120326737774,1
