test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
16,0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,5.0,0.51,0.0,85.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,44.0,0.734375,1.0,0.672243572544703,0.327756427455297,1
16,1,0.0,0.0,1.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,5.0,1.17,0.0,85.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,0.734375,1.0,0.6329653463909731,0.3670346536090269,1
16,2,0.0,0.0,1.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,5.0,0.09,0.0,85.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,27.0,0.734375,1.0,0.5311911991829837,0.46880880081701626,2
16,3,0.0,0.0,1.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,5.0,4.81,0.0,85.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,0.734375,1.0,0.7048718435371534,0.2951281564628466,1
16,4,0.0,0.0,1.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,5.0,0.51,0.0,85.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,99.0,0.734375,1.0,0.701929794371486,0.298070205628514,1
16,5,0.0,0.0,1.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,5.0,7.46,0.0,85.0,2.0,0.0,2.0,1.0,45.6,0.0,1.0,0.0,3.0,0.734375,1.0,0.8409771126243324,0.15902288737566758,2
16,6,0.0,0.0,1.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,5.0,0.51,0.0,85.0,2.0,0.0,2.0,1.0,38.1,0.0,1.0,0.0,3.0,0.9,1.0,0.7126102814237896,0.2873897185762105,2
16,7,0.0,0.0,1.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,5.0,4.38,0.0,85.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,0.7,1.0,0.6573683372149232,0.34263166278507684,2
16,8,0.0,0.0,1.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,5.0,8.23,0.0,85.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,28.0,0.734375,1.0,0.7933742932157865,0.20662570678421352,2
16,9,0.0,0.0,1.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,5.0,8.64,0.0,85.0,2.0,0.0,2.0,1.0,52.8,0.0,1.0,0.0,3.0,0.734375,1.0,0.8409771126243324,0.15902288737566758,2
