,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE
165,1.0,2.0,10.0,1.0,6.0,2.0,2.0,50.0,1.0,4.0,6.0,6.0,0.0,1.0,0.0,10.0,2.0,0.0,4.2,1.0,1.0,0.0,1.0,1.0,2.0
212,,,,,,,,,,,,,,,,,,,,,,,,,
807,2.0,28.0,0.666666666666667,4.0,8.0,1.0,2.0,63.0,1.0,5.0,14.0,28.0,0.0,1.0,0.0,14.0,2.0,1.0,2.72222222222222,1.0,1.0,0.0,0.666666666666667,2.0,4.0
59,,,,,,,,,,,,,,,,,,,,,,,,,
3065,3.0,2.0,9.0,5.0,1.0,6.0,4.0,64.0,1.0,1.0,0.0,5.0,5.0,2.0,0.0,9.0,1.0,0.0,9.14285714285714,1.0,1.0,0.0,1.0,3.0,2.0
3216,2.0,2.0,52.0,0.666666666666667,14.000000000000004,1.0,1.0,57.0,28.0,0.0,2.0,52.0,0.0,5.0,0.0,14.0,2.0,0.0,6.20338983050847,1.0,1.0,0.0,0.666666666666667,2.0,2.0
3061,,,,,,,,,,,,,,,,,,,,,,,,,
3733,2.0,21.0,6.0,27.0,0.6,2.0,4.0,111.0,4.0,2.0,3.0,27.0,2.0,2.0,1.0,21.0,2.0,0.0,7.11428571428571,1.0,1.0,0.0,0.6,2.0,6.0
4124,1.0,0.0,28.0,10.999999999999998,0.0,0.0,1.0,20.0,1.0,0.0,14.0,28.0,0.0,3.0,0.0,11.0,1.0,0.0,1.21428571428571,1.0,1.0,0.0,0.0,1.0,1.0
4185,2.0,23.0,13.0,0.9500000000000001,0.0,1.0,3.0,58.0,1.0,7.0,3.0,13.0,0.0,1.0,4.0,23.0,2.0,0.0,7.857142857142861,1.0,1.0,0.0,1.0,2.0,2.0
205,2.0,2.0,20.0,35.0,1.0,0.0,2.0,53.0,1.0,5.0,13.0,35.0,0.0,3.0,0.0,20.0,3.0,0.0,2.88636363636364,1.0,1.0,0.0,1.0,2.0,5.0
4231,2.0,3.0,18.0,0.333333333333333,14.000000000000004,7.999999999999999,4.0,142.0,1.0,0.0,0.0,14.0,1.0,1.0,0.0,18.0,1.0,0.0,6.46666666666667,1.0,1.0,0.0,0.333333333333333,2.0,3.0
4237,4.0,50.0,0.5,16.0,3.0,0.0,1.0,49.0,1.0,1.0,18.0,50.0,0.0,5.0,0.0,16.0,2.0,0.0,1.7254901960784301,1.0,1.0,0.0,0.5,4.0,3.0
117,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,
5525,3.0,2.0,1.0,-5.551115123125783e-17,2.0,0.0,2.0,35.0,1.0,7.0,15.0,28.0,0.0,4.0,0.0,6.0,1.0,0.0,3.575,1.0,1.0,0.0,1.0,3.0,3.0
5528,0.0,2.0,12.0,1.0,0.0,0.0,1.0,32.0,1.0,3.0,11.0,30.0,0.0,3.0,0.0,12.0,2.0,0.0,1.48484848484848,0.0,1.0,0.0,0.0,3.0,2.0
6488,2.0,2.0,0.5,3.0,0.0,0.0,2.0,27.0,1.0,2.0,4.0,2.0000000000000004,0.0,3.0,0.0,9.0,1.0,0.0,5.14285714285714,1.0,1.0,0.0,0.5,3.0,2.0
6410,,,,,,,,,,,,,,,,,,,,,,,,,
7400,2.0,4.0,5.0,0.666666666666667,4.0,6.0,5.0,365.0,3.0,0.0,34.0,4.0,2.0,2.0,0.0,2.0,2.0,2.0,9.15,1.0,1.0,0.0,0.666666666666667,4.0,5.0
5371,2.0,3.0,3.9999999999999996,0.9500000000000001,1.0,1.0,3.0,65.0,4.0,7.0,11.0,19.0,1.0,4.0,0.0,20.0,2.0,0.0,6.25925925925926,0.0,1.0,0.0,1.0,2.0,4.0
3399,0.0,3.0,6.0,0.75,0.0,0.0,2.0,83.0,5.0,16.0,39.0,86.0,0.0,3.0,2.0,30.0,4.0,0.0,3.19811320754717,0.0,1.0,0.0,0.75,6.0,6.0
4195,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,
6739,,,,,,,,,,,,,,,,,,,,,,,,,
624,,,,,,,,,,,,,,,,,,,,,,,,,
4637,,,,,,,,,,,,,,,,,,,,,,,,,
