,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE
59,1.0,26.0,32.0,6.999999999999999,150.0,2.0,1.0,417.0,26.0,2.0,32.0,150.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0
165,4.2,4.0,6.0,2.0,2.0,2.0,2.0,50.0,1.0,4.0,6.0,6.0,0.0,1.0,0.0,10.0,2.0,0.0,4.2,1.0,1.0,0.0,1.0,1.0,2.0
212,0.0,1.55555555555556,1.0,8.0,25.0,0.0,1.0,22.0,1.0,2.0,8.0,24.999999999999996,0.0,3.0,0.0,9.0,2.0,0.0,1.5555555555555602,1.0,1.0,0.0,0.0,5.0,1.0
807,2.72222222222222,5.0,28.0,0.666666666666667,14.000000000000004,1.0,2.0,63.0,1.0,5.0,14.0,28.0,0.0,1.0,0.0,14.0,2.0,1.0,2.72222222222222,1.0,1.0,0.0,0.666666666666667,2.0,4.0
3065,4.0,6.0,5.0,5.0,2.0,6.0,4.0,64.0,1.0,1.0,0.0,5.0,5.0,2.0,0.0,9.0,1.0,0.0,9.14285714285714,1.0,1.0,0.0,1.0,3.0,2.0
3733,4.0,6.0,27.0,21.0,0.6,2.0,4.0,111.0,4.0,2.0,3.0,27.0,2.0,2.0,1.0,21.0,2.0,0.0,7.11428571428571,1.0,1.0,0.0,0.6,2.0,6.0
4124,0.0,1.21428571428571,1.0,28.000000000000004,14.000000000000004,0.0,1.0,20.0,1.0,0.0,14.0,28.0,0.0,3.0,0.0,11.0,1.0,0.0,1.21428571428571,1.0,1.0,0.0,0.0,1.0,1.0
4185,3.0,7.0,23.0,3.0,1.0,1.0,3.0,58.0,1.0,7.0,3.0,13.0,0.0,1.0,4.0,23.0,2.0,0.0,7.857142857142861,1.0,1.0,0.0,1.0,2.0,2.0
4195,0.0,1.7843137254902,1.0,51.0,19.0,0.0,1.0,43.0,1.0,0.0,19.0,51.0,0.0,5.0,2.0,16.0,2.0,0.0,1.7843137254902,1.0,1.0,0.0,1.0,2.0,3.0
4231,6.46666666666667,14.0,3.9999999999999996,8.0,0.333333333333333,7.999999999999999,4.0,142.0,1.0,0.0,0.0,14.0,1.0,1.0,0.0,18.0,1.0,0.0,6.46666666666667,1.0,1.0,0.0,0.333333333333333,2.0,3.0
4237,1.7254901960784297,1.0,50.0,0.5,18.0,0.0,1.0,49.0,1.0,1.0,18.0,50.0,0.0,5.0,0.0,16.0,2.0,0.0,1.7254901960784301,1.0,1.0,0.0,0.5,4.0,3.0
3216,1.0,28.0,52.0,-5.551115123125783e-17,0.666666666666667,1.0,1.0,57.0,28.0,0.0,2.0,52.0,0.0,5.0,0.0,14.0,2.0,0.0,6.20338983050847,1.0,1.0,0.0,0.666666666666667,2.0,2.0
5528,1.48484848484848,1.0,3.0,3.0,30.0,0.0,1.0,32.0,1.0,3.0,11.0,30.0,0.0,3.0,0.0,12.0,2.0,0.0,1.48484848484848,0.0,1.0,0.0,0.0,3.0,2.0
5371,6.25925925925926,3.0,7.0,20.0,1.0,1.0,3.0,65.0,4.0,7.0,11.0,19.0,1.0,4.0,0.0,20.0,2.0,0.0,6.25925925925926,0.0,1.0,0.0,1.0,2.0,4.0
6488,0.0,5.14285714285714,3.9999999999999996,10.0,0.5,0.0,2.0,27.0,1.0,2.0,4.0,2.0000000000000004,0.0,3.0,0.0,9.0,1.0,0.0,5.14285714285714,1.0,1.0,0.0,0.5,3.0,2.0
3399,6.0,39.0,3.9999999999999996,-5.551115123125783e-17,4.0,0.0,2.0,83.0,5.0,16.0,39.0,86.0,0.0,3.0,2.0,30.0,4.0,0.0,3.19811320754717,0.0,1.0,0.0,0.75,6.0,6.0
5525,3.575,5.0,1.0,-5.551115123125783e-17,7.0,0.0,2.0,35.0,1.0,7.0,15.0,28.0,0.0,4.0,0.0,6.0,1.0,0.0,3.575,1.0,1.0,0.0,1.0,3.0,3.0
205,5.0,3.0,3.9999999999999996,20.0,7.0,0.0,2.0,53.0,1.0,5.0,13.0,35.0,0.0,3.0,0.0,20.0,3.0,0.0,2.88636363636364,1.0,1.0,0.0,1.0,2.0,5.0
4637,36.0,2.0,176.0,6.999999999999999,9.0,0.0,1.0,106.0,1.0,7.0,9.0,176.0,0.0,3.0,2.0,36.0,4.0,0.0,2.54891304347826,1.0,1.0,0.0,0.4,2.0,9.0
6410,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,
7400,5.0,5.0,6.0,3.0,5.0,6.0,5.0,365.0,3.0,0.0,34.0,4.0,2.0,2.0,0.0,2.0,2.0,2.0,9.15,1.0,1.0,0.0,0.666666666666667,4.0,5.0
204,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,
3061,,,,,,,,,,,,,,,,,,,,,,,,,
