,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
42,1,2,0,7,0,0.92,0,78,1,0,14,2,6.8125,0,3.875,0,1,1.15,0,21,0.666666666666667,0,2,5
63,1,1,0,6,0,3.03,0,0,2,1,14,2,3.05263157894737,0,0.842105263157895,0,1,0.0,0,2,0.333333333333333,0,1,5
120,0,1,0,4,0,0.84,0,50,2,0,14,3,1.75,0,4.5,0,1,2.16666666666667,0,11,0.5,0,2,2
197,0,2,0,2,1,0.37,1,68,2,0,5,2,3.86363636363636,0,4.04545454545455,1,1,1.24,0,6,0.333333333333333,0,3,4
328,0,1,0,5,2,0.38,1,58,2,2,21,1,7.0,2,8.625,2,1,1.7,0,6,0.4,0,4,4
330,1,2,0,1,2,0.21,0,50,2,0,17,2,5.5,1,6.5,1,1,1.71428571428571,0,20,0.25,0,2,6
331,1,1,0,1,2,0.19,0,50,2,0,21,2,6.08333333333333,1,7.58333333333333,1,1,1.75,0,7,0.333333333333333,0,5,2
339,1,2,0,1,3,0.23,0,65,2,6,17,1,6.5,1,6.4,0,1,1.58333333333333,0,5,0.333333333333333,0,3,3
466,0,1,0,2,0,2.25,0,100,1,1,18,2,2.5,0,0.86,0,1,0.0,0,4,0.2,0,2,13
476,12,1,0,4,0,1.85,0,100,1,1,8,2,5.79545454545455,0,0.818181818181818,0,1,0.0,0,7,0.363636363636364,0,4,7
1498,3,2,0,5,3,0.45,0,74,1,3,11,2,4.66666666666667,1,4.26666666666667,1,1,1.05263157894737,0,2,0.333333333333333,0,1,3
749,0,1,3,0,0,0.1,0,69,1,0,25,2,3.875,1,8.5,1,1,0.458333333333333,0,3,0.571428571428571,0,4,0
1528,0,1,6,1,0,0.25,1,60,1,0,21,1,4.28571428571429,1,7.42857142857143,2,1,1.88888888888889,0,1,0.333333333333333,0,1,3
844,2,1,0,2,0,0.29,0,91,1,0,23,2,1.30909090909091,0,4.72727272727273,0,1,0.233333333333333,0,4,0.153846153846154,0,2,10
913,0,1,2,0,0,0.09,5,44,1,0,24,1,4.5,1,11.8,1,1,0.583333333333333,0,8,0.5,0,3,3
