,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
42,1,2,0.5,7,0,0.92,0,78,1,0,14,2,6.8125,0,3.875,0,1,1.15,0,1,4,3,2,1
299,3,2,3,4,4,0.25,2,88,2,4,1,2,5.91666666666667,1,9.83333333333333,1,1,1.4,0,19,0.4,1,3,4
65,1,1,1,4,0,0.53,0,88,2,1,1,2,17.8736842105263,0,3.95789473684211,1,1,0.5,0,4,0.571428571428571,19,5,1
63,1,1,3,6,0,3.03,0,0,2,1,14,2,3.05263157894737,0,0.15000000000000002,0,1,0.0,0,2,1,2.75,6,1
197,0,2,4,2,1,0.37,1,68,2,0,5,2,0.15000000000000002,0,4.04545454545455,1,1,1.24,0,1,3,0,3,4.15
120,4,1,1,4,0,0.84,0.5,50,2,0,14,3,1.75,0,4.5,0,1,2.16666666666667,0,1,1,0,2,2
218,37,1,1,1,1,0.58,0,96,2,2,1,2,5.23863636363636,0,2.18181818181818,0,1,0.189473684210526,0,8,0.25,0,3,19
310,2,1,1,13,0,0.99,0,85,1,0,1,1,7.52380952380952,2,5.42857142857143,1,1,0.826086956521739,0,19,0.15000000000000002,4,6,2
1397,1,3,0,20,0,0.65,3,49,2,2,8,1,3.16666666666667,2,1,1,1,1.11111111111111,6.25,4,0.5,0,1,2
62,1,1,1,6,0,0.7,0,91,1,19,1,3,8.25174825174825,0,4.52447552447552,1,1,0.56,0,8,0.15000000000000002,0,4,35
1399,5,2,0,8,1,0.55,3,100,1,1,10,1,5.35,0,7.45,1,0,1.75,0,1,0.15000000000000002,4,1,2
64,16,2,1,2,7,0.29,0,95,3,12,1,3,4.72222222222222,0,5.05555555555556,1,1,1.0,0,4,0.3,35,3,5
330,1,2,14,1,2,0.21,0,50,2,0,4,2,5.5,1,6.5,1,1,1.71428571428571,0,1,0.25,3,2,1
247,9,1,4,4,21,0.4,0,92,2,0,1,2,5.32835820895522,0,6.41791044776119,1,1,0.987179487179487,0,3,0.25,1,3,19
331,1,1,0.15000000000000002,1,2,0.19,0,50,2,0,1,2,6.08333333333333,1,7.58333333333333,1,1,1.75,0,1,4,19,5,2
339,1,2,14,1,3,0.23,0,65,2,6,1,1,6.5,1,6.4,0,1,1.58333333333333,0,1,0.15000000000000002,4,3,3
335,0,3,1,11,0,0.5,0,65,2,1,3,1,5.71428571428571,1,12.5714285714286,1,1,2.44444444444444,0,4,0.214285714285714,14,4,1
359,1,1,0,5,0,0.59,0,90,1,0,8,1,5.90243902439024,1,4.92682926829268,1,1,1.0,0,4,0.454545454545455,19,4,1
1417,0.5,1,0,2,1,0.41,1,50,3,0,1,2,3.5,1,7.83333333333333,1,1,0.875,14,1,4,0,1,2
1416,0,2,0,5,0,0.82,1,50,1,0,14,1,4.66666666666667,2,6.16666666666667,1,1,1.5,0,1,0.636363636363636,4,1,2
328,0,1,1,5,2,0.38,1,58,2,2,1,1,7.0,2,8.625,2,1,1.7,0,19,0.4,2,4,1
73,0,2,1,5,0,0.63,0,77,3,8,13,2,4.78947368421053,0,3.84210526315789,0,1,0.785714285714286,0,3,0.5,4,1,1
360,1,2,0,2,1,0.29,0,100,3,1,1,2,6.43548387096774,0,5.24193548387097,1,0,1.10526315789474,0,3,0.333333333333333,4,2,19
350,1,1,1,4,0,0.42,0,85,1,0,1,2,7.32258064516129,0,6.09677419354839,0,1,1.08571428571429,0,8,0.25,0,4,19
1444,27,1,1,6,0,0.79,0,88,1,1,14,2,6.75,1,4.32142857142857,1,1,0.915254237288136,0,4,0.5,1,2,1
1127,0,1,1,5,0,0.73,0,0,1,0,1,1,3.4375,0,5.375,1,1,0.944444444444444,0,4,0.5,19,3,1
500,0,2,1,5,0,0.58,0,87,1,0,1,2,5.55357142857143,1,4.98214285714286,1,1,1.03448275862069,0,19,0.25,4,4,1
1328,131,1,547,0,133,0.02,0,99,2,2,1,2,2.18934646374217,0,3.19964189794091,0,0,0.417198808003406,0,35,0.5,4,2,3
1437,0,2,0,3,8,0.42,0,80,1,2,1,1,4.30769230769231,1,5.69230769230769,0,1,1.17647058823529,0,19,0.15000000000000002,4,3,2
427,4,2,1,5,0,0.62,0,87,2,0,19,2,6.02380952380952,0,6.5,1,1,1.23913043478261,0,1,0.15000000000000002,3,6,1
428,1,2,2,2,0,0.31,0,87,2,2,4,2,4.02941176470588,0,5.29411764705882,1,1,1.3,0,8,0.357142857142857,14,4,1
1461,1,1,0,6,0,0.67,0,65,1,0,14,2,5.23076923076923,1,5.76923076923077,1,1,0.941176470588235,0,4,0.5,1,1,2
466,0,1,0,2,0,2.25,0,100,1,1,1,2,2.5,0,0.86,0,1,0.0,0,14,0.15000000000000002,4,2,8
465,11,1,1,8,0,0.68,0,100,2,1,1,2,7.0,0,6.96296296296296,1,0,0.939393939393939,0,3,0.363636363636364,4,4,19
175,0,1,4,0,0,1.43,0,100,1,0,2,1,0.0,0,1.0,1,0,0.0,0,8,0.346153846153846,1,0,4
1363,1,2,0.15000000000000002,2,0,0.47,0,60,2,1,9,3,3.2,0,4.8,0,1,1.22222222222222,0,1,1,4,2,2
43,1,1,1,6,0,0.74,0,64,1,0,1,1,5.96428571428571,2,4.78571428571429,1,1,0.6,0,4,0.3,14,4,2
470,4,2,1,5,5,0.37,2,87,2,0,1,4,8.48,0,7.04,1,1,1.37037037037037,0,3,0.15000000000000002,4,6,19
494,2,2,1,5,8,0.35,0,86,2,0,1,2,5.7741935483871,1,7.35483870967742,1,1,1.69444444444444,0,3,0.15000000000000002,4,3,19
701,0,2,47,6,1,0.62,0,87,2,3,14,1,9.52272727272727,0,4.5,1,1,0.927083333333333,0,4,0.75,1,2,2
550,1,4,0,1,0,0.08,0,56,2,0,14,1,7.66666666666667,3,19.5833333333333,5,2,2.64285714285714,1,4,0.5,1,2,3
1126,0,1,27,6,0,0.67,0,0,1,0,1,1,4.72307692307692,0,7.10769230769231,1,1,0.434782608695652,0,136,0.333333333333333,3,3,4
476,1,1,0,4,0,1.85,0,100,1,1,8,2,5.79545454545455,0,0.818181818181818,0,1,0.0,0,1,0.15000000000000002,4,4,3
640,1,1,1,4,0,0.51,0,90,1,1,9,2,6.0,2,5.0,1,1,0.894736842105263,0,1,0.25,3,2,4
589,7,1,1,0,9,0.08,0,89,1,2,1,2,6.24675324675325,0,6.8961038961039,1,0,1.34146341463415,0,35,0.5,2,2,4
479,25,2,1,4,3,0.32,0,100,2,3,8,2,6.25806451612903,2,5.96774193548387,1,1,1.23287671232877,0,19,0.333333333333333,2,2,1
648,0,2,1,7,0,0.71,0,85,1,0,3,1,5.71428571428571,4,5.42857142857143,2,1,1.44444444444444,0,3,0.5,14,3,1
1498,4,2,1,5,3,0.45,0,74,1,3,11,2,4.66666666666667,1,4.26666666666667,1,1,1.05263157894737,0,1,0.15000000000000002,1,1,3
5,1,1,0,1,0,0.19,0,94,2,0,1,5,3.30841121495327,0,3.91588785046729,0,1,0.761467889908257,0,3,0.25,1,6,35
721,0,1,4,5,0,0.24,4,78,1,0,1,2,3.35294117647059,1,15.0,1,1,0.904761904761905,0,4,0.15000000000000002,35,6,3
647,4,2,4,2,2,0.28,0,100,3,3,1,2,4.91414141414141,0,5.59090909090909,0,0,0.858447488584475,0,35,0.333333333333333,0,4,39
