,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
73,0,2,1,5,0,0.63,0,77,3,8,13,2,4.78947368421053,0,3.84210526315789,0,1,0.785714285714286,0,4,0.45,1,1,3
500,1,2,1,5,0,0.58,0,87,1,0,19,2,5.55357142857143,1,4.98214285714286,1,1,1.03448275862069,0,4,0.25,1,4,1
175,0,1,1,0,0,1.43,0,100,1,0,2,1,0.0,0,1.0,1,0,0.0,0,4,0.346153846153846,0,4,8
43,1,1,1,6,0,0.74,0,64,1,0,14,1,5.96428571428571,2,4.78571428571429,1,1,0.6,0,4,0.3,1,4,2
1363,1,2,1,2,0,0.47,0,60,2,1,9,3,3.2,0,4.8,0,1,1.22222222222222,0,4,0.15000000000000002,1,2,2
120,1,1,1,4,0,0.84,1,50,2,0,14,3,1.75,0,4.5,0,1,2.16666666666667,0,4,0.45,0,2,2
197,0,2,1,2,1,0.37,1,68,2,0,5,2,4.15,0,4.04545454545455,1,1,1.24,0,4,0.15000000000000002,0,3,3
310,2,1,1,13,0,0.99,0,85,1,0,19,1,7.52380952380952,2,5.42857142857143,1,1,0.826086956521739,0,4,0.15000000000000002,1,6,2
1397,1,3,0,20,0,0.65,3,49,2,2,8,1,3.16666666666667,2,6.25,1,1,1.11111111111111,1,4,0.5,0,1,2
1399,5,2,0,8,1,0.55,3,100,1,1,10,1,5.35,0,7.45,1,0,1.75,0,4,0.15000000000000002,1,1,2
330,1,2,1,1,2,0.21,0,50,2,0,14,2,5.5,1,6.5,1,1,1.71428571428571,0,4,0.25,1,2,3
331,1,1,1,1,2,0.19,0,50,2,0,19,2,6.08333333333333,1,7.58333333333333,1,1,1.75,0,4,0.15000000000000002,1,5,2
335,1,3,1,11,0,0.5,0,65,2,1,14,1,5.71428571428571,1,12.5714285714286,1,1,2.44444444444444,0,4,0.214285714285714,1,4,3
339,1,2,1,1,3,0.23,0,65,2,6,14,1,6.5,1,6.4,0,1,1.58333333333333,0,4,0.15000000000000002,1,3,3
1416,0,2,0,5,0,0.82,1,50,1,0,14,1,4.66666666666667,2,6.16666666666667,1,1,1.5,0,4,0.636363636363636,1,1,2
1417,1,1,0,2,1,0.41,1,50,3,0,14,2,3.5,1,7.83333333333333,1,1,0.875,1,4,0.5,0,1,2
1444,27,1,1,6,0,0.79,0,88,1,1,14,2,6.75,1,4.32142857142857,1,1,0.915254237288136,0,4,0.45,1,2,1
