,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
107,0.0,3.0,14.0,26.0,0.0,0.0,1.0,39.0,1.0,2.0,12.0,26.0,0.0,3.0,0.0,14.0,3.0,0.0,1.0,0.0,0.666666666666667,0.0,2.0,3.0,5.0
1656,1.0,0.0,42.0,2.0,2.0,0.0,2.0,27.0,1.0,0.0,-2.220446049250313e-16,11.0,0.0,1.0,0.0,42.0,2.0,1.0,4.0,0.0,0.75,0.0,1.0,2.0,2.0
1735,0.0,3.0,42.0,87.0,11.0,1.0,1.0,87.0,1.0,1.0,11.0,42.0,0.0,4.0,0.0,9.0,2.0,0.0,1.0,0.0,0.5,0.0,3.0,3.0,4.0
1744,0.0,3.0,11.0,52.0,104.00000000000001,1.0,1.0,104.0,2.0,0.0,13.0,52.0,0.0,5.0,0.0,11.0,2.0,0.0,1.0,0.0,0.5,0.0,3.0,3.0,4.0
1764,0.0,3.0,22.0,11.0,53.0,1.0,1.0,53.0,1.0,1.0,5.0,22.0,0.0,4.0,0.0,11.0,2.0,0.0,1.0,0.0,0.4,0.0,3.0,3.0,4.0
422,1.0,0.0,136.0,20.0,2.0,5.0,1.0,136.0,1.0,0.0,-2.220446049250313e-16,0.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,2.0,4.0
2256,1.0,0.0,16.0,5.0,2.0,2.0,3.0,30.0,1.0,0.0,-2.220446049250313e-16,2.0,5.0,5.0,0.0,16.0,1.0,1.0,5.0,0.0,0.666666666666667,0.0,1.0,2.0,2.0
860,1.0,15.0,45.0,1.0,16.0,0.0,1.0,42.0,1.0,0.0,16.0,45.0,0.0,5.0,2.0,15.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0
2661,23.999999999999996,11.0,83.0,0.0,2.0,3.0,1.0,83.0,11.0,2.0,-2.220446049250313e-16,24.0,0.0,5.0,1.0,6.0,2.0,0.0,0.0,0.0,0.666666666666667,0.0,3.0,2.0,2.0
1737,2.9999999999999996,5.0,308.0,0.0,90.0,2.0,1.0,308.0,1.0,4.0,17.0,90.0,0.0,3.0,0.0,22.0,1.0,0.0,1.0,0.0,0.625,0.0,3.0,3.0,5.0
2077,0.0,18.0,0.0,2.0,3.9999999999999996,0.0,1.0,33.0,4.0,3.0,6.0,84.0,1.0,6.0,0.0,18.0,1.0,0.0,1.0,0.0,0.75,0.0,1.0,2.0,7.0
58,6.000000000000001,3.0,25.0,0.0,132.0,4.0,3.0,132.0,4.0,9.0,13.0,25.0,1.0,3.0,0.0,19.0,2.0,0.0,1.0,0.0,0.727272727272727,0.0,3.0,3.0,6.0
720,14.0,24.0,5.0,0.0,3.9999999999999996,5.0,5.0,74.0,1.0,1.0,2.0,4.0,3.0,3.0,0.0,14.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,1.0,5.0
1653,26.0,9.0,163.0,0.0,1.0,3.0,3.0,163.0,2.0,6.0,13.0,26.0,1.0,2.0,0.0,54.0,3.0,0.0,1.0,0.0,0.555555555555556,0.0,1.0,2.0,4.0
2513,,,,,,,,,,,,,,,,,,,,,,,,,
958,2.9999999999999996,6.0,15.0,7.0,174.0,0.0,1.0,174.0,7.0,9.0,62.0,141.0,0.0,2.0,0.0,15.0,2.0,1.0,1.0,0.0,0.625,0.0,3.0,3.0,6.0
695,,,,,,,,,,,,,,,,,,,,,,,,,
