,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
107,0.0,0.9999999999999999,14.0,26.0,0.0,0.0,1.0,39.0,1.0,2.0,12.0,26.0,0.0,3.0,0.0,14.0,3.0,0.0,1.0,0.0,0.666666666666667,0.0,2.0,3.0,5.0
1656,0.0,0.9999999999999999,42.0,11.0,0.0,0.0,2.0,27.0,1.0,0.0,-2.220446049250313e-16,11.0,0.0,1.0,0.0,42.0,2.0,1.0,4.0,0.0,0.75,0.0,1.0,2.0,2.0
1641,2.0,0.9999999999999999,25.0,0.0,1.0,6.0,5.0,165.0,1.0,13.0,-2.220446049250313e-16,2.0,1.0,2.0,0.0,25.0,1.0,2.0,2.0,0.0,0.6,0.0,1.0,2.0,1.0
422,6.999999999999999,0.0,0.0,1.0,0.0,5.0,1.0,136.0,1.0,0.0,-2.220446049250313e-16,0.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,2.0,4.0
432,1.0,13.0,1.0,0.0,15.0,10.0,3.0,187.0,1.0,0.0,-2.220446049250313e-16,13.0,0.0,1.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0
2256,1.0,10.0,2.0,5.0,2.0,2.0,3.0,30.0,1.0,0.0,-2.220446049250313e-16,2.0,5.0,5.0,0.0,16.0,1.0,1.0,5.0,0.0,0.666666666666667,0.0,1.0,2.0,2.0
2661,0.0,0.0,24.0,11.0,6.0,3.0,1.0,83.0,11.0,2.0,-2.220446049250313e-16,24.0,0.0,5.0,1.0,6.0,2.0,0.0,0.0,0.0,0.666666666666667,0.0,3.0,2.0,2.0
1653,54.0,9.0,1.0,0.0,0.0,3.0,3.0,163.0,2.0,6.0,13.0,26.0,1.0,2.0,0.0,54.0,3.0,0.0,1.0,0.0,0.555555555555556,0.0,1.0,2.0,4.0
720,4.0,0.9999999999999999,1.0,0.0,3.0,5.0,5.0,74.0,1.0,1.0,2.0,4.0,3.0,3.0,0.0,14.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,1.0,5.0
860,0.0,0.9999999999999999,1.0,0.0,0.0,0.0,1.0,42.0,1.0,0.0,16.0,45.0,0.0,5.0,2.0,15.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0
2617,,,,,,,,,,,,,,,,,,,,,,,,,
1764,1.0,0.0,22.0,1.0,0.0,1.0,1.0,53.0,1.0,1.0,5.0,22.0,0.0,4.0,0.0,11.0,2.0,0.0,1.0,0.0,0.4,0.0,3.0,3.0,4.0
1737,1.0,9.0,2.0,2.0,0.0,2.0,1.0,308.0,1.0,4.0,17.0,90.0,0.0,3.0,0.0,22.0,1.0,0.0,1.0,0.0,0.625,0.0,3.0,3.0,5.0
1744,0.0,0.0,52.0,0.0,1.0,1.0,1.0,104.0,2.0,0.0,13.0,52.0,0.0,5.0,0.0,11.0,2.0,0.0,1.0,0.0,0.5,0.0,3.0,3.0,4.0
957,0.0,0.9999999999999999,16.0,9.0,7.0,0.0,1.0,62.0,1.0,4.0,4.0,67.0,0.0,3.0,1.0,16.0,3.0,0.0,1.0,0.0,0.545454545454545,0.0,4.0,5.0,5.0
1534,,,,,,,,,,,,,,,,,,,,,,,,,
2077,1.0,9.0,0.0,1.0,0.0,0.0,1.0,33.0,4.0,3.0,6.0,84.0,1.0,6.0,0.0,18.0,1.0,0.0,1.0,0.0,0.75,0.0,1.0,2.0,7.0
377,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,
1143,6.999999999999999,0.0,23.0,3.0,2.0,1.0,2.0,64.0,2.0,7.0,10.0,23.0,0.0,3.0,0.0,7.0,2.0,1.0,1.0,0.0,0.5,0.0,2.0,2.0,5.0
923,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,
818,,,,,,,,,,,,,,,,,,,,,,,,,
1800,,,,,,,,,,,,,,,,,,,,,,,,,
2911,,,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,,,,,
1620,,,,,,,,,,,,,,,,,,,,,,,,,
1775,,,,,,,,,,,,,,,,,,,,,,,,,
2414,,,,,,,,,,,,,,,,,,,,,,,,,
965,,,,,,,,,,,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,,,,,,,,,,,
987,,,,,,,,,,,,,,,,,,,,,,,,,
2489,,,,,,,,,,,,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,,,,,,,,,,,,
1690,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,
921,,,,,,,,,,,,,,,,,,,,,,,,,
1533,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,
2513,,,,,,,,,,,,,,,,,,,,,,,,,
865,,,,,,,,,,,,,,,,,,,,,,,,,
695,,,,,,,,,,,,,,,,,,,,,,,,,
956,,,,,,,,,,,,,,,,,,,,,,,,,
1761,,,,,,,,,,,,,,,,,,,,,,,,,
1682,,,,,,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,,,,,
2906,,,,,,,,,,,,,,,,,,,,,,,,,
960,,,,,,,,,,,,,,,,,,,,,,,,,
1537,,,,,,,,,,,,,,,,,,,,,,,,,
1516,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,
958,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,
1742,,,,,,,,,,,,,,,,,,,,,,,,,
