Antecedent,Antecedent Coverage %,Confidence,Lift
MAJOR_COMMIT <= 0.03,0.26946,1.0,1.1365
0.03 < MAJOR_COMMIT <= 0.6,0.1291,1.0,1.1365
OWN_COMMIT <= 0.015,0.25641,0.98947,1.12454
0.6 < MAJOR_COMMIT <= 1.12,0.23482,0.98467,1.11909
0.58 < CountClassCoupled <= 1.86,0.18399,0.97066,1.10316
CountClassCoupled <= 0.58,0.19748,0.96583,1.09767
CountDeclMethodPublic <= 0.78,0.18129,0.96526,1.09702
0.78 < CountDeclMethodPublic <= 2.68,0.23212,0.96124,1.09245
0.61 < CountDeclInstanceVariable <= 1.52,0.19163,0.95775,1.08848
CountClassBase <= 0.895,0.1354,0.95681,1.08742
