Antecedent,Antecedent Coverage %,Confidence,Lift
0.03 < MAJOR_COMMIT <= 0.61,0.12723,0.99649,1.12394
MAJOR_COMMIT <= 0.03,0.275,0.99513,1.1224
0.61 < MAJOR_COMMIT <= 1.12,0.23125,0.98263,1.1083
OWN_COMMIT <= 0.015,0.27321,0.97222,1.09656
0.64 < CountDeclInstanceVariable <= 1.61,0.19866,0.96854,1.09241
0.98 < CountDeclMethodPublic <= 2.46,0.22768,0.95882,1.08145
CountDeclMethodPublic <= 0.98,0.17902,0.95761,1.08008
0.66 < CountClassCoupled <= 2.04,0.22679,0.94882,1.07017
CountClassCoupled <= 0.66,0.19866,0.94831,1.0696
MINOR_LINE <= 1.015,0.28929,0.9429,1.06349
