Antecedent,Antecedent Coverage %,Confidence,Lift
0.02 < MAJOR_COMMIT <= 0.59,0.12797,0.99273,1.12996
MAJOR_COMMIT <= 0.02,0.27827,0.98829,1.12492
OWN_COMMIT <= 0.01,0.26757,0.97739,1.11251
0.59 < MAJOR_COMMIT <= 1.16,0.208,0.97539,1.11023
2.32 < CountClassCoupled <= 3.88,0.19591,0.95962,1.09228
CountClassCoupled <= 0.88,0.18706,0.95025,1.08161
20.8 < CountLineComment <= 24.5,0.25174,0.95009,1.08143
1.13 < MINOR_LINE <= 1.795,0.1852,0.94975,1.08104
0.88 < CountClassCoupled <= 2.32,0.21498,0.94805,1.07911
0.9 < CountDeclMethodPublic <= 2.8,0.2336,0.94024,1.07022
