Antecedent,Antecedent Coverage %,Confidence,Lift
MAJOR_COMMIT <= 0.035,0.25894,0.9965,1.08277
0.035 < MAJOR_COMMIT <= 0.565,0.14305,0.99367,1.07969
0.565 < MAJOR_COMMIT <= 1.015,0.27614,0.99344,1.07945
OWN_COMMIT <= 0.02,0.26301,0.98967,1.07535
CountDeclMethodPublic <= 0.12,0.13943,0.98701,1.07246
0.48 < CountClassCoupled <= 1.68,0.18742,0.98068,1.06558
CountClassBase <= 0.902,0.15075,0.97898,1.06373
CountClassCoupled <= 0.48,0.20824,0.97826,1.06295
-0.06 < CountDeclInstanceVariable <= 0.62,0.29787,0.97568,1.06015
17.7 < CountLineComment <= 20.7,0.26075,0.97396,1.05828
