Antecedent,Antecedent Coverage %,Confidence,Lift
0.54 < MAJOR_COMMIT <= 1.07,0.24688,0.99819,1.13041
MAJOR_COMMIT <= 0.02,0.2808,0.99205,1.12345
0.02 < MAJOR_COMMIT <= 0.54,0.11518,0.9845,1.1149
CountClassCoupled <= 0.4,0.21295,0.97694,1.10634
OWN_COMMIT <= 0.01,0.26696,0.9699,1.09837
MINOR_LINE <= 1.05,0.25402,0.96837,1.09663
CountClassBase <= 0.922,0.16607,0.95968,1.08679
1.07 < MAJOR_COMMIT <= 1.97,0.14375,0.95652,1.08322
CountDeclMethodPublic <= 0.18,0.18304,0.9561,1.08274
0.56 < CountDeclInstanceVariable <= 1.35,0.18884,0.95508,1.08159
