test_idx,candidate_id,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
42,0,1.0,2.0,0.0,7.0,0.0,0.92,0.0,78.0,1.0,32.0,14.0,2.0,6.8125,0.0,3.875,0.0,1.0,1.15,0.0,258.0,0.0,0.0,2.0,5.0,0.9033629541691697,0.0966370458308303
42,1,1.0,2.0,0.0,7.0,0.0,0.92,0.0,78.0,1.0,0.0,14.0,2.0,6.8125,0.0,29.3,0.0,1.0,1.15,0.0,258.0,0.666666666666667,0.0,2.0,5.0,0.5977872956038734,0.40221270439612655
42,2,1.0,2.0,0.0,7.0,0.0,0.92,0.0,78.0,1.0,10.0,14.0,2.0,6.8125,0.0,3.875,0.0,1.0,1.15,0.0,258.0,0.666666666666667,0.0,2.0,5.0,0.783849732919471,0.21615026708052895
42,3,1.0,2.0,0.0,7.0,0.0,0.92,0.0,78.0,1.0,3.0,14.0,2.0,6.8125,0.0,29.3,0.0,1.0,1.15,0.0,258.0,0.666666666666667,0.0,2.0,5.0,0.618830128185399,0.38116987181460105
42,4,1.0,2.0,0.0,7.0,0.0,0.92,0.0,78.0,1.0,0.0,14.0,2.0,6.8125,0.0,3.875,0.0,1.0,1.15,0.0,258.0,0.6,0.0,1.0,5.0,0.6769652629023437,0.32303473709765634
42,5,1.0,2.0,0.0,7.0,0.0,0.92,0.0,78.0,1.0,0.0,14.0,7.0,6.8125,0.0,27.1,0.0,1.0,1.15,0.0,258.0,0.666666666666667,0.0,2.0,5.0,0.8110988674010208,0.18890113259897925
42,6,1.0,2.0,0.0,7.0,0.0,0.92,0.0,78.0,1.0,22.0,14.0,2.0,6.8125,0.0,3.875,0.0,222.0,1.15,0.0,258.0,0.666666666666667,0.0,2.0,5.0,0.7960154923635041,0.20398450763649584
42,7,1.0,2.0,0.0,7.0,0.0,0.92,0.0,78.0,1.0,0.0,14.0,2.0,6.8125,0.0,3.875,0.0,1.0,1.15,0.0,258.0,0.2,0.0,2.0,5.0,0.6307743672732687,0.36922563272673126
42,8,1.0,2.0,0.0,7.0,0.0,0.92,0.0,95.0,1.0,0.0,14.0,2.0,6.8125,0.0,3.875,0.0,1.0,1.15,0.0,258.0,0.666666666666667,0.0,2.0,5.0,0.5559675941715034,0.4440324058284965
42,9,1.0,2.0,0.0,7.0,0.0,0.92,0.0,78.0,1.0,0.0,14.0,2.0,6.8125,0.0,29.0,22.0,1.0,1.15,0.0,258.0,0.666666666666667,0.0,2.0,5.0,0.7702602267065519,0.22973977329344814
