test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,proba0,proba1
11,0,1.0,0.0,8.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,0.0,1.0,1.0,0.0,0.4,0.0,3.0,1.0,3.0,0.5069479112444203,0.4930520887555797
11,1,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,10.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,2.0,3.0,0.5612952959832183,0.4387047040167818
11,2,1.0,0.0,1.0,4.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,14.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,0.0,3.0,0.6651011274855019,0.33489887251449807
11,3,1.0,0.0,1.0,2.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,7.0,1.0,1.0,0.0,0.4,0.0,3.0,1.0,3.0,0.5225779358349709,0.477422064165029
11,4,1.0,0.0,2.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,3.0,1.0,1.0,0.0,0.4,0.0,3.0,1.0,3.0,0.5481417462947924,0.45185825370520755
11,5,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,17.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,0.0,3.0,0.6733604514500711,0.326639548549929
11,6,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,2.0,1.0,1.0,0.0,0.4,0.0,3.0,1.0,3.0,0.6392422863957543,0.36075771360424563
11,7,1.0,0.0,0.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,2.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,0.0,3.0,0.6292470298058743,0.3707529701941256
11,8,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,17.0,2.0,0.0,9.0,2.0,1.0,1.0,0.0,0.4,0.0,3.0,0.0,3.0,0.6883952660004309,0.3116047339995691
11,9,1.0,0.0,1.0,0.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,0.0,3.0,0.640388637939483,0.3596113620605171
11,10,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,9.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,1.0,3.0,0.699546549320027,0.300453450679973
11,11,1.0,0.0,7.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,16.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,0.0,3.0,0.5760312670078471,0.4239687329921529
11,12,1.0,0.0,1.0,14.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,4.0,1.0,1.0,0.0,0.4,0.0,3.0,0.0,3.0,0.639522044391255,0.3604779556087449
