Antecedent,Antecedent Coverage %,Confidence,Lift
CountOutput_Mean <= 1.22,0.20352,0.99778,1.04791
0.775 < CountDeclClass <= 1.1,0.57897,0.99688,1.04696
-0.6 < CountDeclClassMethod <= 0.22,0.47067,0.99616,1.04621
RatioCommentToCode > 1.295,0.20126,0.99552,1.04553
-0.4 < PercentLackOfCohesion <= 13.8,0.29422,0.9954,1.0454
CountClassCoupled <= 0.9,0.19359,0.99301,1.04289
-0.005 < MaxNesting_Mean <= 0.195,0.28294,0.99203,1.04186
-0.6 < CountDeclMethodPrivate <= 0.24,0.47924,0.99153,1.04134
0.916 < CountClassBase <= 1.006,0.44901,0.98995,1.03968
-0.34 < CountDeclInstanceVariable <= 0.94,0.29603,0.98933,1.03903
