Antecedent,Antecedent Coverage %,Confidence,Lift
2.94 < CountClassCoupled <= 4.94,0.21646,1.0,1.0424
CountClassCoupled <= 1.16,0.20009,1.0,1.0424
23.4 < CountLineComment <= 29.8,0.15615,1.0,1.0424
CountDeclMethodProtected <= 0.07,0.2417,0.99807,1.04038
18.2 < CountLineComment <= 23.4,0.34175,0.99726,1.03955
-0.006 < OWN_COMMIT <= 0.126,0.31744,0.99705,1.03933
CountOutput_Mean <= 1.64,0.20664,0.99548,1.03768
1.55 < CountDeclInstanceVariable <= 3.53,0.21646,0.99352,1.03564
-0.08 < MAJOR_LINE <= 0.365,0.33006,0.9915,1.03354
0.64 < CountDeclMethodProtected <= 1.21,0.26227,0.99109,1.03311
