test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
10,0,20.0,0.0,2.0,0.0,1.0,7.0,542.0,1.0,0.0,13.0,3.0,0.99,5.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,1.48,0.0,6.98095703125,0.914331465172138,0.0,2.0,0.7897151112556458,0.21028488874435425,1,81019042968750.0
1955,0,50.0,0.0,1.0,59.0,1.0,3.0,74.9865984916687,3.0,0.0,18.0,24.0,0.5,1.0,97.0,2.0,0.0,3.0,1.0,4.54054054054054,1.0,0.0,0.564102564102564,0.0,6.7802734375,0.929274292742927,0.0,0.0,0.5219058990478516,0.47809407114982605,2,1597219726562500.0
12,0,0.0,2.0,2.0,1.0,3.0,9.0,56.0,1.0,0.0,0.0,1.0,0.38,9.0,33.0,1.0,0.0,2.0,1.0,22.6666666666667,1.0,1.0,1.4,0.0,0.0,0.6577330978895004,0.0,1.0,0.5238946676254272,0.47610530257225037,1,0.3110081740558792
16,0,5.0,1.0,1.0,0.0,0.0,5.0,136.9982943534851,1.0,3.0,4.0,19.0,0.5800284099578858,1.0,76.0,2.0,0.0,10.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0,0.5185257196426392,0.48147428035736084,2,0.9988664552492571
1956,0,1.0,0.0,1.0,0.0,0.0,10.999759197235107,107.0,1.0,0.0,4.0,4.0,1.26,0.0,40.0,2.0,0.0,6.0,1.0,5.0,1.0,2.0,1.42857142857143,1.0,244.0,0.938388625592417,0.0,4.0,0.54454505443573,0.4554549753665924,1,0.22488439290540652
1957,0,1.0,0.0,1.0,0.0,0.0,6.0,70.0,1.0,0.0,3.0,4.0,1.27,0.0,66.0,2.0,0.0,5.0,1.0,3.8,1.0,1.0,0.714285714285714,0.0,14.99462890625,0.945205479452055,0.0,0.0,0.5726732015609741,0.4273267984390259,1,160005371093750.0
1958,0,3.0,17.0,2.0,2.0,0.0,18.0,423.0,1.0,0.0,18.0,0.0,0.74,2.0,89.0,1.0,0.0,9.0,1.0,7.55,2.0,2.0,1.90909090909091,0.0,6.828369140625,0.790307548928239,0.0,0.0,0.7513352036476135,0.24866478145122528,1,1130171630859375.0
19,0,8.0,5.0,1.0,3.0,0.0,0.0,60.0,1.0,2.0,2.0,7.98388671875,0.06,0.0,97.0,3.0,1.0,12.0,4.0,5.91089108910891,0.0,1.0,1.12621359223301,0.0,17.0,0.49563838223632,0.0,6.0,0.7224119901657104,0.27758803963661194,1,17.54038249949019
23,0,7.0,1.0,1.0,0.0,0.0,4.0,244.0,1.0,3.0,8.0,30.0,1.5601953125,1.0,87.0,2.0,0.0,17.0,2.0,6.21951219512195,1.0,1.0,1.2093023255814,0.0,6.95849609375,0.337057728119181,0.0,4.0,0.5716410875320435,0.42835894227027893,2,301041503906250.0
24,0,1.0,0.0,2.0,0.0,0.0,1.0,22.0,1.0,0.0,2.0,3.0,0.52,0.0,50.0,2.0,0.0,3.0,1.0,4.25,1.0,1.0,0.666666666666667,0.0,14.0,0.45764215787251755,0.0,2.0,0.6321839094161987,0.36781612038612366,1,2.1410585181870303
