test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
251,0,2.0,14.0,1.0,0.0,7.0,2.0,268.0,14.0,41.0,15.0,1.0,0.0,100.0,2.0,34.0,12.0,3.0,10.3222222222222,0.0,0.0,0.0,1022.0,0.294117647058824,2.0,4.0,8.0,0.7236768473164625,0.2763231526835374
302,0,8.0,7.0,1.0,0.0,7.0,2.0,124.0,11.0,11.0,8.0,0.85,0.0,19.0,3.0,4.0,30.0,3.0,3.74285714285714,0.0,0.0,0.0,263.0,0.391304347826087,1.0,4.0,5.0,0.5514357521860371,0.44856424781396287
302,1,10.0,1.0,1.0,2.0,8.0,2.0,63.0,1.0,6.0,12.0,1.09,0.0,94.0,1.0,1.0,97.0,1.0,8.31481481481481,0.0,0.0,0.0,242.0,0.375,3.0,3.0,8.0,0.6136295319219673,0.3863704680780327
352,0,0.0,0.0,1.0,0.0,4.0,1.0,187.0,2.0,0.0,15.0,0.92,0.0,89.0,1.0,0.0,60.0,2.0,1.45454545454545,1.0,1.0,0.0,26.0,0.5,0.0,2.0,3.0,0.8218288500831317,0.17817114991686836
352,1,0.0,18.0,1.0,0.0,6.0,2.0,161.0,1.0,0.0,3.0,0.75,0.0,75.0,2.0,3.0,5.0,1.0,4.52380952380952,29.0,0.0,0.0,15.0,0.4,0.0,5.0,3.0,0.5376512845715288,0.4623487154284712
507,0,2.0,0.0,1.0,0.0,5.0,2.0,495.0,6.0,0.0,16.0,0.67,0.0,93.0,10.0,136.0,21.0,2.0,2.4,0.0,1.0,0.0,8.0,0.375,0.0,4.0,4.0,0.5644450654726672,0.43555493452733285
507,1,6.0,0.0,1.0,0.0,7.0,2.0,509.0,9.0,39.0,1.0,0.79,0.0,100.0,3.0,1.0,47.0,2.0,3.82539682539683,0.0,0.0,0.0,202.0,0.238095238095238,3.0,2.0,6.0,0.7105935820182121,0.2894064179817879
531,0,2.0,5.0,2.0,0.0,6.0,3.0,434.0,7.0,6.0,4.0,0.48,1.0,39.0,2.0,3.0,20.0,2.0,16.051724137931,0.0,1.0,0.0,126.0,0.227272727272727,1.0,4.0,5.0,0.5695909458829731,0.43040905411702696
531,1,0.0,0.0,1.0,5.0,7.0,2.0,315.0,8.0,10.0,8.0,1.09,1.0,100.0,5.0,34.0,5.0,2.0,3.09090909090909,0.0,0.0,0.0,167.0,1.0,0.0,4.0,5.0,0.574497308348769,0.42550269165123106
531,2,5.0,0.0,1.0,0.0,4.0,2.0,323.0,11.0,24.0,13.0,0.54,1.0,100.0,5.0,1.0,4.0,2.0,3.5,0.0,0.0,0.0,106.0,0.380952380952381,3.0,5.0,5.0,0.6224475074822506,0.3775524925177494
