test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,proba0,proba1
11,0,0.0,0.0,1.0,1.0,2.0,8.0,2.0,55.0,1.0,4.0,1.0,7.0,0.0,2.0,0.0,11.0,2.0,0.0,0.0,0.0,0.6,0.0,2.0,1.0,3.0,0.78402567,0.21597433
1516,0,15.0,0.0,2.0,0.0,0.0,5.0,4.0,329.0,3.0,0.0,25.0,4.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.5,0.0,3.0,1.0,2.0,0.8258554,0.1741446
1516,1,0.0,29.0,1.0,0.0,0.0,8.0,1.0,261.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,0.5,0.0,2.0,2.0,1.0,0.5101588,0.4898412
1516,2,0.0,0.0,1.0,1.0,24.0,3.0,1.0,204.0,1.0,11.0,5.0,43.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,0.333333333333333,0.0,4.0,2.0,1.0,0.84140253,0.15859747
1516,3,0.0,1.0,1.0,12.0,65.0,1.0,2.0,175.0,7.0,8.0,53.0,118.0,0.0,2.0,1.0,10.0,2.0,0.0,0.0,0.0,0.555555555555556,0.0,4.0,0.0,1.0,0.5241617,0.47583827
38,0,0.0,0.0,1.0,2.0,1.0,4.0,1.0,692.0,2.0,10.0,0.0,130.0,0.0,3.0,17.0,64.0,2.0,0.0,1.0,0.0,0.4375,1.0,4.0,1.0,3.0,0.504458,0.495542
38,1,15.0,0.0,2.0,0.0,0.0,5.0,4.0,329.0,3.0,0.0,28.0,4.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.5,0.0,7.0,0.0,2.0,0.72643715,0.27356285
38,2,0.0,29.0,1.0,0.0,0.0,8.0,1.0,261.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,0.57367593,0.42632407
38,3,0.0,0.0,1.0,1.0,24.0,3.0,1.0,212.0,1.0,11.0,5.0,43.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,0.333333333333333,0.0,4.0,1.0,1.0,0.8330961,0.16690393
76,0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,43.0,2.0,1.0,0.0,3.0,10.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.4,0.0,3.0,1.0,0.0,0.5473335,0.45266652
76,1,0.0,0.0,1.0,0.0,0.0,4.0,1.0,43.0,2.0,5.0,2.0,3.0,1.0,5.0,1.0,5.0,2.0,0.0,1.0,0.0,0.666666666666667,0.0,2.0,0.0,9.0,0.7600432,0.23995678
1537,0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,107.0,1.0,13.0,17.0,48.0,0.0,2.0,2110.0,36.0,3.0,1.0,1.0,0.0,0.4,0.0,3.0,0.0,2.0,0.74183166,0.25816834
1537,1,0.0,33.0,1.0,12.0,1.0,1.0,2.0,175.0,7.0,8.0,53.0,118.0,0.0,2.0,1.0,10.0,2.0,0.0,0.0,0.0,0.555555555555556,0.0,4.0,0.0,1.0,0.5325438,0.46745625
1537,2,1.0,0.0,1.0,1.0,2.0,0.0,2.0,86.0,11.0,23.0,21.0,41.0,0.0,2.0,5.0,11.0,2.0,0.0,0.0,0.0,0.3,0.0,3.0,1.0,2.0,0.80601835,0.19398165
106,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,66.0,4.0,15.0,2.0,9.0,0.0,1.0,0.0,16.0,3.0,0.0,0.0,0.0,0.727272727272727,0.0,3.0,1.0,2.0,0.6891209,0.3108791
106,1,0.0,0.0,1.0,0.0,9.0,2.0,1.0,65.0,1.0,3.0,7.0,15.0,0.0,1.0,1.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.6045372,0.3954628
107,0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,81.0,1.0,0.0,10.0,21.0,0.0,1.0,0.0,19.0,2.0,1.0,1.0,0.0,0.666666666666667,0.0,3.0,2.0,3.0,0.5977202,0.4022798
107,1,1.0,0.0,1.0,42.0,0.0,0.0,1.0,907.0,2.0,2.0,6.0,25.0,0.0,4.0,0.0,15.0,2.0,0.0,0.0,0.0,0.388888888888889,0.0,2.0,1.0,3.0,0.5950914,0.4049086
107,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,39.0,1.0,2.0,5.0,23.0,0.0,3.0,0.0,7.0,1.0,0.0,1.0,2.0,0.461538461538462,1.0,1.0,3.0,3.0,0.54903245,0.45096755
107,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,43.0,1.0,0.0,6.0,20.0,0.0,4.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,0.56958723,0.43041277
110,0,0.0,0.0,1.0,32.0,0.0,0.0,1.0,20.0,1.0,2.0,8.0,105.0,0.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.333333333333333,0.0,3.0,3.0,1.0,0.53528196,0.46471804
110,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,14.0,30.0,11.0,2.0,796.0,11.0,1.0,0.0,1.0,0.0,0.454545454545455,0.0,3.0,1.0,0.0,0.5402777,0.4597223
110,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,20.0,2.0,6.0,20.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0,0.0,0.416666666666667,0.0,1.0,3.0,3.0,0.83105266,0.16894734
