"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'3.48 < CountClassCoupled <= 6.62'","b'target = 0'",0.18141,406,0.18141,406,1,0.00981,1.05716,1.43105e-11,0.94593,2117
"b'000001'","b'0.575 < CountDeclMethodProtected <= 1.435'","b'target = 0'",0.13003,291,0.13003,291,1,0.00703,1.05716,2.89168e-08,0.94593,2117
"b'000002'","b'1.65 < CountDeclInstanceMethod <= 4.8'","b'target = 0'",0.24352,545,0.24307,544,0.99817,0.01272,1.05522,3.11709e-14,0.94593,2117
"b'000003'","b'1.88 < CountClassCoupled <= 3.48'","b'target = 0'",0.2109,472,0.21046,471,0.99788,0.01096,1.05492,5.16223e-12,0.94593,2117
"b'000004'","b'0.77 < CountDeclInstanceVariable <= 1.93'","b'target = 0'",0.2042,457,0.20375,456,0.99781,0.01059,1.05484,1.43087e-11,0.94593,2117
"b'000005'","b'-0.16 < CountDeclClassVariable <= 1.12'","b'target = 0'",0.6975,1561,0.69526,1556,0.9968,0.03548,1.05377,1.49317e-56,0.94593,2117
"b'000006'","b'-0.46 < CountDeclMethodProtected <= 0.09'","b'target = 0'",0.54066,1210,0.53753,1203,0.99421,0.0261,1.05104,1.08256e-31,0.94593,2117
"b'000007'","b'0.79 < AvgCyclomaticStrict <= 1.32'","b'target = 0'",0.36774,823,0.3655,818,0.99392,0.01765,1.05073,2.42312e-18,0.94593,2117
"b'000008'","b'-0.55 < CountDeclMethodPrivate <= 0.13'","b'target = 0'",0.50179,1123,0.49866,1116,0.99377,0.024,1.05057,1.15223e-27,0.94593,2117
"b'000009'","b'4.8 < CountDeclInstanceMethod <= 8.5'","b'target = 0'",0.2109,472,0.20956,469,0.99364,0.01006,1.05044,1.06522e-09,0.94593,2117
