test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
30,0,21.0,1.0,2.0,14.0,2.0,8.0,7.0,17.0,0.41,13.0,77.0,3.0,2.0,4.0,24.0,2.0,3.72151898734177,0.0,4.27848101265823,0.0,1.0,0.777777777777778,0.0,2.0,2.0,0.9136134039373992,0.08638659606260082,1
49,0,59.0,1.0,2.0,17.0,1.0,25.0,9.0,29.0,0.15,13.0,177.0,4.0,4.0,3.0,77.0,3.0,4.53631284916201,0.0,4.7877094972067,0.0,1.0,0.470588235294118,0.0,3.0,3.0,0.8534236306969297,0.14657636930307025,1
189,0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.06,0.0,7.0,2.0,1.0,0.0,5.0,2.0,2.60869565217391,0.0,3.95652173913043,2.0,1.0,0.0,0.0,1.0,2.0,0.9999216581914875,7.834180851247233e-05,1
252,0,3.0,0.0,1.0,3.0,1.0,2.0,3.0,30.0,0.27,13.0,98.0,2.0,3.0,3.0,24.0,2.0,9.64285714285714,1.0,4.11224489795918,1.0,1.0,0.590909090909091,0.0,3.0,7.0,0.99446855465639,0.005531445343610106,1
339,0,3.0,0.0,2.0,0.0,0.0,1.0,7.0,4.0,0.19,13.0,15.0,3.0,1.0,0.0,19.0,1.0,5.0,2.0,6.33333333333333,1.0,1.0,0.5,0.0,4.0,0.0,0.9949556271269965,0.0050443728730035055,1
340,0,59.0,2.0,1.0,58.0,1.0,26.0,50.0,34.0,0.14,13.0,209.0,4.0,4.0,0.0,96.0,2.0,6.12669683257919,0.0,7.59276018099547,0.0,1.0,0.520833333333333,0.0,4.0,5.0,0.90736779061546,0.09263220938453993,1
351,0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,0.32,13.0,11.0,2.0,1.0,0.0,18.0,2.0,3.09090909090909,0.0,5.0,0.0,1.0,1.0,0.0,4.0,0.0,0.9943548863141776,0.00564511368582243,1
358,0,12.0,1.0,2.0,0.0,1.0,2.0,2.0,11.0,0.21,13.0,29.0,4.0,3.0,0.0,26.0,1.0,3.75862068965517,1.0,6.51724137931035,1.0,1.0,0.5,0.0,3.0,2.0,0.9872468659530469,0.012753134046953139,1
359,0,12.0,1.0,2.0,2.0,1.0,13.0,13.0,4.0,0.1,13.0,47.0,4.0,1.0,2.0,37.0,3.0,4.18367346938776,0.0,7.08163265306122,0.0,1.0,0.578947368421053,0.0,3.0,7.0,0.9482035888328486,0.051796411167151425,1
390,0,6.0,0.0,4.0,0.0,0.0,1.0,7.0,10.0,0.11,13.0,16.0,6.0,4.0,0.0,21.0,1.0,3.6875,1.0,7.6875,1.0,1.0,0.4,0.0,1.0,1.0,0.9205118252489751,0.07948817475102492,1
439,0,27.0,0.0,1.0,8.0,7.0,18.0,12.0,17.0,1.14,13.0,37.0,2.0,2.0,0.0,80.0,2.0,2.47551342812006,0.0,3.46287519747235,0.0,1.0,0.733812949640288,4.0,5.0,21.0,0.8342177019991863,0.16578229800081362,1
471,0,2.0,0.0,3.0,9.0,3.0,1.0,4.0,0.0,0.24,0.0,0.0,7.0,1.0,0.0,11.0,1.0,5.18181818181818,1.0,4.63636363636364,1.0,1.0,0.545454545454545,0.0,4.0,2.0,0.8949686891561199,0.10503131084388002,1
