,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
1530,7.916666666666669,100.0,0.6000000000000001,0.3299999999999983,0.0,23.0,0.33000000000000007,0.0,100.0,1.0,0.0,4.0,2.0,7.91666666666667,0.0,1.0,0.0,0.482758620689655,0.0,0.6,2.168404344971009e-19,2.0,1.1102230246251565e-16
1531,9.38461538461539,0.8,0.30000000000000004,32.0,0.0,3.0,0.30000000000000004,0.0,69.0,1.0,0.0,2.0,2.0,9.38461538461539,1.0,1.0,1.0,0.866666666666667,0.0,0.8,2.168404344971009e-19,2.0,1.1102230246251565e-16
1574,4.823529411764711,17.0,0.18999999999999995,40.0,5.0,1.0,0.18999999999999995,1.0,86.0,2.0,0.0,17.0,1.0,4.82352941176471,0.0,1.0,1.0,1.5,0.0,0.8,2.168404344971009e-19,2.0,1.1102230246251565e-16
1575,13.0,3.3,0.31000000000000005,17.0,1.0,1.0,0.31000000000000005,0.0,65.0,2.0,0.0,13.0,1.0,3.3,2.0,1.0,1.0,1.0,0.0,0.8,2.168404344971009e-19,2.0,1.1102230246251565e-16
1670,4.66666666666667,0.666666666666667,0.15999999999999992,73.0,22.0,0.0,0.16000000000000003,2.0,73.0,2.0,0.0,22.0,1.0,4.66666666666667,0.0,0.0,1.0,0.583333333333333,0.0,0.666666666666667,2.168404344971009e-19,2.0,1.1102230246251565e-16
1581,30.25,30.0,0.25,4.000000000000007,1.0,2.0,0.25,10.0,50.0,3.0,0.0,30.0,1.0,30.25,2.0,2.0,1.0,2.66666666666667,0.0,0.4,2.168404344971009e-19,2.0,1.0
1600,0.666666666666667,0.30000000000000004,2.0,10.153846153846203,69.0,3.0,0.30000000000000004,0.0,69.0,1.0,0.0,2.0,2.0,10.1538461538462,1.0,1.0,1.0,0.866666666666667,0.0,0.666666666666667,2.168404344971009e-19,2.0,1.0
1789,2.5,2.220446049250313e-16,9.0,0.6666666666666643,0.33,1.0,0.33000000000000007,1.0,-7.105427357601002e-15,2.0,0.0,9.0,2.0,2.5,1.0,2.0,1.0,0.625,0.0,0.666666666666667,2.168404344971009e-19,3.0,1.1102230246251565e-16
1795,0.0,4.33333333333333,0.666666666666667,0.35999999999999943,1.0,7.0,0.36,2.0,-7.105427357601002e-15,2.0,0.0,5.0,2.0,4.33333333333333,1.0,2.0,1.0,0.5,0.0,0.666666666666667,2.168404344971009e-19,2.0,1.0
1798,3.0,8.0,0.44999999999999996,4.000000000000007,1.0,0.0,0.44999999999999996,1.0,50.0,2.0,0.0,8.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.666666666666667,2.168404344971009e-19,3.0,1.1102230246251565e-16
1799,3.6666666666666696,8.0,0.51,0.6666666666666643,50.0,2.0,0.51,1.0,50.0,2.0,0.0,8.0,1.0,3.66666666666667,1.0,2.0,1.0,1.0,0.0,0.666666666666667,2.168404344971009e-19,3.0,1.1102230246251565e-16
1805,3.0,2.220446049250313e-16,7.999999999999999,0.6666666666666643,0.39,3.0,0.39,2.0,-7.105427357601002e-15,2.0,0.0,8.0,2.0,3.0,1.0,2.0,1.0,0.833333333333333,0.0,0.666666666666667,2.168404344971009e-19,3.0,1.1102230246251565e-16
1806,0.0,4.33333333333333,7.999999999999999,0.6666666666666643,0.34,7.0,0.3400000000000001,2.0,-7.105427357601002e-15,2.0,0.0,8.0,2.0,4.33333333333333,1.0,2.0,1.0,0.5,0.0,0.666666666666667,2.168404344971009e-19,3.0,1.1102230246251565e-16
1604,79.0,2.16666666666667,1.27,0.6666666666666643,2.0,4.0,1.27,0.0,79.0,1.0,1.0,4.0,1.0,2.16666666666667,1.0,1.0,1.0,0.875,0.0,0.666666666666667,2.168404344971009e-19,2.0,1.0
1816,6.0,16.0,0.3799999999999999,29.0,0.0,0.0,0.38,1.0,91.0,1.0,0.0,16.0,1.0,6.0,0.0,1.0,1.0,1.35714285714286,0.0,0.8,2.168404344971009e-19,3.0,1.1102230246251565e-16
1695,22.0,4.58823529411765,0.22999999999999998,16.0,7.0,0.0,0.22999999999999998,2.0,82.0,2.0,3.0,22.0,1.0,4.58823529411765,1.0,1.0,1.0,0.666666666666667,0.0,0.666666666666667,2.168404344971009e-19,2.0,1.0
1851,4.25,0.8,0.09999999999999987,16.0,30.0,2.0,0.10000000000000009,3.0,30.0,2.0,0.0,24.0,2.0,4.25,0.0,0.0,1.0,1.16666666666667,0.0,0.8,2.168404344971009e-19,2.0,1.0
1817,2.6428571428571406,8.0,0.21999999999999975,33.0,0.0,11.0,0.21999999999999997,0.0,86.0,1.0,0.0,8.0,2.0,2.64285714285714,0.0,1.0,1.0,1.3125,0.0,0.8,2.168404344971009e-19,2.0,1.0
1883,5.000000000000001,2.10714285714286,97.0,0.3299999999999983,0.0,0.0,0.33000000000000007,0.0,97.0,2.0,0.0,5.0,1.0,2.10714285714286,1.0,2.0,1.0,0.516129032258065,0.0,0.6,2.168404344971009e-19,2.0,1.0
1899,3.26666666666667,0.30000000000000004,0.5,49.0,1.0,1.0,0.30000000000000004,0.0,80.0,1.0,0.0,1.0,1.0,3.26666666666667,1.0,1.0,1.0,0.882352941176471,0.0,0.5,2.168404344971009e-19,2.0,2.0
1906,34.0,6.3404255319148906,0.28,89.0,0.0,4.0,0.28,0.0,89.0,1.0,1.0,34.0,1.0,6.34042553191489,1.0,1.0,1.0,0.448979591836735,0.0,0.7777777777777779,2.168404344971009e-19,2.0,1.0
