test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
7,0,1.0,0.0,1.0,0.0,7.0,2.0,133.0,2.0,8.0,1.0,0.67,0.0,100.0,3.0,0.0,17.0,2.0,2.0,0.0,0.0,0.0,7.0,0.6875,0.0,2.0,2.0,0.54,0.46,1
7,1,1.0,0.0,1.0,0.0,7.0,2.0,133.0,2.0,8.0,1.0,0.67,0.0,100.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.6875,0.0,2.0,2.0,0.9,0.1,2
7,2,1.0,0.0,1.0,0.0,7.0,2.0,133.0,2.0,8.0,1.0,0.67,0.0,100.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,2.0,0.93,0.07,3
7,3,1.0,0.0,1.0,0.0,7.0,2.0,133.0,2.0,8.0,1.0,0.67,0.0,100.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,2.0,0.95,0.05,4
7,4,1.0,0.0,1.0,0.0,7.0,2.0,133.0,2.0,0.0,1.0,0.67,0.0,100.0,3.0,0.0,17.0,2.0,2.0,0.0,0.0,0.0,0.0,0.6875,0.0,2.0,2.0,0.94,0.06,2
7,5,1.0,0.0,1.0,0.0,7.0,2.0,133.0,2.0,0.0,1.0,0.67,0.0,100.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.6875,0.0,2.0,2.0,0.96,0.04,3
7,6,1.0,0.0,1.0,0.0,7.0,2.0,133.0,2.0,0.0,1.0,0.67,0.0,100.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.6875,0.0,2.0,2.0,0.97,0.03,3
7,7,1.0,0.0,1.0,0.0,7.0,2.0,133.0,2.0,0.0,1.0,0.2,0.0,100.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.6875,0.0,2.0,2.0,0.98,0.02,4
7,8,1.0,0.0,1.0,0.0,7.0,2.0,133.0,2.0,8.0,1.0,1.0,0.0,100.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,2.0,0.94,0.06,4
7,9,1.0,0.0,1.0,0.0,7.0,2.0,133.0,2.0,0.0,1.0,0.67,0.0,100.0,3.0,0.0,17.0,2.0,2.0,1.0,0.0,0.0,0.0,0.6875,0.0,2.0,2.0,0.96,0.04,3
7,10,1.0,0.0,1.0,0.0,7.0,2.0,133.0,2.0,0.0,1.0,0.67,0.0,100.0,3.0,0.0,17.0,2.0,2.0,1.0,0.0,0.0,0.0,0.5,0.0,2.0,2.0,0.97,0.03,4
7,11,1.0,0.0,1.0,0.0,7.0,2.0,133.0,2.0,8.0,1.0,0.67,0.0,100.0,6.0,0.0,17.0,2.0,2.0,0.0,0.0,0.0,0.0,0.6875,0.0,2.0,2.0,0.85,0.15,2
